Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Selim Amallah,2,21,3,0,0,34,1,8/19/2024,27-278,ma MAR,Valladolid,,Espanyol,es La Liga,W 1-0,Y,68,0,0,0,0,0,0,0,2,0,,0,0,31.6,0,21,25,84,0,4,0,0,5,363,137,13,15,86.7,6,7,85.7,2,3,66.7,3,1,1,0,0,0,1,0,0,0,0,0,0,0,34,0,6,21,8,1,34,1,1,0,1,0,0,0,,0,3,0,3,1,2,0,0,0,0,0,2,1,MF,Match Report
2,Chuky san jose,0,3,0,0,0,5,0,8/19/2024,20-112,es ESP,Valladolid,,Espanyol,es La Liga,W 1-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75,0,0,0,0,0,24,11,3,3,100,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,1,5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
3,Eray Cömert,3,21,0,0,0,38,2,8/19/2024,26-197,ch SUI,Valladolid,,Espanyol,es La Liga,W 1-0,Y,81,0,0,0,0,0,0,0,3,0,,0,0,24.1,0,21,29,72.4,0,0,0,0,0,320,91,11,14,78.6,9,11,81.8,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,16,17,5,2,38,2,1,0,2,0,2,2,100,0,2,1,1,0,2,1,0,0,0,0,0,0,"DF,MF",Match Report
4,Stanko Jurić,0,15,0,0,0,22,0,8/19/2024,28-003,hr CRO,Valladolid,,Espanyol,es La Liga,W 1-0,N,29,0,0,0,0,0,0,0,0,,,0,,,0,15,17,88.2,0,2,0,0,2,194,50,10,11,90.9,3,4,75,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,9,11,2,0,22,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,0,0,0,0,1,0,MF,Match Report
5,Kike Pérez,1,41,3,0,0,57,2,8/19/2024,27-187,es ESP,Valladolid,,Espanyol,es La Liga,W 1-0,Y,81,0,0,0,0,0,0,0,1,0,,0,0,27.6,0,41,45,91.1,1,6,1,0,11,720,232,19,21,90.5,18,18,100,3,4,75,3,1,1,0,0,1,0,0,0,0,0,0,0,0,57,1,6,40,12,0,57,2,2,0,2,0,0,1,0,1,1,0,1,2,4,0,0,0,0,0,2,4,MF,Match Report
6,David Torres,0,1,0,0,0,4,0,8/19/2024,21-167,es ESP,Valladolid,,Espanyol,es La Liga,W 1-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50,0,1,0,0,1,16,17,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,DF,Match Report
7,Enzo Boyomo,0,53,0,0,0,61,0,8/19/2024,22-317,cm CMR,Valladolid,,Espanyol,es La Liga,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,53,56,94.6,0,1,0,0,0,923,322,22,22,100,27,29,93.1,4,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,33,28,0,0,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,1,0,DF,Match Report
8,Víctor Meseguer,0,7,0,0,0,10,1,8/19/2024,25-071,es ESP,Valladolid,,Espanyol,es La Liga,W 1-0,N,22,0,0,0,0,0,0,0,0,,,0,,,0,7,7,100,0,1,0,0,3,147,102,3,3,100,3,3,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4,4,2,1,10,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,MF,Match Report
9,Lucas Oliveira Rosa,1,34,1,0,1,53,1,8/19/2024,24-138,br BRA,Valladolid,,Espanyol,es La Liga,W 1-0,Y,90,0,0,0,0,0,0,0,1,0,,0,0,15.6,0,34,48,70.8,1,1,0,0,5,524,173,17,17,100,17,22,77.3,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,2,15,25,14,3,53,1,1,1,0,0,0,0,,0,1,1,0,0,1,3,0,1,0,0,3,0,DF,Match Report
10,Javi Sánchez,0,37,2,0,0,47,0,8/19/2024,27-158,es ESP,Valladolid,,Espanyol,es La Liga,W 1-0,Y,61,0,0,0,0,0,0,0,0,,,0,,,0,37,42,88.1,1,1,0,0,2,778,264,10,10,100,22,22,100,5,7,71.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,47,4,27,18,2,1,47,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,1,0,DF,Match Report
