Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Raúl Albiol,0,55,1,1,0,71,1,8/19/2024,38-350,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,55,60,91.7,0,0,0,0,1,1131,392,14,15,93.3,35,36,97.2,6,9,66.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,71,9,35,35,1,0,71,1,1,1,0,0,0,1,0,1,0,0,0,1,2,9,0,0,0,0,1,0,DF,Match Report
2,Diego Conde,0,18,1,1,0,25,0,8/19/2024,25-296,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,18,24,75,1,1,1,0,0,498,313,1,1,100,12,12,100,5,11,45.5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,25,22,25,0,0,0,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
3,Alex Baena,1,25,3,0,0,37,0,8/19/2024,23-030,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,70,0,0,0,0,0,0,0,1,0,,0,0,27.9,1,25,31,80.6,0,4,1,0,8,499,183,5,5,100,17,21,81,3,5,60,3,1,1,0,0,1,0,0,0,0,0,0,0,0,37,0,6,19,14,1,37,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,1,2,"MF,FW",Match Report
4,Yeremi Pino,1,17,5,0,1,27,1,8/19/2024,21-304,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,70,0,0,0,0,0,0,0,1,0,,0,0,14.8,0,17,22,77.3,2,1,1,0,2,231,44,9,10,90,7,8,87.5,0,0,,5,3,0,2,0,0,0,0,0,0,0,0,0,0,27,2,5,6,17,5,27,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,2,0,"MF,FW",Match Report
5,Nicolas Pépé,2,6,0,0,0,13,0,8/19/2024,29-082,ci CIV,Villarreal,,Atlético Madrid,es La Liga,D 2-2,N,20,0,0,0,0,0,0,0,2,0,,0,0,24.8,1,6,6,100,0,0,0,0,0,63,3,4,4,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,4,8,0,13,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,1,0,"FW,MF",Match Report
6,Santi Comesaña,0,37,0,0,0,46,1,8/19/2024,27-319,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,39,94.9,0,2,1,0,3,695,147,16,17,94.1,17,17,100,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,9,26,11,0,46,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,0,0,0,0,0,MF,Match Report
7,Pape Gueye,0,15,0,0,0,22,0,8/19/2024,25-208,sn SEN,Villarreal,,Atlético Madrid,es La Liga,D 2-2,N,20,0,0,0,0,0,0,0,0,,,0,,,0,15,18,83.3,0,1,0,0,2,280,75,6,7,85.7,9,10,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,14,4,2,22,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,2,0,MF,Match Report
8,Daniel Parejo,0,55,0,0,0,65,1,8/19/2024,35-125,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,55,59,93.2,0,6,0,0,4,1065,234,23,26,88.5,26,26,100,6,7,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,19,35,11,0,65,1,1,1,0,0,1,2,50,1,1,0,1,2,3,0,0,0,0,0,0,2,MF,Match Report
9,Sergi Cardona,0,45,1,0,0,66,1,8/19/2024,25-042,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,57,78.9,1,3,4,1,6,806,267,17,18,94.4,24,26,92.3,4,10,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,2,25,23,18,2,66,1,0,0,0,1,0,1,0,1,2,0,2,1,2,3,0,0,0,0,0,0,DF,Match Report
10,Ayoze Pérez,0,6,0,0,0,9,0,8/19/2024,31-021,es ESP,Villarreal,,Atlético Madrid,es La Liga,D 2-2,N,12,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75,0,0,0,0,1,81,15,3,4,75,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,2,0,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
