Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Abdoulaye Bamba,0,30,0,0,0,43,2,2025-03-15,34-324,ci CIV,Angers,,Monaco,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,33,90.9,0,1,0,0,1,595,273,9,10,90.0,18,19,94.7,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,25,17,1,1,43,2,2,2,0,0,2,2,100.0,0,2,2,0,2,4,3,0,0,0,0,0,0,DF,Match Report
402,Esteban Lepaul,0,9,0,0,0,20,0,2025-03-15,24-331,fr FRA,Angers,,Monaco,fr Ligue 1,L 0-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,9,16,56.3,0,1,0,0,0,147,31,5,6,83.3,3,3,100.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,7,2,20,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
403,Yahia Fofana,0,19,0,0,0,31,0,2025-03-15,24-206,ci CIV,Angers,,Monaco,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,30,63.3,0,1,0,0,0,624,479,1,1,100.0,13,13,100.0,5,15,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,31,0,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
404,Jordan Lefort,0,24,0,0,0,53,0,2025-03-15,31-218,fr FRA,Angers,,Monaco,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,33,72.7,0,0,0,0,1,396,243,14,14,100.0,8,10,80.0,2,8,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,18,40,13,0,0,53,0,0,0,0,0,0,0,,0,2,2,0,1,1,16,0,0,0,0,0,0,DF,Match Report
405,Farid El Melali,2,6,1,0,0,11,0,2025-03-15,27-314,dz ALG,Angers,,Monaco,fr Ligue 1,L 0-2,N,24,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,28.5,0,6,7,85.7,0,0,1,0,1,90,20,5,5,100.0,0,1,0.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,7,0,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,FW,Match Report
406,Yassin Belkhdim,0,36,0,0,0,56,3,2025-03-15,23-029,fr FRA,Angers,,Monaco,fr Ligue 1,L 0-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,36,46,78.3,0,0,0,0,1,586,48,12,15,80.0,21,23,91.3,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,16,32,9,0,56,3,3,0,3,0,1,3,33.3,2,0,0,0,1,4,4,0,0,0,0,0,1,MF,Match Report
407,Zinedine Ferhat,0,8,1,0,0,12,0,2025-03-30,32-029,dz ALG,Angers,,Rennes,fr Ligue 1,L 0-3,N,15,0,0,0,0,0,0,0,0,,,0,,,0,8,12,66.7,0,0,0,0,1,171,42,4,6,66.7,2,3,66.7,2,2,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,7,0,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
408,Jim Allevinah,3,11,3,0,0,19,1,2025-03-30,30-031,ga GAB,Angers,,Rennes,fr Ligue 1,L 0-3,Y,70,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,14.2,0,11,15,73.3,2,0,2,1,2,163,43,8,9,88.9,2,3,66.7,1,3,33.3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,19,0,1,7,12,5,19,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
409,Haris Belkebla,0,9,0,0,0,15,1,2025-03-30,31-061,dz ALG,Angers,,Rennes,fr Ligue 1,L 0-3,Y,30,0,0,0,0,0,0,0,0,,,0,,,0,9,11,81.8,0,2,0,0,1,184,10,4,5,80.0,3,3,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,5,10,1,0,15,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,0,0,0,0,1,MF,Match Report
410,Bamba Dieng,0,3,0,0,0,5,0,2025-03-30,25-007,sn SEN,Angers,,Rennes,fr Ligue 1,L 0-3,N,20,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,26,0,2,2,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,1,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
