Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Mohammed Salisu,1,61,2,0,0,79,1,2024-08-17,25-122,gh GHA,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.0,0,61,73,83.6,0,6,0,0,8,1052,452,28,32,87.5,30,32,93.8,3,8,37.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,79,3,30,47,2,1,79,1,0,1,0,0,0,0,,0,2,2,0,0,1,1,0,0,0,0,0,0,DF,Match Report
2,Breel Embolo,2,16,5,0,1,47,0,2024-08-17,27-185,ch SUI,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,8.8,0,16,26,61.5,3,1,0,0,1,253,42,12,16,75.0,2,5,40.0,2,4,50.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,47,0,1,16,30,10,47,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,1,0,0,2,2,"FW,MF",Match Report
3,Lamine Camara,0,61,3,0,0,78,5,2024-08-17,20-229,sn SEN,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,70,87.1,3,11,0,0,4,996,227,25,29,86.2,26,27,96.3,5,8,62.5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,78,1,10,52,18,1,78,5,4,4,1,0,2,4,50.0,2,0,0,0,0,5,0,0,0,0,0,3,4,MF,Match Report
4,Folarin Balogun,4,13,2,0,0,24,0,2024-08-17,23-045,us USA,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,68,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,12.5,0,13,16,81.3,0,0,0,0,0,117,21,9,11,81.8,2,3,66.7,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,9,15,8,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
5,Denis Zakaria,0,26,0,0,0,42,1,2024-08-17,27-271,ch SUI,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,26,32,81.3,0,0,0,0,2,315,57,18,20,90.0,8,9,88.9,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,11,30,3,0,42,1,1,1,0,0,0,0,,0,0,0,0,1,2,2,0,0,0,0,0,0,MF,Match Report
6,Eliesse Ben Seghir,2,26,4,0,0,49,0,2024-08-17,19-183,ma MAR,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,80,0,0,0,0,0,0,0,2,0.0,,0,0.0,21.1,0,26,31,83.9,1,2,2,0,3,335,89,14,17,82.4,10,11,90.9,0,1,0.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,49,0,6,25,18,3,49,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,2,3,"MF,FW",Match Report
7,Thilo Kehrer,0,63,3,0,0,77,3,2024-08-17,27-331,de GER,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,63,67,94.0,1,6,1,0,8,1171,583,23,24,95.8,36,36,100.0,3,6,50.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,77,4,31,45,1,0,77,3,3,2,1,0,2,4,50.0,2,0,0,0,0,3,3,1,0,0,0,2,0,DF,Match Report
8,George Ilenikhena,0,1,0,0,0,4,0,2024-08-17,18-001,ng NGA,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,N,10,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,3,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,1,4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,FW,Match Report
9,Ismail Jakobs,0,42,2,0,0,54,2,2024-08-17,25-000,sn SEN,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,47,89.4,0,5,1,1,2,670,268,22,24,91.7,12,12,100.0,5,6,83.3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,54,2,12,27,15,0,54,2,2,1,0,1,1,3,33.3,2,0,0,0,1,3,2,0,0,0,0,0,2,DF,Match Report
10,Maghnes Akliouche,1,12,2,0,0,18,0,2024-08-17,22-174,fr FRA,Monaco,,Saint-Étienne,fr Ligue 1,W 1-0,N,22,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.0,0,12,14,85.7,2,1,1,0,2,135,48,9,9,100.0,2,3,66.7,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,14,3,18,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
