Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Clément Akpa,0,13,0,0,0,35,2,2024-12-06,23-012,ci CIV,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,20,65.0,0,1,0,0,0,259,91,6,7,85.7,5,7,71.4,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,25,10,1,0,35,2,1,2,0,0,2,5,40.0,3,2,0,2,2,4,8,0,0,0,0,0,0,DF,Match Report
202,Gaëtan Perrin,2,14,1,0,0,28,2,2024-12-06,28-182,fr FRA,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,76,0,0,0,0,0,0,0,2,0.0,,0,0.0,12.8,0,14,19,73.7,1,1,0,0,1,194,61,7,7,100.0,5,6,83.3,1,3,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,5,9,14,5,28,2,1,1,0,1,0,1,0.0,1,1,0,1,0,2,0,0,0,0,0,0,0,"MF,FW",Match Report
203,Donovan Léon,0,12,1,0,0,42,0,2024-12-06,32-033,gf GUF,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,12,34,35.3,0,2,0,0,0,740,701,0,0,,1,1,100.0,11,33,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,36,42,0,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
204,Jubal,2,8,0,0,0,35,4,2024-12-06,31-099,br BRA,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,25.9,0,8,12,66.7,0,1,1,0,1,133,32,3,3,100.0,4,5,80.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,23,10,2,1,35,4,3,4,0,0,1,1,100.0,0,5,4,1,1,5,14,0,0,0,0,0,0,DF,Match Report
205,Hamed Junior Traorè,1,13,1,0,1,41,1,2024-12-06,24-294,ci CIV,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,13.9,0,13,22,59.1,0,1,0,0,3,192,38,6,7,85.7,3,5,60.0,2,5,40.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,6,16,19,2,41,1,0,0,0,1,1,4,25.0,3,1,0,1,0,1,0,0,1,0,0,5,1,MF,Match Report
206,Paul Joly,0,3,0,0,0,8,1,2024-12-06,24-182,fr FRA,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,N,7,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,1,0,0,1,36,7,3,3,100.0,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,2,0,8,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,0,0,0,0,0,0,1,DF,Match Report
207,Lassine Sinayoko,1,19,4,0,1,33,1,2024-12-06,24-364,ml MLI,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,82,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.1,0,19,25,76.0,1,1,1,0,2,205,55,13,15,86.7,3,4,75.0,0,2,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,33,4,7,13,14,4,33,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,1,0,0,0,1,"FW,MF",Match Report
208,Ki-Jana Hoever,0,17,0,0,0,35,2,2024-12-06,22-323,nl NED,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,17,27,63.0,0,2,0,0,3,213,122,11,15,73.3,6,10,60.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,12,9,14,3,35,2,2,1,1,0,2,4,50.0,2,1,0,1,0,2,4,0,0,0,0,0,1,DF,Match Report
209,Gideon Mensah,0,25,1,0,0,47,3,2024-12-06,26-141,gh GHA,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,35,71.4,0,3,1,0,5,414,262,15,18,83.3,7,10,70.0,3,6,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47,4,24,15,9,0,47,3,1,3,0,0,3,4,75.0,1,2,0,2,2,5,2,0,0,0,0,1,0,DF,Match Report
210,Theo Bair,0,3,0,0,0,6,0,2024-12-06,25-101,ca CAN,Auxerre,,Paris S-G,fr Ligue 1,D 0-0,N,8,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,2,0,0,2,35,29,2,2,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
