Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Kamory Doumbia,1,17,2,0,0,23,1,2025-01-26,21-343,ml MLI,Brest,@,Le Havre,fr Ligue 1,W 1-0,N,27,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,24.8,1,17,19,89.5,0,1,0,0,2,227,50,9,9,100.0,7,8,87.5,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,12,7,2,23,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,2,0,0,0,0,0,2,"MF,FW",Match Report
402,Soumaïla Coulibaly,1,61,3,1,0,78,1,2025-01-26,21-104,fr FRA,Brest,@,Le Havre,fr Ligue 1,W 1-0,Y,72,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.9,0,61,65,93.8,1,5,0,0,6,1183,340,23,24,95.8,30,30,100.0,7,10,70.0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,78,8,37,40,2,2,78,1,0,1,0,0,0,0,,0,3,1,2,0,1,7,0,0,0,0,2,0,DF,Match Report
403,Abdoulaye Niakhate Ndiaye,0,2,0,0,0,10,0,2025-01-26,22-291,sn SEN,Brest,@,Le Havre,fr Ligue 1,W 1-0,N,18,0,0,0,0,0,0,0,0,,,0,,,0,2,5,40.0,0,0,0,0,0,31,4,1,1,100.0,1,2,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,1,1,1,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,0,0,DF,Match Report
404,Hugo Magnetti,1,54,1,0,0,68,1,2025-01-26,26-241,fr FRA,Brest,@,Le Havre,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.7,0,54,60,90.0,0,6,0,0,3,897,257,29,31,93.5,23,25,92.0,2,3,66.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,68,3,17,44,7,0,68,1,0,1,0,0,0,2,0.0,2,0,0,0,1,2,2,0,0,0,0,0,0,MF,Match Report
405,Mama Samba Baldé,1,5,2,0,0,8,0,2025-01-26,29-081,gw GNB,Brest,@,Le Havre,fr Ligue 1,W 1-0,N,20,0,0,0,0,0,0,0,1,0.0,,0,0.0,6.1,0,5,5,100.0,0,0,1,0,1,61,19,2,2,100.0,2,2,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,2,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
406,Abdallah Sima,2,8,0,0,0,19,0,2025-01-26,23-223,sn SEN,Brest,@,Le Havre,fr Ligue 1,W 1-0,Y,63,0,0,0,0,0,0,0,2,0.0,,0,0.0,13.9,0,8,10,80.0,0,0,0,0,1,113,16,4,5,80.0,3,3,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,5,13,4,19,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,2,"FW,MF",Match Report
407,Romain Del Castillo,1,6,3,0,0,14,0,2025-01-29,28-306,fr FRA,Brest,,Real Madrid,Champions League,L 0-3,N,21,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.3,0,6,10,60.0,2,0,1,1,0,149,59,1,1,100.0,2,4,50.0,3,4,75.0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,14,0,1,2,11,0,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,FW,Match Report
408,Brendan Chardonnet,0,25,1,0,0,36,4,2025-01-29,30-038,fr FRA,Brest,,Real Madrid,Champions League,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,28,89.3,0,6,0,0,0,551,269,11,12,91.7,9,10,90.0,5,6,83.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,3,21,13,3,0,36,4,4,3,0,1,0,2,0.0,2,1,0,1,0,4,2,0,0,0,0,1,1,DF,Match Report
409,Edimilson Fernandes,2,59,3,0,0,71,2,2025-01-29,28-289,ch SUI,Brest,,Real Madrid,Champions League,L 0-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,30.5,0,59,60,98.3,1,13,1,0,8,1045,334,28,28,100.0,27,28,96.4,4,4,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,71,5,16,48,8,0,71,2,1,1,0,1,2,4,50.0,2,1,0,1,2,4,1,0,0,0,0,0,0,MF,Match Report
410,Marco Bizot,0,22,0,0,0,36,0,2025-01-29,33-325,nl NED,Brest,,Real Madrid,Champions League,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,31,71.0,0,1,0,0,0,634,487,3,3,100.0,12,12,100.0,7,16,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,36,0,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
