Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Clément Akpa,0,24,0,0,0,41,0,2024-08-18,22-268,ci CIV,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,51,0,0,0,0,0,0,0,0,,,0,,,0,24,33,72.7,0,1,0,0,3,481,186,4,8,50.0,18,21,85.7,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,18,19,4,0,41,0,0,0,0,0,0,0,,0,2,1,1,0,0,5,0,0,0,0,0,1,DF,Match Report
2,Gaëtan Perrin,1,33,8,0,0,49,1,2024-08-18,28-072,fr FRA,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,85,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.9,0,33,42,78.6,6,6,2,1,9,608,228,14,15,93.3,15,18,83.3,3,6,50.0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,49,0,5,21,24,5,49,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
3,Donovan Léon,0,29,1,1,0,42,0,2024-08-18,31-289,gf GUF,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,29,40,72.5,1,2,0,0,0,1208,1122,5,5,100.0,4,4,100.0,20,30,66.7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,42,29,42,0,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,GK,Match Report
4,Jubal,1,39,1,0,0,49,2,2024-08-18,30-355,br BRA,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.0,0,39,40,97.5,0,1,1,0,2,822,214,8,8,100.0,28,28,100.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,4,25,22,2,1,49,2,1,2,0,0,2,2,100.0,0,1,1,0,0,2,5,0,0,0,0,0,0,DF,Match Report
5,Paul Joly,0,34,6,1,0,69,5,2024-08-18,24-072,fr FRA,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,34,55,61.8,4,3,2,2,3,692,205,15,20,75.0,10,16,62.5,9,17,52.9,6,5,0,0,0,1,0,1,1,0,0,0,0,0,69,1,19,32,19,2,69,5,3,4,1,0,3,4,75.0,1,1,0,1,2,7,1,0,0,0,0,0,5,DF,Match Report
6,Lassine Sinayoko,3,30,4,1,0,47,3,2024-08-18,24-254,ml MLI,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,18.0,0,30,32,93.8,1,0,1,0,3,452,172,16,16,100.0,10,12,83.3,2,2,100.0,4,2,0,1,0,1,0,1,0,0,0,0,1,0,47,4,17,17,13,5,47,3,2,2,1,0,1,1,100.0,0,1,0,1,1,4,3,0,0,0,0,1,2,"FW,MF",Match Report
7,Florian Ayé,0,5,0,0,0,9,0,2024-08-18,27-212,fr FRA,Auxerre,,Nice,fr Ligue 1,W 2-1,N,22,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,0,0,1,0,1,56,15,3,3,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,4,0,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,1,FW,Match Report
8,Lasso Coulibaly,1,0,0,0,0,1,0,2024-08-18,21-304,ci CIV,Auxerre,,Nice,fr Ligue 1,W 2-1,N,5,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,13.3,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
9,Théo Pellenard,0,14,1,0,0,26,3,2024-08-18,30-167,fr FRA,Auxerre,,Nice,fr Ligue 1,W 2-1,N,39,0,0,0,0,0,0,0,0,,,0,,,0,14,19,73.7,0,1,1,1,1,223,37,8,9,88.9,5,7,71.4,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,5,12,7,7,0,26,3,2,2,1,0,1,3,33.3,2,1,0,1,0,3,2,0,0,0,0,3,1,DF,Match Report
10,Theo Bair,1,9,2,0,0,16,0,2024-08-18,24-357,ca CAN,Auxerre,,Nice,fr Ligue 1,W 2-1,Y,68,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.5,0,9,12,75.0,1,1,0,0,1,127,15,5,7,71.4,4,5,80.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,5,2,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
