Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Romain Del Castillo,1,41,5,1,0,78,1,2024-08-17,28-141,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,90,0,1,1,0,0,1,1,1,0.0,0.0,1,100.0,32.6,0,41,61,67.2,4,5,3,1,4,741,175,21,27,77.8,14,22,63.6,6,11,54.5,5,4,1,0,0,0,0,1,1,0,0,0,0,0,78,0,1,38,41,4,77,1,1,0,0,1,1,1,100.0,0,6,0,6,0,1,0,0,0,0,0,1,1,FW,Match Report
2,Hianga Mananga Mbock,1,14,0,0,0,19,0,2024-08-17,24-233,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,N,21,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,36.4,0,14,17,82.4,0,0,0,0,0,232,77,8,9,88.9,6,7,85.7,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,6,0,19,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,1,0,MF,Match Report
3,Brendan Chardonnet,1,50,0,0,0,62,4,2024-08-17,29-239,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.0,0,50,55,90.9,0,2,0,0,0,1103,317,10,11,90.9,34,36,94.4,6,8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,30,30,2,1,62,4,4,1,3,0,2,3,66.7,1,0,0,0,0,4,1,0,0,0,0,2,1,DF,Match Report
4,Jordan Amavi,0,35,0,0,1,59,7,2024-08-17,30-161,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,35,51,68.6,0,3,0,0,2,522,137,20,24,83.3,15,22,68.2,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,4,34,23,0,59,7,4,1,4,2,5,7,71.4,2,0,0,0,0,7,0,0,1,0,0,2,1,DF,Match Report
5,Luck Zogbé,0,6,1,0,0,10,0,2024-08-17,19-146,ci CIV,Brest,,Marseille,fr Ligue 1,L 1-5,N,7,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,1,1,0,0,1,112,29,2,2,100.0,4,5,80.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,3,5,0,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,DF,Match Report
6,Marco Bizot,0,30,0,0,0,35,0,2024-08-17,33-160,nl NED,Brest,,Marseille,fr Ligue 1,L 1-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,33,90.9,0,0,0,0,0,766,505,1,1,100.0,22,22,100.0,7,10,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
7,Ludovic Ajorque,1,11,1,0,0,21,1,2024-08-17,30-174,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,63,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,11.6,0,11,14,78.6,0,0,0,0,0,167,6,5,8,62.5,6,6,100.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,1,7,13,4,21,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,0,1,FW,Match Report
8,Jonas Martin,0,40,2,1,1,48,0,2024-08-17,34-130,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,69,0,0,0,0,0,0,0,0,,,0,,,0,40,44,90.9,0,5,0,0,5,703,228,22,22,100.0,14,17,82.4,4,5,80.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,48,0,6,38,4,0,48,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,1,0,0,1,1,MF,Match Report
9,Julien Le Cardinal,0,65,0,0,0,77,2,2024-08-17,27-014,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,65,73,89.0,0,6,0,0,5,1452,548,20,22,90.9,32,35,91.4,13,15,86.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3,43,34,0,0,77,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,0,0,0,1,0,DF,Match Report
10,Romain Faivre,0,16,0,0,0,24,0,2024-08-17,26-034,fr FRA,Brest,,Marseille,fr Ligue 1,L 1-5,N,27,0,0,0,0,0,0,0,0,,,0,,,0,16,20,80.0,0,3,0,0,1,229,41,13,16,81.3,2,2,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,11,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
