Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Cédric Hountondji,0,21,0,0,0,41,2,2024-08-18,30-212,bj BEN,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,31,67.7,0,2,0,0,1,435,153,6,10,60.0,13,16,81.3,2,5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,19,18,4,1,41,2,2,1,1,0,2,3,66.7,1,0,0,0,2,4,5,0,0,0,0,1,1,DF,Match Report
2,Ibrahima Niane,2,9,1,0,0,14,0,2024-08-18,25-160,sn SEN,Angers,,Lens,fr Ligue 1,L 0-1,N,15,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.9,0,9,11,81.8,1,0,1,0,1,174,19,6,6,100.0,1,2,50.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,2,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
3,Jean-Eudes Aholou,1,20,2,0,0,43,3,2024-08-18,30-151,ci CIV,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.4,0,20,24,83.3,0,1,0,0,3,277,77,12,13,92.3,6,6,100.0,1,1,100.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,43,0,6,25,12,2,43,3,3,1,1,1,2,3,66.7,1,1,0,1,2,5,0,0,0,0,0,4,1,MF,Match Report
4,Lois Diony,0,1,0,0,0,6,0,2024-08-18,31-242,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,N,21,0,0,0,0,0,0,0,0,,,0,,,0,1,4,25.0,0,0,0,0,0,9,0,1,3,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,2,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
5,Carlens Arcus,0,17,0,0,0,26,1,2024-08-18,28-051,ht HAI,Angers,,Lens,fr Ligue 1,L 0-1,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,17,21,81.0,0,1,0,0,1,210,128,8,9,88.9,6,8,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,14,9,1,26,1,0,0,0,1,0,1,0.0,1,1,0,1,2,3,0,0,0,0,0,0,0,DF,Match Report
6,Zinédine Ould Khaled,0,3,0,0,0,7,0,2024-08-18,24-217,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,1,43,12,2,3,66.7,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,1,7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,MF,Match Report
7,Florent Hanin,1,13,0,0,0,17,0,2024-08-18,34-196,dz ALG,Angers,,Lens,fr Ligue 1,L 0-1,N,15,0,0,0,0,0,0,0,1,0.0,,0,0.0,29.6,0,13,14,92.9,0,2,1,1,0,258,119,6,7,85.7,3,3,100.0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,10,4,0,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,DF,Match Report
8,Sidiki Cherif,2,5,1,0,0,29,1,2024-08-18,17-247,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,Y,75,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,25.4,0,5,11,45.5,1,0,1,1,0,91,20,3,6,50.0,2,4,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,16,12,1,29,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,3,FW,Match Report
9,Himad Abdelli,1,41,4,0,0,79,3,2024-08-18,24-275,dz ALG,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.1,0,41,62,66.1,1,5,1,0,6,493,116,25,32,78.1,13,18,72.2,0,8,0.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,79,0,3,37,39,1,79,3,3,0,0,3,1,1,100.0,0,1,0,1,0,3,0,0,0,0,0,1,3,"MF,FW",Match Report
10,Lilian Raolisoa,0,2,0,0,0,5,1,2024-08-18,24-063,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,N,15,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,1,34,10,1,1,100.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,5,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,"DF,FW",Match Report
11,Pierrick Capelle,0,23,0,0,0,43,3,2024-08-18,37-125,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,23,33,69.7,0,2,0,0,2,414,142,10,14,71.4,8,12,66.7,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,3,25,16,0,43,3,1,1,1,1,2,2,100.0,0,0,0,0,0,3,0,0,0,0,0,1,0,MF,Match Report
12,Abdoulaye Bamba,0,13,1,0,0,26,2,2024-08-18,34-115,ci CIV,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,19,68.4,1,2,2,1,2,324,160,4,5,80.0,5,6,83.3,4,7,57.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,9,13,4,1,26,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0,0,0,0,0,0,DF,Match Report
13,Jacques Ekomie,0,32,1,0,0,57,2,2024-08-18,20-365,ga GAB,Angers,,Lens,fr Ligue 1,L 0-1,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,32,42,76.2,0,3,0,0,3,417,243,20,23,87.0,10,11,90.9,0,3,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,57,1,6,19,32,0,57,2,2,0,1,1,1,1,100.0,0,2,0,2,0,2,2,0,0,0,0,1,2,"DF,FW",Match Report
14,Yahia Fofana,0,22,0,0,0,40,0,2024-08-18,23-363,ci CIV,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,37,59.5,0,2,0,0,0,734,554,0,0,,11,11,100.0,11,26,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,40,0,0,0,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
15,Jordan Lefort,0,47,0,0,1,70,0,2024-08-18,31-009,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,65,72.3,0,3,1,0,5,759,331,22,23,95.7,21,31,67.7,3,7,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,22,37,12,0,70,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,3,0,1,0,0,1,1,DF,Match Report
16,Yassin Belkhdim,1,16,1,0,0,32,3,2024-08-18,22-186,fr FRA,Angers,,Lens,fr Ligue 1,L 0-1,Y,69,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,14.7,0,16,19,84.2,0,0,1,0,1,218,35,9,10,90.0,5,5,100.0,1,2,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32,1,7,14,11,1,32,3,1,0,1,2,0,2,0.0,2,1,0,1,1,4,1,0,0,0,0,3,1,MF,Match Report
17,Zinedine Ferhat,0,11,0,0,0,16,0,2024-08-24,31-176,dz ALG,Angers,@,Lille,fr Ligue 1,L 0-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,11,15,73.3,0,2,0,0,3,243,103,4,4,100.0,4,4,100.0,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,11,2,0,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
18,Cédric Hountondji,0,25,1,0,0,37,2,2024-08-24,30-218,bj BEN,Angers,@,Lille,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,27,92.6,0,0,0,0,0,444,80,7,7,100.0,16,16,100.0,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,9,23,14,0,0,37,2,1,1,1,0,1,3,33.3,2,1,1,0,1,3,6,0,0,0,0,0,0,DF,Match Report
19,Ibrahima Niane,0,3,0,0,0,3,0,2024-08-24,25-166,sn SEN,Angers,@,Lille,fr Ligue 1,L 0-2,N,6,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,25,3,3,3,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
