Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Etienne Youte Kinkoue,0,22,0,0,1,33,1,2024-08-16,22-215,fr FRA,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,27,81.5,0,0,0,0,1,432,107,4,4,100.0,15,15,100.0,2,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,24,8,1,0,33,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,1,0,0,2,0,DF,Match Report
2,Kandet Diawara,0,1,0,0,0,4,0,2024-08-16,24-188,gn GUI,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,N,4,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,6,0,1,2,50.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,FW,Match Report
3,Rassoul Ndiaye,0,11,1,0,0,27,5,2024-08-16,22-249,sn SEN,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,11,18,61.1,0,1,1,0,1,226,110,3,4,75.0,5,8,62.5,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2,11,11,5,1,27,5,3,3,2,0,1,1,100.0,0,1,0,1,1,6,0,0,0,0,0,0,0,MF,Match Report
4,Josué Casimir,1,13,3,0,0,25,1,2024-08-16,22-327,ht HAI,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.0,0,13,19,68.4,1,1,0,0,1,222,24,7,9,77.8,5,6,83.3,1,1,100.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,25,1,3,15,7,3,25,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,0,0,0,2,2,"FW,MF",Match Report
5,Steve Ngoura,0,6,0,0,0,10,0,2024-08-16,19-176,fr FRA,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,N,15,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,0,0,0,0,0,85,3,2,2,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,7,2,0,10,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,FW,Match Report
6,Christopher Operi,0,26,1,1,0,45,0,2024-08-16,27-109,ci CIV,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,26,34,76.5,1,1,0,0,2,509,291,10,13,76.9,11,12,91.7,5,8,62.5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,45,8,18,19,8,1,45,0,0,0,0,0,0,0,,0,2,1,1,1,1,5,0,0,0,0,0,0,"DF,FW",Match Report
7,Yassine Kechta,0,19,3,1,0,34,5,2024-08-16,22-173,ma MAR,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,19,23,82.6,2,1,1,1,2,298,102,11,13,84.6,6,8,75.0,2,2,100.0,3,2,0,0,0,1,0,1,0,0,0,0,1,0,34,0,9,21,6,0,34,5,4,2,3,0,2,2,100.0,0,0,0,0,1,6,0,0,0,0,0,0,5,"MF,FW",Match Report
8,Gautier Lloris,1,20,0,0,1,30,1,2024-08-16,29-029,fr FRA,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,11.9,0,20,25,80.0,0,3,0,0,1,399,151,8,9,88.9,9,10,90.0,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,16,13,1,1,30,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,1,0,0,2,0,DF,Match Report
9,Loïc Nego,0,17,0,0,0,35,5,2024-08-16,33-214,hu HUN,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,23,73.9,0,0,0,0,1,230,114,9,9,100.0,7,9,77.8,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,12,17,7,0,35,5,3,3,2,0,4,5,80.0,1,1,0,1,2,7,1,0,0,0,0,1,1,"DF,FW",Match Report
10,Samuel Grandsir,0,0,0,0,0,3,1,2024-08-16,28-002,fr FRA,Le Havre,,Paris S-G,fr Ligue 1,L 1-4,N,15,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,0,"MF,FW",Match Report
