Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Mohamed Lamine Bayo,3,3,2,0,0,10,0,2024-08-17,26-074,gn GUI,Lille,@,Reims,fr Ligue 1,W 2-0,Y,45,0,0,0,0,0,0,0,3,0.0,,0,0.0,11.0,0,3,5,60.0,1,0,0,0,0,30,6,3,3,100.0,0,1,0.0,0,1,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,4,6,4,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
2,Alexsandro Ribeiro,0,65,2,0,0,87,2,2024-08-17,25-008,br BRA,Lille,@,Reims,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,65,76,85.5,1,13,1,0,10,1280,489,19,23,82.6,45,49,91.8,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,87,11,32,49,6,1,87,2,2,0,2,0,2,2,100.0,0,1,0,1,2,4,5,0,0,0,0,1,0,DF,Match Report
3,Rémy Cabella,1,60,4,0,0,81,2,2024-08-17,34-162,fr FRA,Lille,@,Reims,fr Ligue 1,W 2-0,Y,86,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.3,0,60,72,83.3,2,4,0,0,5,807,160,38,44,86.4,16,20,80.0,3,4,75.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,81,0,4,36,43,4,81,2,1,0,1,1,2,3,66.7,1,0,0,0,1,3,0,0,0,0,0,1,0,"FW,MF",Match Report
4,Bafodé Diakité,2,87,0,0,0,98,1,2024-08-17,23-224,fr FRA,Lille,@,Reims,fr Ligue 1,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,8.7,0,87,89,97.8,0,13,0,0,5,1598,620,25,26,96.2,54,54,100.0,7,7,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11,39,58,2,2,98,1,0,0,1,0,1,1,100.0,0,1,1,0,1,2,3,0,0,0,0,0,0,DF,Match Report
5,Tiago Santos,3,28,4,0,0,53,3,2024-08-17,22-025,pt POR,Lille,@,Reims,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,20.6,0,28,35,80.0,1,1,2,1,4,407,93,17,18,94.4,9,11,81.8,1,3,33.3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,53,0,5,18,30,6,53,3,1,1,1,1,1,3,33.3,2,0,0,0,1,4,0,0,0,0,0,3,3,DF,Match Report
6,Angel Gomes,0,4,1,0,0,5,0,2024-08-17,23-352,eng ENG,Lille,@,Reims,fr Ligue 1,W 2-0,Y,43,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,0,0,0,77,0,2,2,100.0,2,2,100.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,4,0,0,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,MF,Match Report
7,Osame Sahraoui,4,42,7,1,0,65,0,2024-08-17,23-067,ma MAR,Lille,@,Reims,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,18.9,0,42,50,84.0,3,5,3,0,9,574,169,28,31,90.3,14,17,82.4,0,1,0.0,7,5,0,1,1,0,0,1,0,0,0,1,0,0,65,0,1,18,46,8,65,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
8,Ayyoub Bouaddi,0,19,0,0,0,21,0,2024-08-17,16-320,fr FRA,Lille,@,Reims,fr Ligue 1,W 2-0,N,19,0,0,0,0,0,0,0,0,,,0,,,0,19,19,100.0,0,1,0,0,0,328,83,8,8,100.0,10,10,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4,13,4,0,21,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
9,Lucas Chevalier,0,25,0,0,0,26,0,2024-08-17,22-285,fr FRA,Lille,@,Reims,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,26,96.2,0,0,0,0,0,426,284,14,14,100.0,8,8,100.0,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,26,0,0,0,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
10,Ngal'Ayel Mukau,1,60,2,0,1,79,3,2024-08-17,19-261,cd COD,Lille,@,Reims,fr Ligue 1,W 2-0,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,26.3,0,60,67,89.6,1,5,0,0,12,1147,295,22,24,91.7,31,33,93.9,7,8,87.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,79,1,5,59,15,0,79,3,3,0,2,1,1,2,50.0,1,1,0,1,1,4,1,0,1,0,0,3,0,MF,Match Report
