Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Moussa Niakhate,0,42,0,0,0,62,5,2024-08-18,28-163,sn SEN,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,51,82.4,0,2,0,0,1,694,271,19,22,86.4,22,26,84.6,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7,32,30,0,0,62,5,2,3,2,0,2,3,66.7,1,0,0,0,1,6,5,1,0,0,0,3,0,DF,Match Report
2,Mahamadou Diawara,0,4,0,0,0,4,0,2024-08-18,19-183,fr FRA,Lyon,@,Rennes,fr Ligue 1,L 0-3,N,6,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,0,0,0,1,89,60,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
3,Ernest Nuamah,1,24,4,0,0,36,1,2024-08-18,20-291,gh GHA,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.0,0,24,28,85.7,0,0,0,0,0,355,65,15,15,100.0,6,7,85.7,2,3,66.7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,36,3,7,12,17,6,36,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,0,0,0,0,2,"FW,MF",Match Report
4,Georges Mikautadze,3,25,3,0,0,42,1,2024-08-18,23-292,ge GEO,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,90,0,0,0,0,0,1,1,3,0.0,,0,0.0,22.6,0,25,29,86.2,1,2,2,0,5,317,56,14,16,87.5,9,11,81.8,0,0,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,42,1,2,18,22,7,41,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,2,FW,Match Report
5,Clinton Mata,1,42,4,0,0,65,2,2024-08-18,31-285,ao ANG,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.4,0,42,53,79.2,3,5,3,1,9,627,232,26,31,83.9,13,15,86.7,3,5,60.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,65,8,22,23,22,4,65,2,1,2,0,0,0,0,,0,0,0,0,4,6,4,0,0,0,0,3,2,DF,Match Report
6,Saïd Benrahma,3,42,7,0,0,65,0,2024-08-18,29-008,dz ALG,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,20.1,0,42,58,72.4,4,1,3,1,4,581,225,31,34,91.2,5,10,50.0,4,5,80.0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,65,0,6,21,38,7,65,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,2,1,"FW,MF",Match Report
7,Lucas Perri,0,18,0,0,0,31,0,2024-08-18,26-252,br BRA,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,26,69.2,0,0,0,0,0,473,277,2,2,100.0,11,11,100.0,5,13,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,31,0,0,0,31,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
8,Corentin Tolisso,1,6,0,0,0,7,0,2024-08-18,30-015,fr FRA,Lyon,@,Rennes,fr Ligue 1,L 0-3,N,5,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.7,0,6,6,100.0,0,1,0,0,1,99,41,1,1,100.0,4,4,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,2,1,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
9,Abner,0,62,3,0,0,82,2,2024-08-18,24-083,br BRA,Lyon,@,Rennes,fr Ligue 1,L 0-3,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,62,75,82.7,1,5,1,0,9,820,453,40,45,88.9,18,20,90.0,3,6,50.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,82,6,22,43,17,2,82,2,2,1,1,0,1,2,50.0,1,2,1,1,0,2,3,0,0,0,0,0,0,DF,Match Report
10,Malick Fofana,1,5,2,0,0,12,0,2024-08-18,19-140,be BEL,Lyon,@,Rennes,fr Ligue 1,L 0-3,N,23,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.2,0,5,9,55.6,0,2,1,0,3,110,37,2,4,50.0,3,4,75.0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0,1,6,5,1,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,FW,Match Report
