Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Tanguy Coulibaly,0,3,0,0,0,5,0,2024-08-18,23-182,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,1,51,24,1,1,100.0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,1,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
2,Akor Adams,3,3,1,1,0,14,1,2024-08-18,24-202,ng NGA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,79,0,0,0,0,0,0,0,3,0.0,0.0,3,100.0,11.3,0,3,9,33.3,0,0,0,0,0,37,12,1,3,33.3,1,4,25.0,0,1,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,14,0,0,10,4,3,14,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,4,2,FW,Match Report
3,Benjamin Lecomte,0,21,0,0,0,44,0,2024-08-18,33-114,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,40,52.5,0,1,0,0,0,713,614,3,3,100.0,9,9,100.0,9,28,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,44,0,0,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
4,Jordan Ferri,0,35,2,0,1,55,5,2024-08-18,32-159,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,35,45,77.8,1,4,1,1,7,644,211,13,16,81.3,18,20,90.0,3,8,37.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,55,1,16,28,12,3,55,5,5,1,4,0,4,5,80.0,1,1,0,1,1,6,1,0,1,0,0,1,2,MF,Match Report
5,Othmane Maamma,0,0,0,0,0,1,0,2024-08-18,18-317,ma MAR,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
6,Falaye Sacko,0,26,2,0,0,38,2,2024-08-18,29-109,ml MLI,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,29,89.7,0,1,0,0,2,504,168,9,9,100.0,14,14,100.0,3,5,60.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,13,16,9,0,38,2,2,2,0,0,2,3,66.7,1,1,0,1,0,2,1,0,0,0,0,3,0,DF,Match Report
7,Téji Savanier,1,32,4,0,0,63,1,2024-08-18,32-240,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,1,0,1,0,1,1,0,1,0.0,,0,0.0,38.4,0,32,49,65.3,2,4,1,0,9,627,191,13,15,86.7,11,19,57.9,6,11,54.5,4,2,1,0,0,0,1,0,0,0,0,0,0,0,63,2,4,34,25,1,62,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0,0,0,0,3,2,MF,Match Report
8,Modibo Sagnan,0,40,0,0,1,57,4,2024-08-18,25-126,ml MLI,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,48,83.3,0,0,0,0,1,850,292,11,12,91.7,20,22,90.9,7,12,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,29,25,4,0,57,4,0,2,1,1,1,1,100.0,0,0,0,0,1,5,2,0,1,0,0,3,1,DF,Match Report
9,Joris Chotard,0,26,2,0,0,40,3,2024-08-18,22-329,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,31,83.9,0,4,1,0,6,575,223,9,10,90.0,10,12,83.3,7,7,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,5,14,24,2,0,40,3,1,1,2,0,1,2,50.0,1,2,0,2,0,3,1,0,0,0,0,0,0,MF,Match Report
10,Arnaud Nordin,2,7,1,0,1,21,1,2024-08-18,26-062,fr FRA,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,87,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,20.4,0,7,10,70.0,0,0,0,0,1,113,10,3,4,75.0,4,5,80.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,7,13,3,21,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0,1,0,0,1,4,FW,Match Report
11,Enzo Tchato,0,28,1,0,0,46,2,2024-08-18,21-269,cm CMR,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,38,73.7,1,3,1,1,3,462,146,9,11,81.8,17,22,77.3,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,1,9,24,14,1,46,2,0,0,2,0,1,4,25.0,3,0,0,0,0,2,2,0,0,0,0,1,2,DF,Match Report
12,Becir Omeragic,0,32,0,0,0,40,3,2024-08-18,22-211,ch SUI,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,35,91.4,0,2,0,0,2,596,103,9,11,81.8,21,21,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,27,14,0,0,40,3,2,1,2,0,1,2,50.0,1,1,1,0,0,3,2,0,0,0,0,1,0,DF,Match Report
13,Musa Al-Taamari,1,16,2,1,1,30,0,2024-08-18,27-069,jo JOR,Montpellier,,Strasbourg,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.0,0,16,18,88.9,1,1,3,0,3,193,39,12,13,92.3,2,2,100.0,1,1,100.0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,30,0,1,16,13,3,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,2,2,"FW,MF",Match Report
14,Wahbi Khazri,1,12,1,0,1,19,0,2024-08-23,33-197,tn TUN,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,Y,67,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.2,0,12,14,85.7,0,1,1,1,1,129,28,8,10,80.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,13,6,1,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,2,1,"FW,MF",Match Report
15,Akor Adams,2,4,2,0,0,10,0,2024-08-23,24-207,ng NGA,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,N,23,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.7,0,4,6,66.7,0,0,0,0,0,27,4,3,4,75.0,0,1,0.0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,3,4,3,3,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
16,Benjamin Lecomte,0,31,0,0,0,46,0,2024-08-23,33-119,fr FRA,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,42,73.8,0,0,0,0,0,896,731,6,6,100.0,11,11,100.0,14,25,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,45,1,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
17,Jordan Ferri,0,29,0,0,0,36,1,2024-08-23,32-164,fr FRA,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,Y,67,0,0,0,0,0,0,0,0,,,0,,,0,29,29,100.0,0,2,0,0,2,450,140,16,16,100.0,5,5,100.0,5,5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,17,19,0,0,36,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,0,1,MF,Match Report
18,Gabriel Bares,0,3,0,0,0,5,1,2024-08-23,23-360,ch SUI,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,N,8,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,27,0,3,3,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,DF",Match Report
19,Boubakar Kouyaté,1,19,0,0,1,36,4,2024-08-23,27-130,ml MLI,Montpellier,@,Paris S-G,fr Ligue 1,L 0-6,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,6.5,0,19,23,82.6,0,0,0,0,1,411,181,6,8,75.0,8,9,88.9,5,5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,23,12,1,1,36,4,1,3,1,0,3,5,60.0,2,0,0,0,3,7,4,0,1,0,0,3,1,DF,Match Report
