Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jean-Kevin Duverne,0,8,0,0,0,10,0,2024-08-18,27-037,ht HAI,Nantes,@,Toulouse,fr Ligue 1,D 0-0,N,16,0,0,0,0,0,0,0,0,,,0,,,0,8,9,88.9,0,1,0,0,1,139,48,3,3,100.0,4,4,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,7,1,0,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,DF,Match Report
2,Matthis Abline,4,10,1,0,0,24,0,2024-08-18,21-143,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,89,0,0,0,0,0,0,0,4,0.0,,0,0.0,16.3,0,10,14,71.4,2,1,0,0,3,173,37,5,6,83.3,4,5,80.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,2,4,6,17,5,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,2,FW,Match Report
3,Johann Lepenant,0,1,0,0,0,3,0,2024-08-18,21-301,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,N,8,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,20,0,0,0,,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,MF,Match Report
4,Marcus Coco,0,30,3,0,1,44,3,2024-08-18,28-055,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,74,0,0,0,0,0,0,0,0,,,0,,,0,30,40,75.0,1,2,1,0,3,570,217,12,13,92.3,15,18,83.3,3,9,33.3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,44,2,14,21,9,0,44,3,3,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,1,0,0,3,2,DF,Match Report
5,Douglas,1,43,3,0,0,55,1,2024-08-18,27-218,br BRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.9,0,43,46,93.5,1,3,1,1,3,648,124,21,21,100.0,21,23,91.3,0,0,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,55,1,6,27,22,3,55,1,0,1,0,0,0,0,,0,3,1,2,0,1,0,0,0,0,0,2,4,MF,Match Report
6,Alban Lafont,0,17,1,0,0,38,0,2024-08-18,25-208,ci CIV,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,32,53.1,1,1,0,0,0,607,498,2,2,100.0,6,6,100.0,9,24,37.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,38,31,37,1,0,0,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
7,Mostafa Mohamed,0,2,0,0,0,3,0,2024-08-18,26-264,eg EGY,Nantes,@,Toulouse,fr Ligue 1,D 0-0,N,16,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,1,31,10,1,1,100.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
8,Moses Simon,2,18,2,0,0,32,0,2024-08-18,29-037,ng NGA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,74,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.8,0,18,24,75.0,0,0,0,0,3,283,50,9,9,100.0,9,10,90.0,0,1,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,32,1,3,6,24,3,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
9,Pedro Chirivella,0,55,2,0,0,72,0,2024-08-18,27-087,es ESP,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,55,68,80.9,0,4,1,1,4,1039,237,21,25,84.0,26,34,76.5,8,9,88.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,72,4,9,48,15,0,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,1,0,MF,Match Report
10,Nicolas Pallois,0,0,0,0,0,1,0,2024-08-18,36-334,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
11,Tino Kadewere,1,17,0,0,1,31,4,2024-08-18,28-226,zw ZIM,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,82,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,23.3,0,17,22,77.3,0,1,0,0,1,210,34,13,17,76.5,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,7,13,12,3,31,4,2,2,0,2,2,2,100.0,0,0,0,0,1,5,0,0,1,0,0,1,0,"MF,FW",Match Report
12,Sorba Thomas,1,22,3,0,0,44,2,2024-08-18,24-362,wls WAL,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,89,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.7,0,22,30,73.3,2,1,1,1,1,332,88,13,13,100.0,7,8,87.5,1,8,12.5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,44,1,6,18,22,2,44,2,1,1,1,0,1,3,33.3,2,2,0,2,1,3,1,0,0,0,0,0,0,"FW,MF",Match Report
13,Bahereba Guirassy,0,0,0,0,0,3,0,2024-08-18,17-355,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
14,Kelvin Amian,0,46,2,0,0,61,5,2024-08-18,26-192,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,50,92.0,1,5,1,0,4,830,177,18,19,94.7,23,23,100.0,4,5,80.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,61,3,18,21,22,0,61,5,3,5,0,0,2,3,66.7,1,1,1,0,0,5,4,0,0,0,0,1,1,DF,Match Report
15,Jean-Charles Castelletto,1,53,0,0,1,75,1,2024-08-18,29-205,cm CMR,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.4,0,53,58,91.4,0,3,0,0,1,1090,253,15,16,93.8,27,29,93.1,10,12,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9,32,39,4,1,75,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,9,0,1,0,0,1,1,"DF,MF",Match Report
16,Nathan Zeze,0,52,1,0,0,79,2,2024-08-18,19-061,fr FRA,Nantes,@,Toulouse,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,52,63,82.5,0,3,0,0,2,991,340,15,15,100.0,33,37,89.2,3,9,33.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,79,16,32,46,1,0,79,2,2,0,2,0,1,1,100.0,0,1,1,0,2,4,10,0,0,0,0,0,1,DF,Match Report
17,Jean-Kevin Duverne,2,30,3,0,0,69,3,2024-08-25,27-044,ht HAI,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.2,0,30,48,62.5,1,4,1,1,4,487,235,14,20,70.0,13,18,72.2,3,7,42.9,3,1,0,1,0,1,0,0,0,0,0,0,0,0,69,5,23,23,23,2,69,3,2,1,1,1,2,4,50.0,2,3,0,3,2,5,7,0,0,0,0,2,1,DF,Match Report
18,Matthis Abline,2,10,3,0,0,29,0,2024-08-25,21-150,fr FRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,76,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,17.2,0,10,16,62.5,0,0,2,0,3,135,25,6,7,85.7,4,7,57.1,0,0,,3,1,0,1,1,0,0,0,0,0,0,0,0,0,29,1,2,8,19,4,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,0,1,2,FW,Match Report
19,Johann Lepenant,0,15,0,0,0,31,3,2024-08-25,21-308,fr FRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,21,71.4,0,3,1,0,3,266,83,5,7,71.4,9,10,90.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,10,14,7,0,31,3,2,3,0,0,0,0,,0,2,1,1,1,4,1,0,0,0,0,2,0,MF,Match Report
20,Marcus Coco,0,5,0,0,0,12,1,2024-08-25,28-062,fr FRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,0,68,16,3,3,100.0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,7,4,0,12,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,0,0,0,0,0,DF,Match Report
21,Douglas,1,28,0,0,1,48,5,2024-08-25,27-225,br BRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,11.6,0,28,35,80.0,0,3,0,0,2,471,232,13,16,81.3,10,14,71.4,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,12,23,13,1,48,5,3,1,2,2,2,3,66.7,1,1,0,1,2,7,1,0,1,0,0,1,1,MF,Match Report
22,Alban Lafont,0,13,0,0,0,24,0,2024-08-25,25-215,ci CIV,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,20,65.0,0,1,0,0,0,372,293,2,2,100.0,7,7,100.0,4,11,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
23,Mostafa Mohamed,0,0,0,0,0,5,0,2024-08-25,26-271,eg EGY,Nantes,,Auxerre,fr Ligue 1,W 2-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,0,3,0.0,0,0,0,0,0,0,0,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,1,5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
24,Moses Simon,2,17,2,0,0,37,1,2024-08-25,29-044,ng NGA,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,77,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,22.9,1,17,24,70.8,1,1,1,1,3,307,178,7,8,87.5,9,11,81.8,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,7,15,16,4,37,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,0,0,0,1,0,"FW,MF",Match Report
25,Pedro Chirivella,0,34,2,1,0,52,0,2024-08-25,27-094,es ESP,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,87,0,1,1,0,0,0,0,0,,,0,,,0,34,47,72.3,2,4,0,0,2,613,243,12,15,80.0,19,22,86.4,2,6,33.3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,52,4,15,31,6,0,52,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,0,0,0,0,1,0,MF,Match Report
26,Tino Kadewere,0,1,0,0,0,6,2,2024-08-25,28-233,zw ZIM,Nantes,,Auxerre,fr Ligue 1,W 2-0,N,14,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,11,0,1,2,50.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,3,1,6,2,0,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,0,0,"MF,FW",Match Report
27,Sorba Thomas,1,12,1,0,0,38,0,2024-08-25,25-003,wls WAL,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,77,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.3,0,12,27,44.4,0,2,0,0,3,181,88,8,10,80.0,3,8,37.5,1,8,12.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,1,3,14,21,3,38,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,"FW,MF",Match Report
28,Bahereba Guirassy,1,0,2,2,0,3,0,2024-08-25,17-362,fr FRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,N,3,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,17.5,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,2,0,0,2,0,0,0,2,0,0,2,0,0,0,3,1,1,1,2,2,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
29,Kelvin Amian,0,30,2,0,0,47,6,2024-08-25,26-199,fr FRA,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,38,78.9,1,2,1,0,4,428,244,17,18,94.4,9,11,81.8,2,5,40.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,47,3,13,15,20,2,47,6,4,5,1,0,1,1,100.0,0,0,0,0,0,6,2,0,0,0,0,0,0,DF,Match Report
30,Jean-Charles Castelletto,0,20,0,0,0,40,0,2024-08-25,29-212,cm CMR,Nantes,,Auxerre,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,24,83.3,0,1,1,0,1,351,152,8,8,100.0,10,12,83.3,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,30,11,0,0,40,0,0,0,0,0,0,1,0.0,1,3,3,0,0,0,12,0,0,0,0,0,0,"DF,MF",Match Report
