Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Gianluigi Donnarumma,0,22,0,0,0,28,0,2024-08-16,25-173,it ITA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,28,78.6,0,0,0,0,0,470,293,4,4,100.0,15,15,100.0,3,9,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,28,0,0,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
2,Ibrahim Mbaye,1,17,0,0,0,25,0,2024-08-16,16-205,fr FRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,45,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,13.2,0,17,18,94.4,0,1,0,0,2,274,38,7,7,100.0,8,8,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,10,15,1,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
3,Vitinha,1,119,4,1,0,133,2,2024-08-16,24-185,pt POR,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.4,0,119,124,96.0,2,16,2,0,16,2219,564,58,60,96.7,43,43,100.0,18,18,100.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,133,3,12,90,31,0,133,2,1,0,2,0,2,2,100.0,0,1,1,0,0,2,0,0,0,0,0,1,1,MF,Match Report
4,Marco Asensio,3,41,5,0,0,56,0,2024-08-16,28-208,es ESP,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,70,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,13.7,0,41,50,82.0,3,4,1,0,5,613,133,23,27,85.2,14,16,87.5,3,4,75.0,5,3,0,1,1,0,0,0,0,0,0,0,0,0,56,0,1,28,28,6,56,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
5,Yoram Zague,0,80,0,0,0,93,3,2024-08-16,18-093,fr FRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,80,85,94.1,0,3,0,0,4,1372,317,30,32,93.8,47,49,95.9,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,2,28,64,1,0,93,3,2,1,1,1,2,2,100.0,0,1,0,1,0,3,1,0,0,0,0,0,0,"DF,FW",Match Report
6,Warren Zaïre-Emery,0,76,3,1,0,90,1,2024-08-16,18-161,fr FRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,76,81,93.8,1,1,0,0,6,1119,170,49,50,98.0,22,24,91.7,4,6,66.7,3,3,0,0,0,0,0,1,1,0,0,0,0,0,90,2,8,61,21,0,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,1,"MF,DF",Match Report
7,Lee Kang-in,2,47,2,0,0,62,0,2024-08-16,23-179,kr KOR,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,70,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,13.5,0,47,51,92.2,1,8,1,0,5,653,192,30,31,96.8,12,13,92.3,3,4,75.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,62,0,3,33,26,4,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,"FW,MF",Match Report
8,Bradley Barcola,1,8,0,0,0,14,0,2024-08-16,21-349,fr FRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,N,20,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,18.1,0,8,10,80.0,0,0,0,0,0,89,4,7,7,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,3,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
9,Ousmane Dembélé,2,11,1,0,0,22,0,2024-08-16,27-093,fr FRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,N,20,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,14.4,0,11,19,57.9,1,0,0,0,0,202,40,5,8,62.5,3,4,75.0,3,4,75.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,19,3,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
10,Lucas Beraldo,0,124,0,0,0,134,2,2024-08-16,20-266,br BRA,Paris S-G,@,Le Havre,fr Ligue 1,W 4-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,124,129,96.1,0,14,1,0,9,2171,853,50,52,96.2,62,63,98.4,9,11,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,7,46,86,4,0,134,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,2,0,0,0,0,1,0,DF,Match Report
