Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Joseph Okumu,0,25,0,0,0,50,4,2024-08-17,27-083,ke KEN,Reims,,Lille,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,33,75.8,0,3,0,0,3,686,318,3,4,75.0,12,13,92.3,10,16,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,36,14,1,0,50,4,2,2,2,0,2,2,100.0,0,6,6,0,2,6,4,0,0,0,0,0,1,DF,Match Report
2,Sergio Akieme,0,23,0,0,0,45,2,2024-08-17,26-245,es ESP,Reims,,Lille,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,34,67.6,0,1,0,0,2,326,112,14,17,82.4,7,8,87.5,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,23,15,8,1,45,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,4,0,0,0,0,0,1,DF,Match Report
3,Marshall Munetsi,1,4,0,0,0,18,2,2024-08-17,28-056,zw ZIM,Reims,,Lille,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.2,0,4,9,44.4,0,0,1,0,1,88,62,2,3,66.7,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,4,8,6,2,18,2,2,1,1,0,1,2,50.0,1,0,0,0,2,4,0,0,0,0,0,1,3,MF,Match Report
4,Amadou Koné,0,7,0,0,0,7,0,2024-08-17,19-095,ml MLI,Reims,,Lille,fr Ligue 1,L 0-2,Y,14,0,0,0,0,0,0,0,0,,,0,,,0,7,7,100.0,0,1,1,0,1,136,35,1,1,100.0,6,6,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,2,0,MF,Match Report
5,Mamadou Diakhon,0,5,1,0,0,7,2,2024-08-17,18-330,fr FRA,Reims,,Lille,fr Ligue 1,L 0-2,N,19,0,0,0,0,0,0,0,0,,,0,,,0,5,5,100.0,1,0,0,0,0,51,0,3,3,100.0,1,1,100.0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2,4,1,1,7,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,1,0,0,0,0,0,2,"FW,MF",Match Report
6,Nhoa Sangui,0,8,0,0,0,10,0,2024-08-17,18-172,fr FRA,Reims,,Lille,fr Ligue 1,L 0-2,N,30,0,0,0,0,0,0,0,0,,,0,,,0,8,10,80.0,0,1,0,0,1,158,30,2,3,66.7,4,5,80.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4,2,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
7,Oumar Diakité,0,13,0,0,0,26,2,2024-08-17,20-241,ci CIV,Reims,,Lille,fr Ligue 1,L 0-2,Y,60,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,0,1,0,3,238,45,4,4,100.0,6,7,85.7,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,4,11,11,2,26,2,2,0,2,0,2,3,66.7,1,0,0,0,0,2,0,0,0,0,0,0,2,FW,Match Report
8,Valentin Atangana Edoa,1,17,0,0,1,32,2,2024-08-17,18-358,fr FRA,Reims,,Lille,fr Ligue 1,L 0-2,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,35.9,0,17,21,81.0,0,1,0,0,1,265,85,11,11,100.0,5,6,83.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,16,11,5,0,32,2,1,1,0,1,1,1,100.0,0,0,0,0,2,4,4,0,1,0,0,1,1,MF,Match Report
9,Emmanuel Agbadou,0,43,1,0,0,65,3,2024-08-17,27-061,ci CIV,Reims,,Lille,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,43,53,81.1,0,4,0,0,7,895,438,15,17,88.2,22,24,91.7,6,12,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,13,38,27,1,0,65,3,1,2,0,1,1,1,100.0,0,2,2,0,2,5,2,1,0,0,0,1,2,DF,Match Report
10,Reda Khadra,0,4,0,0,0,13,1,2024-08-17,23-044,de GER,Reims,,Lille,fr Ligue 1,L 0-2,N,30,0,0,0,0,0,0,0,0,,,0,,,0,4,9,44.4,0,0,0,0,0,91,43,1,1,100.0,3,5,60.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,6,3,6,0,13,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,0,2,"MF,FW",Match Report
