Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Albert Grønbaek,2,17,5,0,0,33,1,2024-08-18,23-087,dk DEN,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,86,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,17.6,0,17,21,81.0,6,1,2,0,2,238,85,12,16,75.0,4,4,100.0,1,1,100.0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,33,0,4,9,21,7,33,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,1,0,"MF,FW",Match Report
2,Steve Mandanda,0,18,2,0,0,29,0,2024-08-18,39-143,fr FRA,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,27,66.7,1,1,0,0,0,495,435,7,7,100.0,5,5,100.0,6,15,40.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,29,27,29,0,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
3,Benjamin Bourigeaud,2,36,2,0,0,57,1,2024-08-18,30-217,fr FRA,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,80,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,16.1,1,36,48,75.0,0,3,0,0,4,646,141,15,16,93.8,17,21,81.0,4,10,40.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,57,3,9,24,25,2,57,1,0,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,0,0,0,0,0,MF,Match Report
4,Hans Hateboer,1,7,1,0,0,13,1,2024-08-18,30-222,nl NED,Rennes,,Lyon,fr Ligue 1,W 3-0,N,18,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.8,0,7,8,87.5,1,1,1,1,1,95,39,3,3,100.0,4,4,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,3,4,1,13,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,0,0,0,0,0,DF,Match Report
5,Glen Kamara,0,59,4,0,0,74,3,2024-08-18,28-295,fi FIN,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,59,64,92.2,1,7,3,0,10,782,318,40,43,93.0,15,15,100.0,3,4,75.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,74,2,15,40,20,3,74,3,1,1,1,1,3,3,100.0,0,3,0,3,1,4,0,0,0,0,0,1,0,MF,Match Report
6,Adrien Truffert,0,2,0,0,0,5,2,2024-08-18,22-272,fr FRA,Rennes,,Lyon,fr Ligue 1,W 3-0,N,4,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,30,32,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,5,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,"DF,MF",Match Report
7,Baptiste Santamaria,1,10,0,0,0,13,1,2024-08-18,29-162,fr FRA,Rennes,,Lyon,fr Ligue 1,W 3-0,N,10,0,0,0,0,0,0,0,1,0.0,,0,0.0,6.4,0,10,12,83.3,0,1,0,0,0,189,45,4,4,100.0,5,7,71.4,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,6,3,1,13,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
8,Ludovic Blas,6,20,9,2,0,41,2,2024-08-18,26-231,fr FRA,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,90,0,1,1,0,0,0,0,6,0.0,0.0,1,16.7,14.0,0,20,27,74.1,4,1,2,1,2,274,108,14,15,93.3,3,7,42.9,2,3,66.7,9,4,1,0,1,1,2,2,0,1,0,0,1,0,41,0,2,14,25,9,41,2,1,0,1,1,2,3,66.7,1,0,0,0,1,3,1,0,0,0,0,1,4,"MF,FW",Match Report
9,Azor Matusiwa,1,54,3,0,0,72,4,2024-08-18,26-112,nl NED,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.8,0,54,59,91.5,1,6,1,0,8,943,286,27,29,93.1,20,20,100.0,6,6,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,72,5,18,40,14,0,72,4,2,2,2,0,3,4,75.0,1,2,0,2,0,4,4,0,0,0,0,1,0,MF,Match Report
10,Amine Gouiri,7,27,4,2,0,43,0,2024-08-18,24-184,dz ALG,Rennes,,Lyon,fr Ligue 1,W 3-0,Y,90,1,1,2,1,0,0,0,7,0.14,0.25,4,57.1,17.2,0,27,30,90.0,2,2,3,0,7,470,127,12,14,85.7,12,13,92.3,3,3,100.0,4,2,0,2,0,0,0,2,1,0,1,0,0,0,43,1,3,18,23,11,43,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,4,2,"MF,FW",Match Report
