Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Marwann Nzuzi,1,26,0,0,1,45,2,2024-08-17,20-093,fr FRA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,80,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.0,0,26,32,81.3,0,3,0,0,2,346,177,15,15,100.0,9,15,60.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,20,19,6,0,45,2,2,1,0,1,1,2,50.0,1,0,0,0,2,4,4,0,1,0,0,1,1,DF,Match Report
2,Lamine Fomba,0,5,0,0,0,9,1,2024-08-17,26-204,fr FRA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,0,98,27,2,2,100.0,2,3,66.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,6,0,0,9,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,1,0,0,0,0,0,0,MF,Match Report
3,Mathieu Cafaro,2,14,3,0,0,31,1,2024-08-17,27-145,fr FRA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,67,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,17.2,0,14,24,58.3,2,0,0,0,1,230,72,9,12,75.0,3,7,42.9,2,4,50.0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,31,0,9,13,10,4,31,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,1,4,"MF,FW",Match Report
4,Yunis Abdelhamid,1,25,0,0,0,46,3,2024-08-17,36-324,ma MAR,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,17.6,0,25,33,75.8,0,1,0,0,0,401,169,12,13,92.3,12,16,75.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,33,10,3,1,46,3,1,3,0,0,2,2,100.0,0,3,3,0,1,4,4,0,0,0,0,4,1,DF,Match Report
5,Beres Owusu,0,20,2,0,0,44,2,2024-08-17,20-333,fr FRA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,32,62.5,1,1,1,0,3,375,121,9,10,90.0,7,13,53.8,4,8,50.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,44,5,15,19,10,1,44,2,2,1,1,0,2,2,100.0,0,2,2,0,0,2,5,0,0,0,0,1,1,DF,Match Report
6,Dylan Batubinsika,0,17,0,0,0,30,1,2024-08-17,28-184,cd COD,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,19,89.5,0,0,0,0,1,337,84,5,5,100.0,11,12,91.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,20,10,0,0,30,1,1,1,0,0,1,2,50.0,1,3,2,1,3,4,1,0,0,0,0,0,1,DF,Match Report
7,Augustine Boakye,0,3,0,0,0,6,2,2024-08-17,23-288,gh GHA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,N,23,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,49,10,2,2,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,6,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,0,0,0,2,0,"FW,MF",Match Report
8,Ayman Aiki,0,3,0,0,0,8,1,2024-08-17,19-053,fr FRA,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,N,23,0,0,0,0,0,0,0,0,,,0,,,0,3,6,50.0,0,0,0,0,2,43,26,1,3,33.3,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,5,1,0,8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
9,Zuriko Davitashvili,2,8,1,0,0,28,1,2024-08-17,23-184,ge GEO,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,21.3,0,8,17,47.1,0,1,0,0,0,121,47,5,7,71.4,1,5,20.0,1,3,33.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,4,12,13,1,28,1,1,0,1,0,1,4,25.0,3,0,0,0,1,2,0,0,0,0,0,0,0,"FW,MF",Match Report
10,Jibril Othman,0,1,0,0,0,1,0,2024-08-17,20-113,tn TUN,Saint-Étienne,@,Monaco,fr Ligue 1,L 0-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,10,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
