Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Ismaël Doukouré,0,40,2,1,1,52,3,2024-08-18,21-025,fr FRA,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,85,0,1,1,0,0,0,0,0,,,0,,,0,40,45,88.9,2,4,0,0,5,597,172,17,18,94.4,16,16,100.0,3,4,75.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,52,3,14,35,3,0,52,3,0,1,2,0,2,2,100.0,0,0,0,0,2,5,1,0,1,0,0,1,2,"DF,MF",Match Report
2,Jérémy Sebas,0,1,0,0,0,3,1,2024-08-18,21-126,mq MTQ,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,1,0,0,1,20,14,0,1,0.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
3,Diego Moreira,0,10,2,0,0,21,0,2024-08-18,20-012,be BEL,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,10,18,55.6,0,1,1,0,2,139,60,6,7,85.7,3,6,50.0,1,2,50.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0,2,11,8,1,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"DF,MF",Match Report
4,Marvin Senaya,0,30,0,0,0,36,2,2024-08-18,23-203,tg TOG,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,30,31,96.8,0,1,0,0,1,558,127,14,14,100.0,11,11,100.0,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,13,24,0,0,36,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0,0,0,0,0,1,DF,Match Report
5,Abakar Sylla,0,30,1,0,1,40,3,2024-08-18,21-237,ci CIV,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,30,33,90.9,0,0,0,0,0,497,246,16,17,94.1,11,11,100.0,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,7,26,11,3,0,40,3,1,0,2,1,1,2,50.0,1,2,1,1,1,4,0,0,1,0,0,3,1,DF,Match Report
6,Dilane Bakwa,1,26,6,0,0,49,3,2024-08-18,21-358,fr FRA,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,32.1,0,26,35,74.3,5,2,2,1,2,506,190,10,12,83.3,8,11,72.7,6,9,66.7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,49,1,9,23,18,0,49,3,1,3,0,0,2,2,100.0,0,0,0,0,2,5,1,0,0,0,0,1,4,"MF,DF",Match Report
7,Karol Fila,0,2,0,0,1,4,0,2024-08-18,26-066,pl POL,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,18,0,1,1,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,MF,Match Report
8,Caleb Wiley,0,31,2,0,0,46,0,2024-08-18,19-240,us USA,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,31,40,77.5,1,0,2,1,2,496,175,14,19,73.7,13,14,92.9,1,3,33.3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,46,2,10,24,13,1,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,1,"DF,MF",Match Report
9,Habib Diarra,1,20,2,0,0,30,1,2024-08-18,20-228,sn SEN,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,80,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,18.3,0,20,26,76.9,0,2,1,0,4,251,61,12,13,92.3,6,7,85.7,0,2,0.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,30,0,3,19,9,1,30,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,2,2,"MF,FW",Match Report
10,Emanuel Emegha,1,5,3,0,0,17,1,2024-08-18,21-197,nl NED,Strasbourg,@,Montpellier,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.2,0,5,9,55.6,0,0,0,0,0,49,0,3,5,60.0,1,1,100.0,0,0,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,17,2,2,10,5,2,17,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,2,3,FW,Match Report
