Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,André Ayew,2,3,0,0,0,20,1,2025-03-30,35-103,gh GHA,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,61,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,4.6,0,3,9,33.3,0,0,0,0,0,36,1,2,5,40.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,3,8,9,5,20,1,1,0,1,0,0,0,,0,0,0,0,0,1,3,0,0,0,0,1,0,FW,Match Report
402,Koka,1,7,2,1,0,12,0,2025-03-30,32-025,eg EGY,Le Havre,,Nantes,fr Ligue 1,W 3-2,N,18,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.8,0,7,8,87.5,1,0,0,0,0,55,5,5,5,100.0,1,2,50.0,0,0,,2,1,0,0,1,0,0,1,0,0,0,1,0,0,12,0,1,5,6,2,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
403,Yassine Kechta,1,18,1,0,0,28,1,2025-03-30,23-033,ma MAR,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,72,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.6,0,18,23,78.3,0,1,0,0,4,340,57,9,10,90.0,7,8,87.5,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,14,14,1,28,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,2,0,"MF,FW",Match Report
404,Gautier Lloris,0,50,0,0,0,73,5,2025-03-30,29-255,fr FRA,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,50,59,84.7,0,4,0,0,2,1037,317,11,12,91.7,35,38,92.1,4,8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,47,26,0,0,73,5,2,5,0,0,3,3,100.0,0,1,1,0,1,6,7,0,0,0,0,2,0,DF,Match Report
405,Loïc Nego,1,44,2,1,0,59,3,2025-03-30,34-074,hu HUN,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.9,0,44,51,86.3,0,7,2,1,6,830,368,20,20,100.0,17,23,73.9,7,8,87.5,2,2,0,0,0,0,0,1,1,0,0,0,0,0,59,3,15,29,15,1,59,3,3,2,1,0,3,3,100.0,0,0,0,0,2,5,4,0,0,0,0,1,0,"DF,FW",Match Report
406,Arthur Desmas,0,26,0,0,0,26,0,2025-03-30,30-357,fr FRA,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,26,100.0,0,0,0,0,0,564,298,4,4,100.0,18,18,100.0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,26,0,0,0,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
407,Junior Mwanga,3,34,3,1,0,51,2,2025-03-30,21-323,fr FRA,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,11.2,0,34,43,79.1,0,2,0,0,3,580,197,18,18,100.0,12,16,75.0,4,8,50.0,3,1,1,0,1,0,0,1,1,0,0,0,0,0,51,1,16,25,12,5,51,2,1,1,1,0,2,3,66.7,1,1,0,1,2,4,1,0,0,0,0,3,0,MF,Match Report
408,Abdoulaye Touré,2,39,2,1,0,59,2,2025-03-30,31-027,gn GUI,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,83,2,0,2,0,2,2,0,2,0.0,,0,0.0,36.0,0,39,47,83.0,0,2,0,0,3,738,247,15,17,88.2,18,23,78.3,4,4,100.0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,59,1,14,36,9,4,57,2,2,0,0,2,1,3,33.3,2,0,0,0,1,3,1,0,0,0,0,1,5,MF,Match Report
409,Timothee Pembele,1,44,2,0,1,59,2,2025-03-30,22-202,fr FRA,Le Havre,,Nantes,fr Ligue 1,W 3-2,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,4.1,0,44,48,91.7,0,2,2,1,5,641,185,23,23,100.0,16,17,94.1,2,3,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,59,3,18,33,8,2,59,2,1,1,1,0,0,0,,0,1,0,1,1,3,3,0,1,0,0,2,1,DF,Match Report
410,Antoine Joujou,0,5,3,0,0,9,0,2025-03-30,22-018,fr FRA,Le Havre,,Nantes,fr Ligue 1,W 3-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,5,8,62.5,0,0,2,1,1,84,39,2,4,50.0,2,3,66.7,1,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,4,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
411,Etienne Youte Kinkoue,1,2,0,0,0,7,1,2025-04-06,23-082,fr FRA,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,N,6,0,0,0,0,0,0,0,1,0.0,,0,0.0,33.4,1,2,3,66.7,0,0,0,0,0,32,5,1,1,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,1,0,7,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,DF,Match Report
412,Arouna Sangante,0,50,1,0,0,72,2,2025-04-06,22-359,sn SEN,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,50,57,87.7,0,0,0,0,0,824,374,20,20,100.0,30,32,93.8,0,3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,72,14,48,23,1,1,72,2,1,2,0,0,2,2,100.0,0,0,0,0,2,4,9,0,0,0,0,0,3,DF,Match Report
413,Mahamadou Diawara,0,13,0,0,0,17,0,2025-04-06,20-048,fr FRA,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,N,27,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,2,0,0,3,193,59,9,9,100.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3,9,5,1,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
414,Issa Soumaré,0,7,1,0,0,16,0,2025-04-06,24-178,sn SEN,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,N,27,0,0,0,0,0,0,0,0,,,0,,,0,7,12,58.3,1,1,0,0,0,110,12,3,3,100.0,4,7,57.1,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,4,6,6,1,16,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,"FW,MF",Match Report
415,Rassoul Ndiaye,0,1,1,0,0,3,0,2025-04-06,23-116,sn SEN,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,N,6,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,1,1,0,0,1,17,9,0,0,,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
416,Josué Casimir,1,17,4,2,0,31,1,2025-04-06,23-194,ht HAI,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,Y,63,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,26.9,0,17,21,81.0,3,0,1,1,2,247,77,10,11,90.9,6,7,85.7,1,3,33.3,4,3,0,0,1,0,0,2,1,0,0,1,0,0,31,1,8,7,16,3,31,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,0,0,0,0,0,"FW,MF",Match Report
417,Mathieu Gorgelin,0,31,0,0,1,45,0,2025-04-06,34-244,fr FRA,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,42,73.8,0,0,0,0,0,803,525,6,6,100.0,16,17,94.1,9,19,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,45,0,0,0,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,GK,Match Report
418,André Ayew,1,0,1,0,0,4,1,2025-04-06,35-110,gh GHA,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,N,17,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.9,0,0,2,0.0,0,0,0,0,0,0,0,0,0,,0,2,0.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,1,0,0,0,0,2,FW,Match Report
419,Koka,1,10,1,0,0,23,0,2025-04-06,32-032,eg EGY,Le Havre,@,Montpellier,fr Ligue 1,W 2-0,Y,84,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.8,0,10,14,71.4,0,1,0,0,1,123,32,7,9,77.8,2,3,66.7,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,3,14,6,2,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
