Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Andy Diouf,0,13,0,0,1,23,2,2024-11-29,21-196,fr FRA,Lens,@,Reims,fr Ligue 1,W 2-0,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,13,15,86.7,0,0,0,0,2,141,45,10,10,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,11,9,0,23,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,1,0,0,2,1,MF,Match Report
202,M'Bala Nzola,4,12,2,1,0,26,0,2024-11-29,28-103,ao ANG,Lens,@,Reims,fr Ligue 1,W 2-0,Y,87,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,16.3,0,12,17,70.6,0,1,0,0,2,128,40,9,13,69.2,2,2,100.0,0,0,,2,0,0,2,0,0,0,1,0,0,1,0,0,0,26,0,2,12,12,3,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,0,FW,Match Report
203,Deiver Machado,0,2,0,0,0,7,0,2024-11-29,31-088,co COL,Lens,@,Reims,fr Ligue 1,W 2-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,29,0,1,1,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,0,0,"DF,MF",Match Report
204,Adrien Thomasson,1,41,2,0,0,73,9,2024-11-29,30-355,fr FRA,Lens,@,Reims,fr Ligue 1,W 2-0,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,20.6,0,41,54,75.9,1,3,0,0,6,560,163,20,26,76.9,17,23,73.9,1,2,50.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,73,3,23,33,17,0,73,9,5,4,3,2,5,9,55.6,4,3,1,2,0,9,4,0,0,0,0,1,3,MF,Match Report
205,Rémy Labeau Lascary,1,15,2,1,1,29,2,2024-11-29,21-271,gp GLP,Lens,@,Reims,fr Ligue 1,W 2-0,Y,70,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,14.2,0,15,17,88.2,0,0,1,1,0,224,56,11,12,91.7,3,4,75.0,1,1,100.0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,29,1,9,10,10,2,29,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,3,0,1,0,0,1,1,"FW,MF",Match Report
206,Abdukodir Khusanov,0,46,2,0,0,62,0,2024-11-29,20-274,uz UZB,Lens,@,Reims,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,51,90.2,1,3,1,0,2,917,303,10,12,83.3,32,32,100.0,2,5,40.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,62,9,39,21,2,0,62,0,0,0,0,0,0,0,,0,0,0,0,4,4,8,0,0,0,0,0,1,DF,Match Report
207,Przemysław Frankowski,0,63,5,0,0,77,0,2024-12-08,29-240,pl POL,Lens,,Montpellier,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,63,70,90.0,1,11,3,2,14,1083,464,28,33,84.8,28,28,100.0,5,5,100.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,77,1,11,38,29,1,77,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,2,0,DF,Match Report
208,Anass Zaroury,4,37,3,0,0,57,0,2024-12-08,24-031,ma MAR,Lens,,Montpellier,fr Ligue 1,W 2-0,Y,90,0,0,0,0,0,0,0,4,0.0,,0,0.0,20.2,0,37,46,80.4,3,3,1,0,4,518,187,18,19,94.7,14,18,77.8,1,4,25.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,57,1,6,20,31,2,57,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,2,0,0,0,0,1,2,"FW,MF",Match Report
209,Neil El Aynaoui,0,12,0,0,0,20,2,2024-12-08,23-159,ma MAR,Lens,,Montpellier,fr Ligue 1,W 2-0,N,31,0,0,0,0,0,0,0,0,,,0,,,0,12,13,92.3,0,0,0,0,1,180,42,5,5,100.0,5,6,83.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,12,2,0,20,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,2,0,0,0,0,2,0,MF,Match Report
210,Angelo Fulgini,3,44,4,0,0,63,0,2024-12-08,28-110,fr FRA,Lens,,Montpellier,fr Ligue 1,W 2-0,Y,75,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,18.1,0,44,50,88.0,2,2,2,0,6,561,107,28,29,96.6,10,11,90.9,2,3,66.7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,28,32,5,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
