Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Hákon Arnar Haraldsson,1,42,6,0,0,62,1,2025-01-25,21-290,is ISL,Lille,@,Strasbourg,fr Ligue 1,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.5,0,42,56,75.0,3,1,6,1,6,657,177,25,28,89.3,15,17,88.2,2,8,25.0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,62,2,10,22,30,4,62,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,0,0,0,0,1,"MF,FW",Match Report
402,Benjamin André,0,47,2,0,0,62,1,2025-01-25,34-175,fr FRA,Lille,@,Strasbourg,fr Ligue 1,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,55,85.5,0,4,0,0,8,763,234,24,26,92.3,19,19,100.0,3,7,42.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,11,41,10,2,62,1,1,0,1,0,0,0,,0,1,0,1,3,4,1,0,0,0,0,1,4,MF,Match Report
403,Aïssa Mandi,2,71,0,0,0,84,0,2025-01-25,33-095,dz ALG,Lille,@,Strasbourg,fr Ligue 1,L 1-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,9.9,0,71,78,91.0,0,1,0,0,5,1485,477,17,17,100.0,45,46,97.8,9,15,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,8,48,33,3,2,84,0,0,0,0,0,0,0,,0,1,1,0,0,0,3,0,0,0,0,0,1,DF,Match Report
404,Mohamed Lamine Bayo,1,9,0,0,0,17,0,2025-01-29,26-239,gn GUI,Lille,,Feyenoord,Champions League,W 6-1,Y,62,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.4,0,9,13,69.2,0,1,0,0,2,110,47,5,7,71.4,2,4,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,8,8,3,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
405,Alexsandro Ribeiro,1,75,1,0,0,92,2,2025-01-29,25-173,br BRA,Lille,,Feyenoord,Champions League,W 6-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.8,0,75,84,89.3,0,4,0,0,3,1562,425,20,22,90.9,47,48,97.9,8,12,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92,13,42,49,3,1,92,2,1,1,1,0,2,2,100.0,0,1,1,0,1,3,3,0,0,0,0,0,1,DF,Match Report
406,Rémy Cabella,3,47,3,1,1,66,2,2025-01-29,34-327,fr FRA,Lille,,Feyenoord,Champions League,W 6-1,Y,82,1,1,2,1,0,0,0,3,0.33,1.0,1,33.3,12.1,0,47,51,92.2,3,2,2,0,7,743,138,25,26,96.2,19,21,90.5,1,1,100.0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,66,0,7,33,28,4,66,2,2,1,1,0,0,0,,0,1,0,1,1,3,1,0,1,0,0,0,1,"MF,FW",Match Report
407,Bafodé Diakité,0,74,1,0,0,81,1,2025-01-29,24-023,fr FRA,Lille,,Feyenoord,Champions League,W 6-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,74,80,92.5,1,6,1,0,2,1431,476,22,22,100.0,45,48,93.8,7,10,70.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,3,29,51,1,0,81,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,1,DF,Match Report
408,Angel Gomes,1,29,5,2,0,38,1,2025-01-29,24-151,eng ENG,Lille,,Feyenoord,Champions League,W 6-1,Y,62,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,10.9,0,29,31,93.5,2,2,1,0,2,446,81,17,19,89.5,11,11,100.0,1,1,100.0,5,3,1,1,0,0,0,2,1,0,1,0,0,0,38,1,2,15,21,1,38,1,0,0,0,1,0,0,,0,0,0,0,1,2,1,0,0,0,0,0,2,MF,Match Report
409,Osame Sahraoui,2,37,7,2,0,53,2,2025-01-29,23-232,ma MAR,Lille,,Feyenoord,Champions League,W 6-1,Y,89,1,1,2,1,0,0,0,2,0.5,1.0,1,50.0,12.9,0,37,42,88.1,3,6,4,1,10,570,201,18,21,85.7,18,19,94.7,1,1,100.0,7,5,0,2,0,0,0,2,1,0,1,0,0,0,53,1,3,18,33,8,53,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,1,3,"FW,MF",Match Report
410,Ayyoub Bouaddi,1,45,2,1,0,52,2,2025-01-29,17-119,fr FRA,Lille,,Feyenoord,Champions League,W 6-1,Y,90,0,1,1,0,0,0,0,1,0.0,,0,0.0,27.9,0,45,47,95.7,1,3,0,0,3,834,174,14,15,93.3,25,26,96.2,5,5,100.0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,52,0,9,33,10,0,52,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,0,0,0,1,0,MF,Match Report
