Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Bamo Meïté,0,16,0,0,0,20,0,2024-08-17,22-258,ci CIV,Marseille,@,Brest,fr Ligue 1,W 5-1,N,20,0,0,0,0,0,0,0,0,,,0,,,0,16,18,88.9,0,1,0,0,0,202,65,11,12,91.7,4,4,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,15,5,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,DF,Match Report
2,Quentin Merlin,0,45,0,0,0,62,1,2024-08-17,22-093,fr FRA,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,54,83.3,0,2,0,0,0,722,85,23,26,88.5,20,20,100.0,1,5,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,26,34,2,0,62,1,0,1,0,0,1,3,33.3,2,1,1,0,2,3,1,0,0,0,0,1,0,DF,Match Report
3,Elye Wahi,0,5,1,1,0,11,0,2024-08-17,21-228,fr FRA,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,70,1,0,1,0,1,1,0,0,,,0,,,0,5,9,55.6,0,1,0,0,0,42,10,5,6,83.3,0,1,0.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,8,3,2,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
4,Michael Amir Murillo,0,37,0,0,0,51,1,2024-08-17,28-188,pa PAN,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,46,80.4,0,1,0,0,0,600,218,15,17,88.2,21,26,80.8,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,27,21,4,0,51,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,0,0,0,1,1,DF,Match Report
5,Derek Cornelius,0,51,0,0,1,73,3,2024-08-17,26-266,ca CAN,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,51,62,82.3,0,0,0,0,0,760,346,26,28,92.9,24,28,85.7,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,19,57,16,0,0,73,3,2,2,1,0,3,3,100.0,0,1,0,1,0,3,8,0,1,0,0,1,2,DF,Match Report
6,Faris Pemi Moumbagna,0,0,0,0,0,0,0,2024-08-17,24-047,cm CMR,Marseille,@,Brest,fr Ligue 1,W 5-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
7,Mason Greenwood,1,26,3,2,0,45,1,2024-08-17,22-321,eng ENG,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,2,0,2,1,1,1,0,1,1.0,1.0,1,100.0,27.3,0,26,30,86.7,0,2,0,0,2,493,96,12,13,92.3,10,11,90.9,4,6,66.7,3,2,0,0,0,1,0,2,1,0,0,0,1,0,45,1,10,23,14,6,44,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,0,0,0,0,2,"FW,MF",Match Report
8,Gerónimo Rulli,0,43,1,1,0,51,0,2024-08-17,32-089,ar ARG,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,43,48,89.6,0,0,0,0,0,807,491,18,18,100.0,20,20,100.0,5,10,50.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,51,49,51,0,0,0,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
9,Keyliane Abdallah,0,2,0,0,0,4,1,2024-08-17,18-134,fr FRA,Marseille,@,Brest,fr Ligue 1,W 5-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,41,0,0,0,,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
10,Leonardo Balerdi,0,59,1,1,0,79,2,2024-08-17,25-204,ar ARG,Marseille,@,Brest,fr Ligue 1,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,59,63,93.7,0,1,0,0,0,1009,458,28,29,96.6,27,28,96.4,4,6,66.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,79,9,65,14,1,1,79,2,2,2,0,0,1,1,100.0,0,0,0,0,2,4,4,0,0,0,0,1,0,DF,Match Report
