Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Wahbi Khazri,0,11,1,0,0,24,2,2024-12-08,33-304,tn TUN,Montpellier,@,Lens,fr Ligue 1,L 0-2,N,45,0,0,0,0,0,0,0,0,,,0,,,0,11,18,61.1,1,0,0,0,0,143,53,6,7,85.7,3,5,60.0,1,5,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,3,7,14,3,24,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,2,"FW,MF",Match Report
202,Akor Adams,0,5,1,0,0,7,0,2024-12-08,24-314,ng NGA,Montpellier,@,Lens,fr Ligue 1,L 0-2,N,20,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,1,0,0,0,0,56,17,5,5,100.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,1,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
203,Benjamin Lecomte,0,33,0,0,0,49,0,2024-12-08,33-226,fr FRA,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,47,70.2,0,1,0,0,0,862,688,6,6,100.0,16,16,100.0,10,24,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,49,0,0,0,49,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
204,Jordan Ferri,0,36,0,0,0,43,2,2024-12-08,32-271,fr FRA,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,36,38,94.7,0,1,0,0,3,651,176,11,12,91.7,19,19,100.0,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,16,24,4,0,43,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0,0,0,0,0,1,MF,Match Report
205,Gabriel Bares,0,3,0,0,0,4,0,2024-12-08,24-101,ch SUI,Montpellier,@,Lens,fr Ligue 1,L 0-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,46,9,1,1,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,DF",Match Report
206,Téji Savanier,2,31,3,0,1,54,0,2024-12-08,32-352,fr FRA,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.7,0,31,44,70.5,1,5,1,0,4,590,208,16,20,80.0,8,11,72.7,6,11,54.5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,54,2,10,29,15,3,54,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,1,0,0,0,3,MF,Match Report
207,Modibo Sagnan,0,44,0,0,1,60,4,2024-12-08,25-238,ml MLI,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,49,89.8,0,0,0,0,0,973,293,9,9,100.0,28,31,90.3,7,9,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,38,20,2,1,60,4,4,3,0,1,2,3,66.7,1,1,0,1,0,4,5,1,1,0,0,2,0,DF,Match Report
208,Joris Chotard,1,21,2,0,0,41,3,2024-12-08,23-075,fr FRA,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,83,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.0,0,21,29,72.4,2,2,1,1,2,407,143,10,12,83.3,9,12,75.0,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,41,3,19,14,8,0,41,3,2,1,2,0,3,4,75.0,1,3,1,2,2,5,2,0,0,0,0,0,1,MF,Match Report
209,Arnaud Nordin,0,3,1,0,0,17,1,2024-12-08,26-174,fr FRA,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,3,6,50.0,0,0,0,0,1,47,12,2,3,66.7,1,1,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,7,9,2,17,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,0,0,0,1,2,FW,Match Report
210,Enzo Tchato,0,34,1,0,1,54,3,2024-12-08,22-015,cm CMR,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,45,75.6,0,2,0,0,2,570,193,16,18,88.9,15,21,71.4,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,3,18,23,14,0,54,3,2,2,1,0,2,3,66.7,1,2,1,1,1,4,2,0,1,0,0,2,0,DF,Match Report
211,Issiaga Sylla,1,41,3,0,0,67,3,2024-12-08,30-342,gn GUI,Montpellier,@,Lens,fr Ligue 1,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,7.6,0,41,55,74.5,0,7,2,1,7,678,314,22,27,81.5,14,18,77.8,3,7,42.9,3,2,0,0,1,0,0,0,0,0,0,0,0,0,67,6,19,38,12,1,67,3,2,2,1,0,3,4,75.0,1,1,0,1,1,4,2,0,0,0,0,1,2,DF,Match Report
