Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Nicolas Pallois,0,13,0,0,0,39,3,2024-11-30,37-072,fr FRA,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,15,86.7,0,0,0,0,0,251,105,6,7,85.7,4,4,100.0,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,33,5,1,0,39,3,0,3,0,0,1,1,100.0,0,2,1,1,0,3,14,0,0,0,0,0,0,DF,Match Report
202,Nicolas Cozza,0,11,0,0,0,28,4,2024-11-30,25-327,fr FRA,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,17,64.7,0,0,0,0,0,175,95,6,10,60.0,5,6,83.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,12,12,4,0,28,4,1,3,1,0,1,2,50.0,1,1,1,0,1,5,4,0,0,0,0,1,0,"DF,MF",Match Report
203,Bahereba Guirassy,0,2,0,0,0,7,0,2024-11-30,18-093,fr FRA,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,N,9,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,39,0,0,1,0.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6,1,0,7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
204,Kelvin Amian,0,6,1,0,0,15,2,2024-11-30,26-296,fr FRA,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,0,2,0,0,2,76,51,5,6,83.3,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,5,1,1,15,2,1,2,0,0,0,0,,0,0,0,0,0,2,6,0,0,0,0,0,0,DF,Match Report
205,Jean-Charles Castelletto,0,6,0,0,0,17,1,2024-11-30,29-309,cm CMR,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,0,0,0,0,0,83,16,4,4,100.0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,8,8,1,1,17,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0,0,0,0,0,1,"DF,MF",Match Report
206,Nathan Zeze,0,12,0,0,0,28,2,2024-11-30,19-165,fr FRA,Nantes,@,Paris S-G,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,12,14,85.7,0,0,0,0,1,203,121,5,5,100.0,7,7,100.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,23,5,0,0,28,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,12,0,0,0,0,0,0,DF,Match Report
207,Matthis Abline,6,11,2,0,0,23,0,2024-12-08,21-255,fr FRA,Nantes,,Rennes,fr Ligue 1,W 1-0,Y,89,0,0,0,0,0,0,0,6,0.0,,0,0.0,13.2,0,11,12,91.7,2,1,1,1,1,188,52,7,8,87.5,2,2,100.0,2,2,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,4,18,8,23,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,0,FW,Match Report
208,Patrik Carlgren,0,22,0,0,0,29,0,2024-12-08,32-335,se SWE,Nantes,,Rennes,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,28,78.6,0,1,0,0,0,506,353,6,6,100.0,10,10,100.0,6,12,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,29,0,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
209,Johann Lepenant,3,28,3,0,0,56,2,2024-12-08,22-047,fr FRA,Nantes,,Rennes,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,18.5,0,28,40,70.0,1,8,1,0,5,389,122,18,20,90.0,10,17,58.8,0,0,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,56,0,1,31,26,3,56,2,2,0,0,2,1,1,100.0,0,2,0,2,0,2,0,0,0,0,0,3,3,MF,Match Report
210,Douglas,1,57,2,0,1,69,2,2024-12-08,27-330,br BRA,Nantes,,Rennes,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.4,0,57,62,91.9,1,10,1,0,8,913,217,24,26,92.3,27,27,100.0,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,69,1,15,43,11,0,69,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,1,0,0,1,0,MF,Match Report
