Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Tom Louchet,5,33,9,1,0,60,2,2025-03-14,21-314,fr FRA,Nice,,Auxerre,fr Ligue 1,D 1-1,Y,83,0,0,0,0,0,0,0,5,0.0,0.0,3,60.0,16.9,1,33,45,73.3,4,2,2,0,3,499,177,19,23,82.6,12,15,80.0,1,5,20.0,9,4,2,0,3,0,0,1,0,1,0,0,0,0,60,0,13,16,31,7,60,2,0,1,0,1,2,2,100.0,0,1,0,1,2,4,1,0,0,0,0,1,1,"DF,MF",Match Report
402,Hicham Boudaoui,4,21,4,0,0,39,4,2025-03-14,25-172,dz ALG,Nice,,Auxerre,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,11.9,0,21,26,80.8,3,2,1,0,4,248,82,15,16,93.8,6,7,85.7,0,0,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,39,1,5,21,14,5,39,4,3,1,2,1,3,5,60.0,2,1,0,1,0,4,1,0,0,0,0,5,1,MF,Match Report
403,Dante,1,67,2,0,0,82,2,2025-03-14,41-147,br BRA,Nice,,Auxerre,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.3,0,67,74,90.5,0,6,1,0,11,1140,523,32,32,100.0,32,34,94.1,3,6,50.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,82,2,30,48,4,1,82,2,1,0,2,0,0,1,0.0,1,3,1,2,0,2,2,0,0,0,0,0,1,DF,Match Report
404,Jeremie Boga,0,2,0,0,0,5,0,2025-03-14,28-070,ci CIV,Nice,,Auxerre,fr Ligue 1,D 1-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,27,0,1,2,50.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"MF,FW",Match Report
405,Terem Moffi,1,2,0,0,0,6,0,2025-03-29,25-308,ng NGA,Nice,@,Monaco,fr Ligue 1,L 1-2,N,9,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.1,0,2,4,50.0,0,0,0,0,0,31,0,1,2,50.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,1,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
406,Sofiane Diop,0,4,0,0,0,10,0,2025-03-29,24-293,fr FRA,Nice,@,Monaco,fr Ligue 1,L 1-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,1,0,0,2,82,50,0,1,0.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,3,0,10,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,1,0,"MF,FW",Match Report
407,Pablo Rosario,1,10,2,0,0,22,4,2025-03-29,28-081,do DOM,Nice,@,Monaco,fr Ligue 1,L 1-2,Y,66,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.9,0,10,13,76.9,1,1,0,0,0,159,14,5,7,71.4,4,5,80.0,0,0,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,22,1,3,12,8,0,22,4,3,0,3,1,2,2,100.0,0,0,0,0,1,5,0,0,0,0,0,0,0,"MF,DF",Match Report
408,Jonathan Clauss,0,36,4,1,1,62,0,2025-03-29,32-185,fr FRA,Nice,@,Monaco,fr Ligue 1,L 1-2,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,36,50,72.0,3,4,2,1,5,647,349,16,20,80.0,15,20,75.0,4,8,50.0,4,3,1,0,0,0,0,1,1,0,0,0,0,0,62,5,15,27,20,1,62,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,6,1,1,0,0,2,2,"DF,MF",Match Report
409,Baptiste Santamaria,0,23,2,0,1,37,1,2025-03-29,30-020,fr FRA,Nice,@,Monaco,fr Ligue 1,L 1-2,Y,81,0,0,0,0,0,0,0,0,,,0,,,0,23,28,82.1,2,0,1,0,2,423,105,9,9,100.0,9,13,69.2,4,5,80.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,37,6,15,16,7,1,37,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,3,0,1,0,0,4,3,MF,Match Report
410,Youssouf Ndayishimiye,0,34,1,0,0,64,5,2025-03-29,26-153,bi BDI,Nice,@,Monaco,fr Ligue 1,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,43,79.1,0,1,0,0,2,574,178,14,16,87.5,19,22,86.4,1,5,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,13,38,23,3,0,64,5,4,3,2,0,2,3,66.7,1,2,1,1,0,5,10,0,0,0,0,1,1,DF,Match Report
411,Gaëtan Laborde,1,5,2,0,1,9,0,2025-03-29,30-330,fr FRA,Nice,@,Monaco,fr Ligue 1,L 1-2,N,24,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.8,0,5,6,83.3,0,0,0,0,0,48,10,4,4,100.0,0,1,0.0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,4,5,1,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,FW,Match Report
412,Ali Abdi,1,22,2,0,0,41,4,2025-03-29,31-099,tn TUN,Nice,@,Monaco,fr Ligue 1,L 1-2,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.5,0,22,29,75.9,1,2,2,2,1,377,222,14,14,100.0,3,5,60.0,5,7,71.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,41,2,16,18,8,0,41,4,1,3,1,0,3,5,60.0,2,1,0,1,1,5,1,0,0,0,0,1,1,"DF,MF",Match Report
