Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Marquinhos,0,105,0,0,0,116,2,2025-04-05,30-326,br BRA,Paris S-G,,Angers,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,105,107,98.1,0,6,0,0,8,2137,635,33,34,97.1,50,51,98.0,21,21,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,5,18,93,5,0,116,2,1,0,1,1,2,3,66.7,1,3,0,3,0,2,3,0,0,0,0,1,2,DF,Match Report
602,Khvicha Kvaratskhelia,3,86,7,2,0,109,7,2025-04-05,24-052,ge GEO,Paris S-G,,Angers,fr Ligue 1,W 1-0,Y,90,0,1,1,0,0,0,0,3,0.0,0.0,1,33.3,21.3,0,86,96,89.6,3,9,3,1,7,1178,287,61,65,93.8,19,23,82.6,2,2,100.0,7,5,0,0,0,0,2,2,2,0,0,0,0,0,109,0,1,52,57,7,109,7,5,1,5,1,5,5,100.0,0,0,0,0,0,7,0,0,0,0,0,1,2,FW,Match Report
603,Achraf Hakimi,3,95,4,0,0,112,2,2025-04-05,26-152,ma MAR,Paris S-G,,Angers,fr Ligue 1,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,24.5,1,95,107,88.8,1,7,2,0,12,1198,300,64,66,97.0,24,27,88.9,1,3,33.3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,112,0,6,49,58,4,112,2,1,0,2,0,1,7,14.3,6,1,0,1,1,3,0,0,0,0,0,0,2,DF,Match Report
604,Willian Pacho,0,59,0,0,0,64,1,2025-04-05,23-171,ec ECU,Paris S-G,,Angers,fr Ligue 1,W 1-0,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,59,59,100.0,0,2,0,0,3,1300,520,8,8,100.0,47,47,100.0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,16,47,1,0,64,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,0,0,0,0,0,DF,Match Report
605,Nuno Mendes,1,28,1,0,0,36,0,2025-04-05,22-290,pt POR,Paris S-G,,Angers,fr Ligue 1,W 1-0,N,28,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,15.4,0,28,35,80.0,0,4,0,0,3,447,101,14,16,87.5,12,16,75.0,2,3,66.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,6,23,9,2,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
606,Gonçalo Ramos,5,19,1,0,0,30,3,2025-04-05,23-289,pt POR,Paris S-G,,Angers,fr Ligue 1,W 1-0,Y,62,0,0,0,0,0,0,0,5,0.0,,0,0.0,10.3,0,19,23,82.6,1,0,0,0,1,199,0,15,17,88.2,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,3,25,6,30,3,0,1,2,0,1,2,50.0,1,0,0,0,0,3,0,0,0,0,0,1,0,FW,Match Report
607,Gianluigi Donnarumma,0,14,0,0,0,15,0,2025-04-09,26-043,it ITA,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,14,14,100.0,0,0,0,0,0,269,195,9,9,100.0,2,2,100.0,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,0,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
608,Vitinha,3,148,6,1,0,161,1,2025-04-09,25-055,pt POR,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,24.1,0,148,153,96.7,3,15,2,0,6,2281,474,73,75,97.3,62,62,100.0,8,10,80.0,6,5,1,0,0,0,0,1,1,0,0,0,0,0,161,1,15,80,67,1,161,1,1,0,1,0,1,3,33.3,2,0,0,0,3,4,1,0,0,0,0,0,0,MF,Match Report
609,Warren Zaïre-Emery,2,18,1,0,0,21,1,2025-04-09,19-032,fr FRA,Paris S-G,,Aston Villa,Champions League,W 3-1,N,19,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.8,0,18,18,100.0,0,3,1,0,5,221,58,8,8,100.0,7,7,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,4,16,1,21,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
610,Désiré Doué,6,40,8,0,0,64,4,2025-04-09,19-310,fr FRA,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,71,1,0,1,1,0,0,0,6,0.17,0.33,3,50.0,16.8,0,40,46,87.0,3,3,2,0,4,569,119,26,29,89.7,11,14,78.6,1,1,100.0,8,4,0,2,1,0,1,0,0,0,0,0,0,0,64,0,4,16,44,6,64,4,2,1,0,3,1,2,50.0,1,1,0,1,1,5,0,0,0,0,0,0,2,FW,Match Report
611,Bradley Barcola,0,17,2,0,0,19,0,2025-04-09,22-219,fr FRA,Paris S-G,,Aston Villa,Champions League,W 3-1,N,19,0,0,0,0,0,0,0,0,,,0,,,0,17,19,89.5,2,1,0,0,1,220,18,13,14,92.9,3,4,75.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,17,6,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
612,Ousmane Dembélé,4,73,11,0,0,95,0,2025-04-09,27-329,fr FRA,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,1,1,0,0,0,0,4,0.0,0.0,1,25.0,21.1,0,73,83,88.0,9,6,1,0,7,1066,154,39,41,95.1,27,32,84.4,3,4,75.0,11,9,1,1,0,0,0,0,0,0,0,0,0,0,95,0,2,24,69,14,95,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,1,0,0,0,2,1,FW,Match Report
613,Lucas Beraldo,1,76,1,0,0,87,2,2025-04-09,21-136,br BRA,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,32.2,0,76,79,96.2,0,14,0,0,4,1207,413,39,40,97.5,31,31,100.0,4,5,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,87,4,24,57,6,1,87,2,0,1,1,0,1,1,100.0,0,1,1,0,2,4,0,1,0,0,0,0,0,DF,Match Report
614,Fabián Ruiz Peña,1,56,4,1,0,68,1,2025-04-09,29-006,es ESP,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,71,0,1,1,0,0,0,0,1,0.0,,0,0.0,19.3,0,56,60,93.3,2,7,3,0,12,796,254,30,31,96.8,18,20,90.0,3,3,100.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,68,1,5,25,38,4,68,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0,0,0,0,0,0,MF,Match Report
615,João Neves,1,93,5,1,0,102,2,2025-04-09,20-194,pt POR,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.5,0,93,95,97.9,1,7,0,0,6,1319,232,58,59,98.3,31,32,96.9,1,1,100.0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,102,1,11,55,36,2,102,2,2,2,0,0,0,0,,0,4,0,4,0,2,1,0,0,0,0,4,0,MF,Match Report
616,Khvicha Kvaratskhelia,5,68,13,2,0,94,1,2025-04-09,24-056,ge GEO,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,89,1,0,1,1,0,0,0,5,0.2,1.0,1,20.0,19.5,0,68,78,87.2,5,3,3,0,8,954,275,50,51,98.0,14,19,73.7,3,4,75.0,13,6,1,2,3,1,0,2,1,0,1,0,0,0,94,1,4,21,71,10,94,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,0,0,0,2,3,FW,Match Report
617,Achraf Hakimi,2,81,3,0,0,96,0,2025-04-09,26-156,ma MAR,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,27.3,0,81,90,90.0,1,5,1,0,4,1128,199,46,52,88.5,28,29,96.6,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,96,2,9,38,49,6,96,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,0,0,DF,Match Report
618,Willian Pacho,1,49,1,0,0,56,1,2025-04-09,23-175,ec ECU,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.2,0,49,53,92.5,0,4,1,0,4,875,335,14,16,87.5,29,30,96.7,4,5,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,4,32,21,3,1,56,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,0,0,0,0,0,DF,Match Report
619,Nuno Mendes,3,75,2,1,0,97,1,2025-04-09,22-294,pt POR,Paris S-G,,Aston Villa,Champions League,W 3-1,Y,90,1,1,2,1,0,0,0,3,0.33,1.0,1,33.3,11.5,0,75,80,93.8,1,6,0,0,7,1123,306,39,40,97.5,31,31,100.0,2,3,66.7,2,2,0,0,0,0,0,1,1,0,0,0,0,0,97,4,19,41,37,5,97,1,0,0,1,0,1,1,100.0,0,1,0,1,2,3,5,1,0,0,0,1,2,DF,Match Report
620,Gonçalo Ramos,0,0,0,0,0,0,0,2025-04-09,23-293,pt POR,Paris S-G,,Aston Villa,Champions League,W 3-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
621,Gianluigi Donnarumma,0,22,0,0,0,37,0,2025-04-15,26-049,it ITA,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,32,68.8,0,0,0,0,0,604,335,2,2,100.0,12,13,92.3,8,17,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,37,0,0,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
622,Vitinha,1,78,1,0,0,91,0,2025-04-15,25-061,pt POR,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.4,0,78,87,89.7,0,3,1,0,8,1406,242,40,43,93.0,29,29,100.0,9,11,81.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91,4,22,57,12,1,91,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,2,1,0,0,0,0,0,MF,Match Report
623,Désiré Doué,1,9,4,0,0,22,3,2025-04-15,19-316,fr FRA,Paris S-G,@,Aston Villa,Champions League,L 2-3,N,33,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,9.0,0,9,10,90.0,2,1,1,1,2,188,97,5,5,100.0,2,3,66.7,2,2,100.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,22,0,9,5,8,1,22,3,2,2,1,0,2,2,100.0,0,4,0,4,0,3,1,0,0,0,0,0,1,FW,Match Report
624,Bradley Barcola,0,18,2,0,0,30,3,2025-04-15,22-225,fr FRA,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,57,0,0,0,0,0,0,0,0,,,0,,,0,18,21,85.7,1,2,0,0,1,295,69,9,9,100.0,8,10,80.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,13,12,4,30,3,1,2,1,0,1,4,25.0,3,1,0,1,0,3,0,0,0,0,0,0,2,FW,Match Report
625,Ousmane Dembélé,3,40,3,1,0,54,0,2025-04-15,27-335,fr FRA,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,1,1,0,0,0,0,3,0.0,0.0,2,66.7,16.2,0,40,47,85.1,2,1,1,0,2,597,129,24,25,96.0,10,14,71.4,3,3,100.0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,54,0,3,25,27,5,54,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
626,Fabián Ruiz Peña,1,58,5,0,0,71,5,2025-04-15,29-012,es ESP,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,13.3,0,58,64,90.6,3,4,1,0,6,1041,223,22,24,91.7,30,31,96.8,5,6,83.3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,71,3,16,43,13,2,71,5,1,3,2,0,4,7,57.1,3,0,0,0,2,7,0,0,0,0,0,0,0,MF,Match Report
627,João Neves,0,58,3,0,0,80,3,2025-04-15,20-200,pt POR,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,58,62,93.5,2,7,0,0,2,838,168,34,35,97.1,21,21,100.0,2,4,50.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,80,11,26,44,10,0,80,3,2,2,1,0,0,1,0.0,1,4,2,2,1,4,5,0,0,0,0,1,2,MF,Match Report
628,Marquinhos,0,61,1,0,0,89,2,2025-04-15,30-336,br BRA,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,70,87.1,0,2,0,0,2,1125,376,20,22,90.9,37,39,94.9,4,8,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,89,21,58,32,0,0,89,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,11,2,0,0,0,0,0,DF,Match Report
629,Khvicha Kvaratskhelia,3,37,2,0,0,54,0,2025-04-15,24-062,ge GEO,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,21.4,0,37,40,92.5,1,0,1,0,1,501,78,24,25,96.0,10,12,83.3,1,1,100.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,54,1,4,29,21,3,54,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,3,FW,Match Report
630,Achraf Hakimi,3,61,4,1,0,81,2,2025-04-15,26-162,ma MAR,Paris S-G,@,Aston Villa,Champions League,L 2-3,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,15.1,0,61,68,89.7,1,5,0,0,4,847,242,35,38,92.1,19,19,100.0,3,4,75.0,4,3,0,1,0,0,0,1,1,0,0,0,0,0,81,3,21,41,19,2,81,2,2,0,1,1,0,2,0.0,2,0,0,0,1,3,2,0,0,0,0,0,3,DF,Match Report
