Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Valentin Atangana Edoa,2,5,0,0,0,24,1,2025-03-29,19-216,fr FRA,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,13.2,0,5,10,50.0,0,0,0,0,0,89,20,1,3,33.3,4,7,57.1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,14,7,3,2,24,1,1,0,0,1,0,0,,0,0,0,0,1,2,7,0,0,0,0,2,1,MF,Match Report
402,Hiroki Sekine,0,3,0,0,0,10,1,2025-03-29,22-230,jp JPN,Reims,,Marseille,fr Ligue 1,W 3-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,1,0,0,1,49,39,2,2,100.0,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,7,3,0,0,10,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,0,0,0,0,0,DF,Match Report
403,Cédric Kipré,0,9,1,1,0,35,1,2025-03-29,28-110,ci CIV,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,9,15,60.0,0,1,0,0,0,184,45,4,4,100.0,4,5,80.0,1,5,20.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,35,20,31,4,0,0,35,1,1,1,0,0,0,0,,0,6,5,1,1,2,10,0,0,0,0,0,2,DF,Match Report
404,Mory Gbane,0,7,1,0,0,20,1,2025-03-29,24-094,ci CIV,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,7,12,58.3,0,1,0,0,1,119,23,1,3,33.3,6,7,85.7,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,6,12,7,2,0,20,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,6,0,0,0,0,0,0,"DF,MF",Match Report
405,Aurélio Buta,0,12,0,0,0,22,1,2025-03-29,28-047,pt POR,Reims,,Marseille,fr Ligue 1,W 3-1,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,12,16,75.0,0,1,0,0,0,186,136,6,6,100.0,6,8,75.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,15,4,3,0,22,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,0,0,0,0,0,DF,Match Report
406,Keito Nakamura,2,6,2,1,0,22,1,2025-03-29,24-244,jp JPN,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,1,1,2,1,0,0,0,2,0.5,0.5,2,100.0,13.9,0,6,9,66.7,2,1,0,0,1,118,26,2,3,66.7,3,4,75.0,1,1,100.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,22,3,7,9,6,3,22,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,2,0,0,0,0,0,0,"FW,MF",Match Report
407,Junya Ito,0,11,2,1,0,35,5,2025-03-29,32-020,jp JPN,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,22,50.0,1,0,1,0,3,175,83,5,11,45.5,6,10,60.0,0,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,35,0,17,13,7,0,35,5,3,4,0,1,3,4,75.0,1,0,0,0,0,5,2,0,0,0,0,1,1,"FW,MF",Match Report
408,Yehvann Diouf,0,19,0,0,0,50,0,2025-03-29,25-133,sn SEN,Reims,,Marseille,fr Ligue 1,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,48,39.6,0,0,0,0,0,682,557,2,2,100.0,5,5,100.0,12,41,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,50,0,0,0,50,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
409,Hafiz Ibrahim,1,5,1,1,0,13,0,2025-03-29,19-099,ng NGA,Reims,,Marseille,fr Ligue 1,W 3-1,N,32,0,1,1,0,0,0,0,1,0.0,,0,0.0,16.2,0,5,6,83.3,1,1,0,0,1,70,19,3,4,75.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,13,0,3,5,6,1,13,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
410,John Joe,0,1,0,0,0,6,1,2025-03-29,21-156,ie IRL,Reims,,Marseille,fr Ligue 1,W 3-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,9,0,1,1,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,1,0,6,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,0,0,0,2,1,MF,Match Report
