Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Aron Dønnum,0,28,2,0,0,38,4,2024-08-18,26-120,no NOR,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,60,0,0,0,0,0,0,0,0,,,0,,,0,28,30,93.3,1,0,3,1,6,491,163,13,13,100.0,13,15,86.7,2,2,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,3,8,12,20,1,38,4,2,2,2,0,1,1,100.0,0,0,0,0,1,5,2,0,0,0,0,2,0,"DF,MF",Match Report
2,Gabriel Suazo,0,16,3,0,0,22,0,2024-08-18,27-009,cl CHI,Toulouse,,Nantes,fr Ligue 1,D 0-0,N,30,0,0,0,0,0,0,0,0,,,0,,,0,16,22,72.7,2,0,1,0,2,256,116,9,10,90.0,6,7,85.7,1,3,33.3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,22,0,3,7,12,0,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
3,Rasmus Nicolaisen,0,48,2,0,0,59,1,2024-08-18,27-155,dk DEN,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,48,54,88.9,1,5,0,0,8,837,251,22,22,100.0,21,23,91.3,4,7,57.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,59,7,23,34,3,1,59,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,0,0,0,1,0,DF,Match Report
4,Frank Magri,3,5,1,0,0,20,0,2024-08-18,24-349,cm CMR,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,85,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,9.2,0,5,9,55.6,0,0,0,0,1,58,15,2,3,66.7,2,3,66.7,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,14,6,4,20,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,"FW,MF",Match Report
5,Charlie Cresswell,2,56,1,0,0,81,0,2024-08-18,22-001,eng ENG,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.0,0,56,70,80.0,1,4,0,0,4,1008,380,22,27,81.5,29,32,90.6,5,10,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,10,38,38,5,3,81,0,0,0,0,0,0,2,0.0,2,2,1,1,1,1,6,0,0,0,0,1,2,DF,Match Report
6,Djibril Sidibé,0,6,0,0,0,11,1,2024-08-18,32-020,fr FRA,Toulouse,,Nantes,fr Ligue 1,D 0-0,N,5,0,0,0,0,0,0,0,0,,,0,,,0,6,10,60.0,0,0,0,0,1,70,19,4,5,80.0,2,3,66.7,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,4,6,0,11,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,DF,Match Report
7,Guillaume Restes,0,21,0,0,0,26,0,2024-08-18,19-160,fr FRA,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,24,87.5,0,1,0,0,0,556,405,4,4,100.0,11,11,100.0,6,9,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,26,0,0,0,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
8,Yann Gboho,2,14,2,0,0,40,2,2024-08-18,23-217,fr FRA,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,11.8,0,14,26,53.8,0,1,0,0,3,234,43,8,12,66.7,5,8,62.5,1,1,100.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,40,0,2,13,26,9,40,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,0,4,"MF,FW",Match Report
9,Vincent Sierro,0,23,1,0,0,32,0,2024-08-18,28-315,ch SUI,Toulouse,,Nantes,fr Ligue 1,D 0-0,N,30,0,0,0,0,0,0,0,0,,,0,,,0,23,32,71.9,1,1,0,0,2,400,127,10,10,100.0,11,16,68.8,2,6,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,1,9,12,11,0,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
10,Warren Kamanzi,0,41,0,0,1,57,4,2024-08-18,23-281,no NOR,Toulouse,,Nantes,fr Ligue 1,D 0-0,Y,85,0,0,0,0,0,0,0,0,,,0,,,0,41,47,87.2,0,3,0,0,4,646,177,24,28,85.7,14,16,87.5,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,9,26,22,0,57,4,2,3,1,0,1,3,33.3,2,1,0,1,0,4,1,0,1,0,0,2,1,"DF,MF",Match Report
