Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Gabriel Martinelli,2,6,2,0,0,19,1,2025-03-09,23-264,br BRA,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,N,33,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.2,0,6,11,54.5,0,0,1,1,0,97,25,4,5,80.0,1,3,33.3,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,3,15,5,19,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,3,0,"FW,MF",Match Report
402,Thomas Partey,1,61,3,0,0,75,3,2025-03-09,31-269,gh GHA,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.1,0,61,69,88.4,2,10,3,0,7,827,228,35,38,92.1,24,27,88.9,1,3,33.3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,75,2,7,47,23,0,75,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,0,0,0,2,0,"MF,DF",Match Report
403,Myles Lewis-Skelly,0,16,2,0,0,17,0,2025-03-09,18-164,eng ENG,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,N,33,0,0,0,0,0,0,0,0,,,0,,,0,16,16,100.0,0,4,0,0,3,224,45,9,9,100.0,7,7,100.0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,17,0,1,10,6,0,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,2,DF,Match Report
404,Gabriel Magalhães,0,69,1,0,0,79,0,2025-03-09,27-080,br BRA,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,69,71,97.2,1,5,0,0,9,1102,351,27,27,100.0,41,43,95.3,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,10,16,54,9,0,79,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,0,0,0,1,1,DF,Match Report
405,Martin Ødegaard,5,70,6,0,0,94,0,2025-03-09,26-082,no NOR,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,5,0.0,0.0,3,60.0,23.7,1,70,81,86.4,3,5,4,0,10,1029,288,42,44,95.5,24,26,92.3,3,9,33.3,6,3,1,0,2,0,0,0,0,0,0,0,0,0,94,0,5,34,56,4,94,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
406,Ethan Nwaneri,0,21,0,0,0,39,1,2025-03-09,17-353,eng ENG,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,57,0,0,0,0,0,0,0,0,,,0,,,0,21,30,70.0,0,0,0,0,0,231,44,17,18,94.4,3,8,37.5,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,3,8,28,1,39,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
407,William Saliba,0,82,2,0,0,96,1,2025-03-09,23-350,fr FRA,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,82,89,92.1,0,10,0,0,8,1433,440,34,36,94.4,43,45,95.6,4,5,80.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,96,6,26,62,9,2,96,1,1,0,1,0,0,0,,0,0,0,0,3,4,4,0,0,0,0,0,0,DF,Match Report
408,David Raya,0,24,0,0,0,35,0,2025-03-09,29-175,es ESP,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,33,72.7,0,0,0,0,0,461,313,8,8,100.0,13,14,92.9,3,11,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,31,4,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
409,Riccardo Calafiori,0,23,1,0,0,31,1,2025-03-09,22-294,it ITA,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,57,0,0,0,0,0,0,0,0,,,0,,,0,23,27,85.2,0,3,0,0,2,293,54,17,19,89.5,5,5,100.0,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,2,3,14,14,2,31,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,0,0,0,0,0,DF,Match Report
410,Mikel Merino,1,17,3,0,0,32,1,2025-03-09,28-260,es ESP,Arsenal,@,Manchester Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.1,0,17,24,70.8,2,4,0,0,3,256,90,11,15,73.3,3,6,50.0,3,3,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,18,13,2,32,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,2,"MF,FW",Match Report
