Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Ezri Konsa,1,41,1,0,0,54,1,2024-08-17,26-299,eng ENG,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.9,0,41,45,91.1,1,4,0,0,2,709,251,16,16,100.0,24,25,96.0,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,7,29,23,2,1,54,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,0,0,0,0,1,DF,Match Report
2,Jacob Ramsey,1,12,3,1,0,16,0,2024-08-17,23-081,eng ENG,Aston Villa,@,West Ham,eng Premier League,W 2-1,N,29,0,1,1,0,0,0,0,1,0.0,,0,0.0,13.9,0,12,13,92.3,1,0,0,0,1,154,25,8,8,100.0,3,3,100.0,1,1,100.0,3,2,0,1,0,0,0,1,1,0,0,0,0,0,16,0,0,11,5,2,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
3,Jaden Philogene Bidace,1,7,0,0,1,12,1,2024-08-17,22-191,eng ENG,Aston Villa,@,West Ham,eng Premier League,W 2-1,N,17,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.0,0,7,9,77.8,0,0,0,0,0,69,6,5,6,83.3,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,2,8,1,12,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,1,1,"FW,MF",Match Report
4,Lucas Digne,0,32,1,0,0,52,2,2024-08-17,31-028,fr FRA,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,73,0,0,0,0,0,0,0,0,,,0,,,0,32,45,71.1,1,1,1,0,1,587,231,16,19,84.2,12,18,66.7,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,2,17,20,17,0,52,2,0,1,0,1,1,2,50.0,1,1,1,0,1,3,1,0,0,0,0,0,1,DF,Match Report
5,Matty Cash,0,33,1,0,0,55,3,2024-08-17,27-010,pl POL,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,81,0,0,0,0,0,0,0,0,,,0,,,0,33,43,76.7,1,7,0,0,3,539,234,16,18,88.9,15,19,78.9,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,5,18,23,14,1,55,3,1,0,3,0,0,2,0.0,2,1,0,1,1,4,5,0,0,0,0,3,1,DF,Match Report
6,Morgan Rogers,2,19,4,0,0,35,1,2024-08-17,22-022,eng ENG,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.9,0,19,24,79.2,2,2,2,0,3,237,89,12,13,92.3,7,9,77.8,0,0,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,35,3,8,14,15,3,35,1,1,0,1,0,0,0,,0,3,1,2,0,1,1,0,0,0,0,1,1,"FW,MF",Match Report
7,Leon Bailey,3,15,4,0,1,35,0,2024-08-17,27-008,jm JAM,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,73,0,0,0,0,0,0,0,3,0.0,,0,0.0,18.2,0,15,28,53.6,2,1,1,0,2,238,87,8,11,72.7,4,8,50.0,2,5,40.0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,35,0,2,7,27,3,35,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,2,2,"FW,MF",Match Report
8,Jáder Durán,2,9,0,0,0,21,1,2024-08-17,20-248,co COL,Aston Villa,@,West Ham,eng Premier League,W 2-1,N,29,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,15.2,0,9,12,75.0,0,1,0,0,0,113,13,5,5,100.0,3,5,60.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,9,11,3,21,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,FW,Match Report
9,Pau Torres,0,48,1,0,0,68,4,2024-08-17,27-214,es ESP,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,48,58,82.8,0,5,0,0,3,753,248,26,29,89.7,20,21,95.2,2,8,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,8,38,25,6,0,68,4,4,2,2,0,1,1,100.0,0,2,2,0,0,4,3,0,0,0,0,0,0,DF,Match Report
10,Youri Tielemans,2,47,4,1,0,64,2,2024-08-17,27-102,be BEL,Aston Villa,@,West Ham,eng Premier League,W 2-1,Y,90,0,1,1,0,0,0,0,2,0.0,,0,0.0,22.2,0,47,53,88.7,3,3,0,0,4,794,202,20,22,90.9,26,28,92.9,1,3,33.3,4,2,1,0,1,0,0,1,0,1,0,0,0,0,64,3,16,39,9,0,64,2,2,1,1,0,1,1,100.0,0,1,0,1,2,4,1,0,0,0,0,1,2,MF,Match Report
