Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Kepa Arrizabalaga,1,27,0,0,0,40,0,2025-02-25,30-145,es ESP,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.7,0,27,38,71.1,0,2,0,0,0,772,578,5,5,100.0,9,10,90.0,13,22,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,26,35,4,1,1,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,0,GK,Match Report
402,Lewis Cook,0,41,1,0,0,60,3,2025-02-25,28-022,eng ENG,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,41,49,83.7,1,2,1,1,4,666,151,19,20,95.0,18,20,90.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,3,16,24,20,1,60,3,2,3,0,0,3,4,75.0,1,0,0,0,1,4,4,0,0,0,0,0,0,"MF,DF",Match Report
403,Tyler Adams,0,61,0,0,0,85,4,2025-02-25,26-011,us USA,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,76,80.3,0,2,0,0,5,1068,205,16,20,80.0,42,46,91.3,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3,24,51,10,2,85,4,2,0,4,0,2,5,40.0,3,0,0,0,1,5,0,0,0,0,0,0,2,MF,Match Report
404,Dango Ouattara,4,11,3,0,0,23,0,2025-02-25,23-014,bf BFA,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,76,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,10.6,0,11,16,68.8,3,1,2,0,3,155,51,7,9,77.8,4,6,66.7,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7,16,9,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
405,Justin Kluivert,3,35,10,0,0,58,2,2025-02-25,25-296,nl NED,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,90,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,27.5,0,35,46,76.1,6,5,1,0,6,658,295,15,16,93.8,15,19,78.9,5,11,45.5,10,4,4,1,0,1,0,0,0,0,0,0,0,0,58,0,3,24,32,4,58,2,1,0,1,1,0,2,0.0,2,0,0,0,0,2,0,0,0,0,0,1,2,MF,Match Report
406,Marcus Tavernier,3,17,4,0,0,31,1,2025-02-25,25-340,eng ENG,Bournemouth,@,Brighton,eng Premier League,L 1-2,N,45,0,0,0,0,0,0,0,3,0.0,,0,0.0,21.7,0,17,23,73.9,1,0,0,0,1,263,32,10,12,83.3,6,6,100.0,1,2,50.0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,31,0,4,8,19,2,31,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0,0,0,0,1,1,"FW,MF",Match Report
407,James Hill,2,40,0,0,0,71,6,2025-02-25,23-046,eng ENG,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,84,0,0,0,0,0,0,0,2,0.0,,0,0.0,9.1,0,40,55,72.7,0,4,0,0,0,844,177,9,13,69.2,25,27,92.6,6,14,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,31,37,3,3,71,6,3,4,1,1,2,4,50.0,2,0,0,0,3,9,5,0,0,0,0,1,1,DF,Match Report
408,Evanilson,0,1,1,0,0,2,0,2025-02-25,25-142,br BRA,Bournemouth,@,Brighton,eng Premier League,L 1-2,N,14,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,8,0,1,2,50.0,0,0,,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
409,Dean Huijsen,0,62,2,0,0,95,1,2025-02-25,19-317,es ESP,Bournemouth,@,Brighton,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,62,75,82.7,0,4,1,0,2,1179,538,24,28,85.7,30,31,96.8,8,15,53.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,95,9,48,46,1,1,95,1,0,0,1,0,1,1,100.0,0,2,1,1,4,5,10,0,0,0,0,1,0,DF,Match Report
410,Luis Sinisterra,1,3,0,0,0,8,1,2025-02-25,25-253,co COL,Bournemouth,@,Brighton,eng Premier League,L 1-2,N,6,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.5,0,3,5,60.0,0,1,0,0,1,45,18,2,4,50.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,4,3,8,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,"FW,MF",Match Report
