Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Lewis Dunk,1,60,0,0,0,75,0,2024-08-17,32-270,eng ENG,Brighton,@,Everton,eng Premier League,W 3-0,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.6,0,60,70,85.7,0,0,0,0,2,940,223,27,29,93.1,28,31,90.3,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,14,59,13,3,2,75,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,DF,Match Report
2,Jason Steele,0,56,0,0,0,63,0,2024-08-17,33-365,eng ENG,Brighton,@,Everton,eng Premier League,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,56,62,90.3,0,0,0,0,0,1151,743,12,12,100.0,41,42,97.6,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,63,0,0,0,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
3,James Milner,0,30,5,0,1,47,4,2024-08-17,38-226,eng ENG,Brighton,@,Everton,eng Premier League,W 3-0,Y,81,0,0,0,0,0,0,0,0,,,0,,,0,30,40,75.0,3,1,1,1,4,501,193,13,14,92.9,12,14,85.7,3,9,33.3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,47,2,8,21,18,2,47,4,2,1,2,1,2,2,100.0,0,3,2,1,0,4,0,1,1,0,0,1,0,MF,Match Report
4,Mats Wieffer,0,63,2,1,0,82,4,2024-08-17,24-275,nl NED,Brighton,@,Everton,eng Premier League,W 3-0,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,63,72,87.5,1,1,0,0,3,1029,277,32,35,91.4,27,31,87.1,3,5,60.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,82,5,25,44,14,0,82,4,3,1,2,1,1,1,100.0,0,1,0,1,0,4,2,0,0,0,0,2,1,"DF,MF",Match Report
5,Simon Adingra,2,13,1,0,0,31,1,2024-08-17,22-229,ci CIV,Brighton,@,Everton,eng Premier League,W 3-0,N,46,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,15.1,0,13,21,61.9,0,0,0,0,0,170,28,10,14,71.4,2,3,66.7,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2,15,15,4,31,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,0,0,0,0,0,"FW,MF",Match Report
6,Jan Paul van Hecke,0,81,0,0,0,94,2,2024-08-17,24-070,nl NED,Brighton,@,Everton,eng Premier League,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,81,87,93.1,0,1,0,0,4,1395,644,37,40,92.5,39,41,95.1,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,11,62,32,0,0,94,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,3,0,0,0,0,1,0,DF,Match Report
7,Kaoru Mitoma,4,24,2,0,0,51,3,2024-08-17,27-089,jp JPN,Brighton,@,Everton,eng Premier League,W 3-0,Y,88,1,0,1,1,0,0,0,4,0.25,0.33,3,75.0,10.2,0,24,29,82.8,0,1,2,0,3,243,51,18,21,85.7,4,5,80.0,0,1,0.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,51,0,10,19,24,7,51,3,1,1,1,1,2,3,66.7,1,2,0,2,0,3,1,0,0,0,0,2,1,"FW,MF",Match Report
8,Jeremy Sarmiento,0,6,0,0,0,8,0,2024-08-17,22-062,ec ECU,Brighton,@,Everton,eng Premier League,W 3-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,6,6,100.0,0,0,0,0,0,74,1,4,4,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,2,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
9,Yankuba Minteh,0,9,4,2,0,17,1,2024-08-17,20-026,gm GAM,Brighton,@,Everton,eng Premier League,W 3-0,Y,44,0,1,1,0,0,0,0,0,,,0,,,0,9,13,69.2,3,1,1,0,2,111,42,7,8,87.5,2,2,100.0,0,0,,4,3,0,1,0,0,0,2,1,0,1,0,0,0,17,2,3,6,9,3,17,1,0,0,0,1,1,1,100.0,0,1,0,1,1,2,1,0,0,0,0,1,0,"FW,MF",Match Report
10,Adam Webster,0,30,0,0,0,34,0,2024-08-17,29-226,eng ENG,Brighton,@,Everton,eng Premier League,W 3-0,N,15,0,0,0,0,0,0,0,0,,,0,,,0,30,33,90.9,0,5,0,0,5,619,287,7,7,100.0,18,20,90.0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,14,18,2,1,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
