Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Odsonne Édouard,1,7,1,0,0,17,0,2024-08-18,26-215,fr FRA,Crystal Palace,@,Brentford,eng Premier League,L 1-2,N,45,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.6,0,7,12,58.3,1,0,0,0,1,81,14,4,6,66.7,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,10,6,2,17,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,"MF,FW",Match Report
2,Chris Richards,0,37,0,0,1,50,4,2024-08-18,24-143,us USA,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,37,41,90.2,0,1,0,0,0,579,180,21,22,95.5,12,13,92.3,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,21,28,3,0,50,4,2,0,3,1,0,2,0.0,2,2,1,1,1,5,2,0,1,0,0,2,0,DF,Match Report
3,Daichi Kamada,0,23,3,0,1,36,1,2024-08-18,28-013,jp JPN,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,69,0,0,0,0,0,0,0,0,,,0,,,0,23,28,82.1,2,2,1,0,3,340,82,15,16,93.8,7,10,70.0,1,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,36,2,4,16,17,2,36,1,1,0,0,1,0,0,,0,0,0,0,1,2,2,0,1,0,0,4,0,MF,Match Report
4,Adam Wharton,3,24,0,0,0,44,3,2024-08-18,20-077,eng ENG,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,73,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,25.3,0,24,35,68.6,0,1,0,0,4,408,117,8,10,80.0,14,20,70.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,5,24,16,1,44,3,2,0,3,0,3,4,75.0,1,0,0,0,0,3,1,0,0,0,0,0,3,MF,Match Report
5,Jean-Philippe Mateta,0,7,0,0,0,15,0,2024-08-18,27-051,fr FRA,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,0,2,0,0,2,108,22,5,6,83.3,1,3,33.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,8,2,15,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
6,Tyrick Mitchell,1,39,5,0,0,70,1,2024-08-18,24-352,eng ENG,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.7,0,39,49,79.6,2,4,1,1,2,540,234,26,27,96.3,10,16,62.5,2,4,50.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,70,3,17,36,17,2,70,1,0,0,1,0,0,0,,0,1,0,1,0,1,6,1,0,0,0,0,0,DF,Match Report
7,Daniel Muñoz,0,42,1,0,0,68,4,2024-08-18,28-084,co COL,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,55,76.4,1,2,0,0,1,567,75,29,34,85.3,13,17,76.5,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,1,14,35,19,3,68,4,3,3,1,0,1,2,50.0,1,3,0,3,1,5,1,0,0,0,0,2,0,DF,Match Report
8,Jefferson Lerma,0,20,1,0,0,24,0,2024-08-18,29-298,co COL,Crystal Palace,@,Brentford,eng Premier League,L 1-2,N,17,0,0,0,0,0,0,0,0,,,0,,,0,20,22,90.9,1,3,1,0,1,369,72,8,9,88.9,9,9,100.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,23,1,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,DF",Match Report
9,Will Hughes,0,43,3,0,0,56,5,2024-08-18,29-123,eng ENG,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,43,49,87.8,1,4,1,0,4,640,204,21,23,91.3,17,18,94.4,2,3,66.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,3,37,16,2,56,5,2,0,3,2,2,2,100.0,0,1,0,1,1,6,0,0,0,0,0,2,0,MF,Match Report
10,Eberechi Eze,7,31,6,0,0,58,1,2024-08-18,26-050,eng ENG,Crystal Palace,@,Brentford,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,7,0.0,0.0,3,42.9,18.0,1,31,43,72.1,0,5,2,0,5,417,101,21,24,87.5,10,13,76.9,0,1,0.0,6,2,1,1,1,1,0,0,0,0,0,0,0,0,58,0,1,30,27,5,58,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,"MF,FW",Match Report
