Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Moisés Caicedo,1,58,1,0,0,75,4,2025-03-09,23-127,ec ECU,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,21.9,0,58,62,93.5,1,12,3,0,11,1133,319,22,24,91.7,28,29,96.6,8,9,88.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,9,55,13,0,75,4,3,0,1,3,2,2,100.0,0,1,0,1,3,7,0,0,0,0,0,1,4,"MF,DF",Match Report
402,Marc Cucurella,2,39,2,0,0,64,1,2025-03-09,26-230,es ESP,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,20.6,0,39,47,83.0,0,3,3,1,5,786,204,12,12,100.0,22,27,81.5,5,7,71.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,64,6,25,21,19,4,64,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,7,0,0,0,0,1,1,DF,Match Report
403,Trevoh Chalobah,0,5,0,0,0,9,0,2025-03-09,25-247,eng ENG,Chelsea,,Leicester City,eng Premier League,W 1-0,N,18,0,0,0,0,0,0,0,0,,,0,,,0,5,8,62.5,0,0,0,0,0,95,21,3,4,75.0,1,3,33.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,4,0,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,DF,Match Report
404,Enzo Fernández,4,57,7,1,0,92,0,2025-03-09,24-051,ar ARG,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,1,1,0,0,0,0,4,0.0,0.0,2,50.0,20.7,0,57,81,70.4,6,8,2,1,9,1016,340,22,26,84.6,29,36,80.6,5,17,29.4,7,4,3,0,0,0,0,1,1,0,0,0,0,0,92,1,9,40,44,8,92,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,MF,Match Report
405,Robert Sánchez,0,15,0,0,0,20,0,2025-03-09,27-111,es ESP,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,19,78.9,0,0,0,0,0,346,211,4,4,100.0,6,6,100.0,5,9,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,20,0,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
406,Levi Colwill,1,74,3,0,0,91,1,2025-03-09,22-011,eng ENG,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.8,0,74,86,86.0,1,8,0,0,3,1557,487,17,20,85.0,48,50,96.0,9,15,60.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,91,3,35,48,8,2,91,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,3,0,0,0,0,4,0,DF,Match Report
407,Pedro Neto,1,32,5,0,0,50,1,2025-03-09,25-000,pt POR,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.9,0,32,42,76.2,4,2,2,0,6,548,107,16,16,100.0,14,16,87.5,2,6,33.3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,15,34,4,50,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,1,2,FW,Match Report
408,Christopher Nkunku,3,23,2,0,0,38,1,2025-03-09,27-115,fr FRA,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,88,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,13.3,0,23,25,92.0,0,2,0,0,3,384,59,6,7,85.7,16,16,100.0,1,1,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,38,0,2,20,16,8,38,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,1,0,0,0,0,1,1,FW,Match Report
409,Joshua Acheampong,0,1,0,0,1,2,0,2025-03-09,18-308,eng ENG,Chelsea,,Leicester City,eng Premier League,W 1-0,N,2,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,17,6,0,0,,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,DF,Match Report
410,Tosin Adarabioyo,1,60,0,0,0,79,1,2025-03-09,27-166,eng ENG,Chelsea,,Leicester City,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.7,0,60,68,88.2,0,2,0,0,3,1134,379,16,17,94.1,41,45,91.1,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7,36,40,3,2,79,1,1,1,0,0,0,0,,0,0,0,0,2,3,5,0,0,0,0,1,1,DF,Match Report
