Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Stefan Ortega,0,12,0,0,0,15,0,2025-04-12,32-157,de GER,Manchester City,,Crystal Palace,eng Premier League,W 5-2,N,20,0,0,0,0,0,0,0,0,,,0,,,0,12,14,85.7,0,0,0,0,0,303,120,0,0,,8,8,100.0,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,15,0,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
602,Kevin De Bruyne,6,29,10,1,0,56,2,2025-04-12,33-288,be BEL,Manchester City,,Crystal Palace,eng Premier League,W 5-2,Y,86,1,1,2,1,0,0,0,6,0.17,1.0,1,16.7,20.9,1,29,44,65.9,3,3,3,1,3,430,107,14,17,82.4,12,20,60.0,1,5,20.0,10,4,0,2,3,0,1,1,1,0,0,0,0,0,56,0,3,16,38,5,56,2,1,1,0,1,0,2,0.0,2,1,0,1,1,3,1,0,0,0,0,2,2,"MF,FW",Match Report
603,Oscar Bobb,0,7,2,0,0,9,0,2025-04-12,21-274,no NOR,Manchester City,,Crystal Palace,eng Premier League,W 5-2,N,9,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,1,0,1,0,1,79,7,4,6,66.7,2,2,100.0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,7,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
604,Sávio,0,7,0,0,0,9,0,2025-04-12,21-002,br BRA,Manchester City,,Crystal Palace,eng Premier League,W 5-2,N,9,0,0,0,0,0,0,0,0,,,0,,,0,7,7,100.0,0,0,0,0,0,65,0,6,6,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,2,6,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
605,Jeremy Doku,1,4,0,0,0,7,0,2025-04-12,22-320,be BEL,Manchester City,,Crystal Palace,eng Premier League,W 5-2,N,4,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.5,0,4,4,100.0,0,0,0,0,1,46,7,4,4,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,6,1,7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,"FW,MF",Match Report
606,Omar Marmoush,3,16,3,0,0,29,0,2025-04-19,26-071,eg EGY,Manchester City,@,Everton,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,10.3,0,16,18,88.9,2,0,3,0,3,224,63,10,10,100.0,6,6,100.0,0,0,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,10,19,6,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,2,0,"FW,MF",Match Report
607,Nicolás González,1,57,0,0,0,73,2,2025-04-19,23-106,es ESP,Manchester City,@,Everton,eng Premier League,W 2-0,Y,77,0,0,0,0,0,0,0,1,0.0,,0,0.0,3.2,0,57,64,89.1,0,3,1,0,6,958,182,27,31,87.1,27,27,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,16,49,9,1,73,2,0,1,0,1,0,1,0.0,1,0,0,0,0,2,1,0,0,0,0,1,1,MF,Match Report
608,Rúben Dias,0,100,0,0,0,118,1,2025-04-19,27-340,pt POR,Manchester City,@,Everton,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,100,106,94.3,0,8,0,0,9,1803,567,36,37,97.3,57,58,98.3,6,10,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,12,42,75,2,1,118,1,1,0,1,0,0,0,,0,3,2,1,0,1,6,0,0,0,0,0,0,DF,Match Report
609,Bernardo Silva,0,54,2,1,0,65,1,2025-04-19,30-252,pt POR,Manchester City,@,Everton,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,61,88.5,0,2,2,0,6,909,168,23,24,95.8,29,30,96.7,2,5,40.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,65,1,9,26,31,1,65,1,1,0,1,0,1,3,33.3,2,2,1,1,1,2,0,0,0,0,0,2,1,"MF,FW",Match Report
610,Joško Gvardiol,0,78,0,0,0,92,0,2025-04-19,23-086,hr CRO,Manchester City,@,Everton,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,78,83,94.0,0,14,0,0,6,1446,517,27,27,100.0,44,45,97.8,7,11,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,9,30,61,1,0,92,0,0,0,0,0,0,3,0.0,3,3,1,2,2,2,4,0,0,0,0,0,1,DF,Match Report
