Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Daniel Jebbison,0,3,2,0,0,7,0,2024-08-17,21-004,ca CAN,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,N,22,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,1,1,0,0,0,38,6,3,4,75.0,0,0,,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,3,1,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,FW,Match Report
2,Milos Kerkez,0,46,4,1,1,62,2,2024-08-17,20-284,hu HUN,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,56,82.1,1,3,0,0,8,755,301,26,26,100.0,13,16,81.3,5,10,50.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,62,1,14,35,14,1,62,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0,1,0,0,1,0,DF,Match Report
3,Alex Scott,0,19,2,0,0,41,8,2024-08-17,20-362,eng ENG,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,19,21,90.5,1,3,1,0,6,338,101,10,11,90.9,8,8,100.0,1,1,100.0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,41,3,10,23,9,0,41,8,4,4,2,2,6,7,85.7,1,3,0,3,3,11,2,0,0,0,0,1,5,MF,Match Report
4,Adam Smith,0,18,0,0,0,27,1,2024-08-17,33-110,eng ENG,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,18,21,85.7,0,1,0,0,0,296,82,9,10,90.0,8,9,88.9,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,9,12,6,0,27,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,2,0,0,0,0,0,2,DF,Match Report
5,Ryan Christie,0,18,1,0,0,32,0,2024-08-17,29-177,sct SCO,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,N,28,0,0,0,0,0,0,0,0,,,0,,,0,18,26,69.2,0,3,0,0,2,327,75,6,9,66.7,10,12,83.3,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,2,7,20,6,1,32,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,1,1,MF,Match Report
6,Lewis Cook,0,29,1,0,1,54,1,2024-08-17,27-196,eng ENG,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,29,40,72.5,1,5,0,0,5,520,184,10,13,76.9,16,18,88.9,3,8,37.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,54,4,17,25,12,0,54,1,0,1,0,0,0,2,0.0,2,2,1,1,2,3,1,0,1,0,0,2,1,"MF,DF",Match Report
7,Dango Ouattara,1,8,2,0,0,39,3,2024-08-17,22-188,bf BFA,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,68,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.9,0,8,21,38.1,0,0,0,0,0,125,24,5,9,55.6,2,6,33.3,1,4,25.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39,2,7,15,17,3,39,3,3,0,3,0,2,3,66.7,1,1,0,1,0,3,3,0,0,0,0,0,1,FW,Match Report
8,Justin Kluivert,0,11,1,1,1,17,0,2024-08-17,25-104,nl NED,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,N,28,0,0,0,0,0,0,0,0,,,0,,,0,11,14,78.6,0,0,2,0,5,223,63,6,6,100.0,3,5,60.0,2,2,100.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,17,0,1,6,11,3,17,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,1,0,0,2,1,MF,Match Report
9,Marcus Tavernier,5,35,6,0,0,58,0,2024-08-17,25-148,eng ENG,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,5,0.0,0.0,1,20.0,23.3,1,35,49,71.4,3,7,1,0,13,626,176,14,18,77.8,15,17,88.2,5,8,62.5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,58,2,8,23,28,4,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,1,"FW,MF",Match Report
10,Dean Huijsen,0,56,1,0,0,78,0,2024-08-17,19-125,es ESP,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,56,68,82.4,0,1,0,0,4,1060,470,16,17,94.1,36,41,87.8,4,9,44.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78,7,40,37,2,0,78,0,0,0,0,0,0,0,,0,2,1,1,2,2,6,0,0,0,0,1,0,DF,Match Report
