Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Mathias Jensen,0,29,2,0,0,48,0,2024-08-18,28-230,dk DEN,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,29,41,70.7,1,1,1,1,4,458,153,15,19,78.9,10,13,76.9,2,6,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,48,2,5,17,26,0,48,0,0,0,0,0,0,1,0.0,1,3,1,2,2,2,0,0,0,0,0,1,2,MF,Match Report
2,Mikkel Damsgaard,0,7,0,0,0,10,0,2024-08-18,24-046,dk DEN,Brentford,,Crystal Palace,eng Premier League,W 2-1,N,17,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,0,0,0,1,73,19,7,7,100.0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,5,0,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,"MF,FW",Match Report
3,Yoane Wissa,2,22,1,1,1,32,0,2024-08-18,27-350,cd COD,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,83,1,1,2,1,0,0,0,2,0.5,1.0,1,50.0,6.9,0,22,26,84.6,1,3,0,0,2,333,93,13,15,86.7,8,9,88.9,1,2,50.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,32,0,4,17,12,5,32,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,1,4,FW,Match Report
4,Frank Onyeka,0,1,0,0,0,2,0,2024-08-18,26-230,ng NGA,Brentford,,Crystal Palace,eng Premier League,W 2-1,N,7,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,12,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
5,Keane Lewis-Potter,0,2,0,0,0,6,1,2024-08-18,23-178,eng ENG,Brentford,,Crystal Palace,eng Premier League,W 2-1,N,17,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,22,0,2,2,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,3,0,6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"DF,FW",Match Report
6,Kevin Schade,1,8,1,0,0,28,3,2024-08-18,22-265,de GER,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,73,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.9,0,8,17,47.1,0,1,0,0,1,144,24,3,7,42.9,4,8,50.0,1,1,100.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1,6,11,12,2,28,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,1,0,0,0,0,1,1,FW,Match Report
7,Mads Roerslev,0,34,0,0,0,48,0,2024-08-18,25-055,dk DEN,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,43,79.1,0,3,0,0,5,649,251,17,20,85.0,13,16,81.3,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,22,21,5,0,48,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,2,DF,Match Report
8,Bryan Mbeumo,1,16,6,0,0,37,0,2024-08-18,25-011,cm CMR,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,89,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,11.6,0,16,32,50.0,3,0,2,1,1,232,84,9,14,64.3,5,10,50.0,1,4,25.0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,37,0,4,10,23,1,37,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,2,FW,Match Report
9,Vitaly Janelt,2,28,1,0,0,41,3,2024-08-18,26-100,de GER,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,73,0,0,0,0,0,0,0,2,0.0,,0,0.0,19.9,0,28,30,93.3,1,5,1,1,4,538,199,14,15,93.3,11,12,91.7,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,2,14,22,7,1,41,3,2,0,2,1,3,3,100.0,0,0,0,0,2,5,1,0,0,0,0,0,2,MF,Match Report
10,Ben Mee,0,1,0,0,0,2,0,2024-08-18,34-332,eng ENG,Brentford,,Crystal Palace,eng Premier League,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,33,0,0,0,,0,0,,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
11,Fabio Carvalho,0,2,0,0,0,8,1,2024-08-18,21-354,pt POR,Brentford,,Crystal Palace,eng Premier League,W 2-1,N,7,0,0,0,0,0,0,0,0,,,0,,,0,2,5,40.0,0,0,0,0,0,12,4,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,3,0,8,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
12,Kristoffer Ajer,1,28,0,0,0,43,0,2024-08-18,26-123,no NOR,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,6.2,0,28,38,73.7,0,0,0,0,2,481,191,16,19,84.2,9,12,75.0,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,20,17,8,1,43,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,DF,Match Report
13,Nathan Collins,1,46,1,1,0,67,5,2024-08-18,23-110,ie IRL,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.3,0,46,52,88.5,0,1,0,0,2,860,339,15,17,88.2,28,30,93.3,3,4,75.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,67,10,33,28,6,1,67,5,2,1,3,1,4,5,80.0,1,3,2,1,0,5,6,0,0,0,0,0,1,DF,Match Report
14,Mark Flekken,0,42,0,0,0,58,1,2024-08-18,31-066,nl NED,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,55,76.4,0,1,0,0,0,1363,848,2,3,66.7,17,19,89.5,23,33,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,51,57,2,0,0,58,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,0,0,0,0,0,GK,Match Report
15,Christian Nørgaard,0,31,3,1,0,56,3,2024-08-18,30-161,dk DEN,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,43,72.1,1,6,0,0,7,479,155,14,16,87.5,13,18,72.2,2,3,66.7,3,3,0,0,0,0,0,1,1,0,0,0,0,0,56,3,21,30,5,0,56,3,1,1,2,0,1,1,100.0,0,2,0,2,3,6,3,0,0,0,0,1,1,MF,Match Report
16,Ethan Pinnock,1,34,0,0,0,58,2,2024-08-18,31-081,jm JAM,Brentford,,Crystal Palace,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,17.3,0,34,42,81.0,0,1,0,0,2,678,232,7,8,87.5,24,29,82.8,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11,34,23,1,1,58,2,0,0,2,0,2,3,66.7,1,2,1,1,1,3,5,0,0,0,0,0,0,DF,Match Report
17,Mathias Jensen,1,13,2,0,1,24,0,2024-08-25,28-237,dk DEN,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,65,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.6,0,13,20,65.0,2,2,1,1,2,346,126,3,3,100.0,5,8,62.5,5,8,62.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,24,1,5,8,11,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,1,MF,Match Report
18,Mikkel Damsgaard,0,9,0,0,0,16,0,2024-08-25,24-053,dk DEN,Brentford,@,Liverpool,eng Premier League,L 0-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,9,14,64.3,0,1,0,0,2,149,88,6,8,75.0,2,3,66.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,10,6,0,16,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
19,Yoane Wissa,0,12,1,0,0,18,0,2024-08-25,27-357,cd COD,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,12,14,85.7,0,2,0,0,1,203,62,8,9,88.9,3,3,100.0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,2,3,13,3,0,18,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,2,FW,Match Report
20,Frank Onyeka,0,5,0,0,0,8,0,2024-08-25,26-237,ng NGA,Brentford,@,Liverpool,eng Premier League,L 0-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,1,0,1,59,19,4,4,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,4,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
21,Keane Lewis-Potter,2,14,2,0,0,27,1,2024-08-25,23-185,eng ENG,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,65,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,22.5,0,14,20,70.0,1,0,1,0,2,299,37,5,7,71.4,5,6,83.3,3,3,100.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,27,1,5,8,14,0,27,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,"DF,FW",Match Report
22,Kevin Schade,0,2,0,0,0,7,0,2024-08-25,22-272,de GER,Brentford,@,Liverpool,eng Premier League,L 0-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,35,5,0,0,,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
23,Mads Roerslev,1,36,1,0,0,54,1,2024-08-25,25-062,dk DEN,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.1,0,36,45,80.0,0,1,0,0,3,651,127,14,18,77.8,17,18,94.4,5,7,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,2,16,29,10,0,54,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,0,0,0,0,0,DF,Match Report
24,Bryan Mbeumo,1,16,3,0,1,33,1,2024-08-25,25-018,cm CMR,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.1,0,16,20,80.0,1,0,2,0,2,217,70,8,8,100.0,7,7,100.0,0,0,,3,0,2,0,1,0,0,0,0,0,0,0,0,0,33,1,6,8,20,2,33,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,1,0,0,1,0,FW,Match Report
25,Vitaly Janelt,0,16,1,0,0,23,1,2024-08-25,26-107,de GER,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,16,20,80.0,0,4,0,0,4,297,139,6,8,75.0,9,9,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,2,8,7,8,1,23,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,0,0,0,0,2,MF,Match Report
26,Fabio Carvalho,0,7,0,0,0,13,0,2024-08-25,21-361,pt POR,Brentford,@,Liverpool,eng Premier League,L 0-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,2,0,0,1,96,34,3,5,60.0,4,4,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,4,4,1,13,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
27,Kristoffer Ajer,0,35,2,0,0,52,1,2024-08-25,26-130,no NOR,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,35,43,81.4,1,4,0,0,5,546,195,14,15,93.3,19,22,86.4,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,52,5,17,29,7,1,52,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0,0,0,0,1,0,DF,Match Report
28,Nathan Collins,2,48,2,0,0,65,0,2024-08-25,23-117,ie IRL,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.3,0,48,54,88.9,0,2,0,0,2,1013,250,9,11,81.8,35,37,94.6,3,5,60.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,65,12,42,21,2,2,65,0,0,0,0,0,0,0,,0,6,6,0,1,1,2,0,0,0,0,0,1,DF,Match Report
29,Mark Flekken,0,41,0,0,0,58,0,2024-08-25,31-073,nl NED,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,41,54,75.9,0,0,0,0,0,1234,704,3,3,100.0,19,19,100.0,19,32,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,48,55,3,0,0,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
30,Christian Nørgaard,1,34,1,0,1,50,4,2024-08-25,30-168,dk DEN,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.7,0,34,37,91.9,0,0,0,0,1,470,95,15,17,88.2,12,12,100.0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,50,6,18,24,8,1,50,4,1,2,2,0,3,3,100.0,0,0,0,0,1,5,1,0,1,0,0,3,2,MF,Match Report
31,Ethan Pinnock,0,34,0,0,0,45,1,2024-08-25,31-088,jm JAM,Brentford,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,39,87.2,0,0,0,0,0,660,149,8,9,88.9,23,25,92.0,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,29,16,0,0,45,1,1,1,0,0,0,1,0.0,1,1,1,0,2,3,2,0,0,0,0,0,0,DF,Match Report
32,Mathias Jensen,1,38,5,2,0,57,1,2024-08-31,28-243,dk DEN,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,0,1,1,0,0,0,0,1,0.0,,0,0.0,10.6,0,38,52,73.1,3,5,2,0,6,633,309,19,24,79.2,14,19,73.7,4,7,57.1,5,3,2,0,0,0,0,2,1,1,0,0,0,0,57,3,18,20,19,1,57,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,2,0,0,0,0,3,1,MF,Match Report
33,Mikkel Damsgaard,2,25,4,0,0,46,4,2024-08-31,24-059,dk DEN,Brentford,,Southampton,eng Premier League,W 3-1,Y,81,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.4,0,25,31,80.6,3,5,3,0,9,447,188,14,16,87.5,7,9,77.8,4,5,80.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,46,0,6,22,21,4,46,4,3,1,0,3,2,2,100.0,0,1,0,1,2,6,0,0,0,0,0,1,0,"MF,FW",Match Report
34,Yoane Wissa,6,18,8,1,0,34,1,2024-08-31,27-363,cd COD,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,1,0,1,1,0,0,0,6,0.17,0.5,2,33.3,14.1,0,18,21,85.7,3,2,0,0,3,211,81,11,12,91.7,5,7,71.4,0,0,,8,6,0,1,0,1,0,1,1,0,0,0,0,0,34,0,3,8,23,11,34,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,1,3,FW,Match Report
35,Keane Lewis-Potter,0,4,0,0,0,7,0,2024-08-31,23-191,eng ENG,Brentford,,Southampton,eng Premier League,W 3-1,N,16,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,0,0,2,53,23,3,3,100.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1,3,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,"DF,FW",Match Report
36,Kevin Schade,2,10,3,1,0,24,1,2024-08-31,22-278,de GER,Brentford,,Southampton,eng Premier League,W 3-1,Y,74,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.0,0,10,14,71.4,1,1,0,0,0,113,6,7,8,87.5,2,4,50.0,0,0,,3,1,0,1,1,0,0,1,0,0,0,1,0,0,24,1,2,9,13,5,24,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,FW,Match Report
37,Mads Roerslev,0,21,2,0,0,32,1,2024-08-31,25-068,dk DEN,Brentford,,Southampton,eng Premier League,W 3-1,N,52,0,0,0,0,0,0,0,0,,,0,,,0,21,25,84.0,1,3,0,0,1,353,151,11,12,91.7,6,8,75.0,3,4,75.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,2,18,6,8,2,32,1,0,1,0,0,0,2,0.0,2,2,0,2,1,2,1,0,0,0,0,0,1,DF,Match Report
38,Bryan Mbeumo,4,29,9,1,1,48,0,2024-08-31,25-024,cm CMR,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,2,0,2,2,0,0,0,4,0.5,0.67,3,75.0,18.8,0,29,37,78.4,3,1,2,1,5,442,138,17,21,81.0,9,10,90.0,2,4,50.0,9,9,0,0,0,0,0,1,1,0,0,0,0,0,48,1,7,12,31,8,48,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,1,0,0,1,1,FW,Match Report
39,Sepp van den Berg,0,7,0,0,0,12,0,2024-08-31,22-255,nl NED,Brentford,,Southampton,eng Premier League,W 3-1,N,16,0,0,0,0,0,0,0,0,,,0,,,0,7,8,87.5,0,1,0,0,1,122,57,2,2,100.0,5,6,83.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,7,4,1,0,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
40,Vitaly Janelt,0,39,3,0,0,50,1,2024-08-31,26-113,de GER,Brentford,,Southampton,eng Premier League,W 3-1,Y,74,0,0,0,0,0,0,0,0,,,0,,,0,39,44,88.6,1,0,2,1,2,710,191,18,19,94.7,17,18,94.4,3,5,60.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,50,4,13,24,13,0,50,1,1,1,0,0,0,0,,0,2,0,2,0,1,2,0,0,0,0,1,0,MF,Match Report
41,Fabio Carvalho,1,4,0,0,0,8,1,2024-08-31,22-001,pt POR,Brentford,,Southampton,eng Premier League,W 3-1,N,9,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.7,0,4,5,80.0,0,0,0,0,0,43,0,3,3,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,5,3,8,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,"FW,MF",Match Report
42,Kristoffer Ajer,0,5,0,0,0,11,1,2024-08-31,26-136,no NOR,Brentford,,Southampton,eng Premier League,W 3-1,Y,38,0,0,0,0,0,0,0,0,,,0,,,0,5,8,62.5,0,2,0,0,2,100,33,2,2,100.0,3,4,75.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,5,3,3,1,11,1,1,1,0,0,0,0,,0,0,0,0,1,2,2,0,0,0,0,1,0,DF,Match Report
43,Nathan Collins,1,38,1,0,0,53,2,2024-08-31,23-123,ie IRL,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.0,0,38,41,92.7,0,3,0,0,2,747,314,12,14,85.7,23,23,100.0,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,10,38,11,4,3,53,2,1,2,0,0,1,1,100.0,0,4,3,1,2,4,5,0,0,0,0,0,0,DF,Match Report
44,Mark Flekken,0,31,0,0,0,41,0,2024-08-31,31-079,nl NED,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,37,83.8,0,0,0,0,0,890,534,5,5,100.0,17,18,94.4,9,14,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,41,0,0,0,41,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
45,Christian Nørgaard,3,32,2,0,0,50,2,2024-08-31,30-174,dk DEN,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,17.9,0,32,36,88.9,1,1,0,0,3,561,229,14,16,87.5,15,15,100.0,3,3,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,50,6,22,15,13,2,50,2,2,0,2,0,2,4,50.0,2,4,1,3,1,3,2,0,0,0,0,0,0,MF,Match Report
46,Ethan Pinnock,0,30,0,0,1,48,2,2024-08-31,31-094,jm JAM,Brentford,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,34,88.2,0,3,0,0,2,473,170,18,18,100.0,10,11,90.9,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,11,29,16,3,1,48,2,2,1,0,1,0,0,,0,1,0,1,3,5,6,0,1,0,0,1,0,DF,Match Report
47,Mikkel Damsgaard,0,31,3,0,0,50,0,2024-09-14,24-073,dk DEN,Brentford,@,Manchester City,eng Premier League,L 1-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,31,37,83.8,1,0,1,0,4,487,118,16,17,94.1,14,15,93.3,1,4,25.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,50,6,18,17,15,2,50,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,3,0,0,0,0,0,0,"MF,FW",Match Report
48,Yoane Wissa,1,12,1,1,0,22,0,2024-09-14,28-011,cd COD,Brentford,@,Manchester City,eng Premier League,L 1-2,Y,44,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,4.1,0,12,17,70.6,0,0,0,0,1,213,45,7,9,77.8,3,4,75.0,2,4,50.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,22,0,1,16,6,2,22,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,2,FW,Match Report
49,Keane Lewis-Potter,1,16,0,0,0,32,0,2024-09-14,23-205,eng ENG,Brentford,@,Manchester City,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,16.3,0,16,21,76.2,0,1,1,1,1,244,41,11,13,84.6,4,4,100.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,10,14,9,3,32,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,0,0,0,0,0,"DF,FW",Match Report
50,Kevin Schade,0,5,1,0,0,15,2,2024-09-14,22-292,de GER,Brentford,@,Manchester City,eng Premier League,L 1-2,N,46,0,0,0,0,0,0,0,0,,,0,,,0,5,11,45.5,1,0,1,0,1,52,10,5,8,62.5,0,3,0.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,7,6,1,15,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,FW,Match Report
51,Mads Roerslev,0,5,0,0,0,11,1,2024-09-14,25-082,dk DEN,Brentford,@,Manchester City,eng Premier League,L 1-2,N,19,0,0,0,0,0,0,0,0,,,0,,,0,5,10,50.0,0,1,0,0,1,98,48,2,3,66.7,2,3,66.7,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,5,1,11,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,DF,Match Report
52,Bryan Mbeumo,1,24,4,0,0,36,1,2024-09-14,25-038,cm CMR,Brentford,@,Manchester City,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.0,0,24,27,88.9,3,0,2,0,3,412,130,8,9,88.9,12,12,100.0,3,5,60.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,36,1,11,8,17,3,36,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2,FW,Match Report
