Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Wesley Fofana,1,49,0,0,0,64,1,2024-08-18,23-245,fr FRA,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.6,0,49,56,87.5,0,4,0,0,1,878,347,19,20,95.0,28,30,93.3,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11,31,31,2,1,64,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,3,0,0,0,0,3,0,DF,Match Report
2,Moisés Caicedo,1,47,1,0,1,61,2,2024-08-18,22-290,ec ECU,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.6,0,47,53,88.7,1,1,2,1,3,609,140,30,32,93.8,15,16,93.8,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,10,30,21,0,61,2,1,0,2,0,1,4,25.0,3,2,0,2,2,4,0,0,1,0,0,2,0,"MF,DF",Match Report
3,Marc Cucurella,0,58,1,0,0,77,2,2024-08-18,26-027,es ESP,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,58,68,85.3,0,3,0,0,3,866,315,31,36,86.1,25,27,92.6,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,4,29,31,17,1,77,2,2,2,0,0,1,3,33.3,2,1,1,0,0,2,3,0,0,0,0,0,3,DF,Match Report
4,Kiernan Dewsbury-Hall,0,13,0,0,0,19,0,2024-08-18,25-347,eng ENG,Chelsea,,Manchester City,eng Premier League,L 0-2,N,24,0,0,0,0,0,0,0,0,,,0,,,0,13,17,76.5,0,2,0,0,0,152,5,10,13,76.9,3,3,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,11,7,0,19,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,1,"MF,FW",Match Report
5,Enzo Fernández,3,47,3,0,0,67,2,2024-08-18,23-214,ar ARG,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,14.6,0,47,56,83.9,0,7,0,0,4,911,263,21,23,91.3,18,22,81.8,8,11,72.7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,67,1,9,37,21,6,67,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,0,0,0,0,2,MF,Match Report
6,Robert Sánchez,0,24,0,0,0,32,0,2024-08-18,26-274,es ESP,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,29,82.8,0,0,0,0,0,500,281,7,7,100.0,15,16,93.8,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,32,0,0,0,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
7,Levi Colwill,0,47,1,0,0,56,1,2024-08-18,21-174,eng ENG,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,48,97.9,0,4,0,0,2,998,443,12,12,100.0,32,32,100.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,15,30,25,1,0,56,1,0,1,0,0,0,1,0.0,1,1,1,0,2,3,4,0,0,0,0,0,1,DF,Match Report
8,Pedro Neto,1,17,2,0,0,23,0,2024-08-18,24-162,pt POR,Chelsea,,Manchester City,eng Premier League,L 0-2,N,33,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.4,0,17,19,89.5,2,1,1,1,0,219,60,12,12,100.0,5,6,83.3,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,14,3,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
9,Christopher Nkunku,1,26,2,0,0,38,3,2024-08-18,26-278,fr FRA,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,57,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.4,0,26,26,100.0,1,2,0,0,2,346,83,17,17,100.0,7,7,100.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,1,9,11,18,5,38,3,3,0,1,2,2,2,100.0,0,2,0,2,1,4,0,0,0,0,0,2,0,FW,Match Report
10,Nicolas Jackson,1,11,3,0,0,21,0,2024-08-18,23-059,sn SEN,Chelsea,,Manchester City,eng Premier League,L 0-2,Y,66,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.8,0,11,16,68.8,2,2,1,0,2,207,65,4,7,57.1,5,6,83.3,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,7,12,4,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,FW,Match Report
