Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Bobby De Cordova-Reid,1,15,1,0,0,31,0,2024-08-19,31-199,jm JAM,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,85,0,0,0,0,0,0,0,1,0.0,,0,0.0,44.4,0,15,24,62.5,0,0,0,0,0,195,26,10,14,71.4,4,5,80.0,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,12,11,8,1,31,0,0,0,0,0,0,3,0.0,3,1,1,0,0,0,3,0,0,0,0,2,1,FW,Match Report
2,Jannik Vestergaard,0,15,0,0,0,29,0,2024-08-19,32-016,dk DEN,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,16,93.8,0,2,0,0,2,222,117,9,9,100.0,6,6,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,21,8,0,0,29,0,0,0,0,0,0,0,,0,2,0,2,2,2,8,0,0,0,0,1,0,DF,Match Report
3,Harry Winks,0,34,1,0,0,43,3,2024-08-19,28-199,eng ENG,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,41,82.9,1,4,0,0,6,531,312,20,23,87.0,13,15,86.7,1,3,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43,2,17,24,4,0,43,3,2,2,1,0,1,5,20.0,4,1,1,0,1,4,0,0,0,0,0,1,1,MF,Match Report
4,Stephy Mavididi,0,2,2,0,0,6,1,2024-08-19,26-080,eng ENG,Leicester City,,Tottenham,eng Premier League,D 1-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,1,0,1,0,2,40,17,1,1,100.0,1,2,50.0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,3,2,2,0,6,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,FW,Match Report
5,Jamie Vardy,2,4,0,0,0,18,1,2024-08-19,37-221,eng ENG,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,78,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,7.7,0,4,10,40.0,0,0,0,0,1,60,11,1,5,20.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,2,9,7,3,18,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,0,0,0,0,0,FW,Match Report
6,Facundo Buonanotte,0,20,2,0,0,35,3,2024-08-19,19-240,ar ARG,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,20,25,80.0,1,2,2,1,5,288,108,13,15,86.7,5,5,100.0,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,17,13,0,35,3,0,1,0,2,2,3,66.7,1,1,0,1,0,3,0,0,0,0,0,0,3,"FW,MF",Match Report
7,Victor Bernth Kristiansen,0,28,2,1,0,54,2,2024-08-19,21-247,dk DEN,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,36,77.8,0,1,1,1,2,517,91,12,12,100.0,12,16,75.0,3,7,42.9,2,2,0,0,0,0,0,1,1,0,0,0,0,0,54,7,20,28,6,0,54,2,2,2,0,0,2,3,66.7,1,2,1,1,2,4,6,0,0,0,0,1,2,DF,Match Report
8,Wilfred Ndidi,2,27,1,0,0,55,2,2024-08-19,27-247,ng NGA,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,13.1,0,27,35,77.1,0,1,0,0,2,389,146,16,19,84.2,9,11,81.8,1,2,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,55,11,27,23,6,3,55,2,0,1,1,0,0,0,,0,5,2,3,0,2,3,0,0,0,0,1,1,MF,Match Report
9,Wout Faes,0,27,1,0,1,40,1,2024-08-19,26-138,be BEL,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,30,90.0,0,1,0,0,0,421,115,15,15,100.0,11,11,100.0,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,9,27,13,0,0,40,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,6,0,1,0,0,2,0,DF,Match Report
10,Boubakary Soumaré,0,3,0,0,0,4,0,2024-08-19,25-174,fr FRA,Leicester City,,Tottenham,eng Premier League,D 1-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,36,4,2,2,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
11,Kasey McAteer,1,2,0,0,0,12,2,2024-08-19,22-271,ie IRL,Leicester City,,Tottenham,eng Premier League,D 1-1,N,5,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.9,0,2,4,50.0,0,1,0,0,0,19,9,2,3,66.7,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,8,4,1,1,12,2,1,2,0,0,1,2,50.0,1,4,0,4,0,2,2,0,0,0,0,0,0,FW,Match Report
12,Abdul Fatawu Issahaku,0,18,3,1,0,49,6,2024-08-19,20-164,gh GHA,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,18,25,72.0,2,2,2,1,2,362,137,9,10,90.0,5,8,62.5,4,7,57.1,3,2,0,0,0,1,0,1,1,0,0,0,0,0,49,7,20,14,16,1,49,6,6,5,0,1,4,7,57.1,3,1,0,1,0,6,5,0,0,0,0,2,3,FW,Match Report
13,Mads Hermansen,0,14,0,0,0,32,0,2024-08-19,24-039,dk DEN,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,14,28,50.0,0,1,0,0,0,429,348,2,2,100.0,9,9,100.0,3,16,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,32,0,0,0,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
14,James Justin,1,28,0,0,0,46,1,2024-08-19,26-178,eng ENG,Leicester City,,Tottenham,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.1,0,28,33,84.8,0,5,1,1,1,507,263,13,15,86.7,13,14,92.9,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,21,16,9,1,46,1,1,0,1,0,0,0,,0,2,0,2,3,4,8,0,0,0,0,0,1,DF,Match Report
15,Bobby De Cordova-Reid,1,14,1,0,0,25,1,2024-08-24,31-204,jm JAM,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,62,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,32.8,0,14,16,87.5,0,1,0,0,2,196,61,9,10,90.0,5,6,83.3,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,6,14,5,0,25,1,1,0,1,0,0,0,,0,3,0,3,0,1,0,0,0,0,0,1,0,FW,Match Report
16,Jannik Vestergaard,1,61,0,0,1,79,2,2024-08-24,32-021,dk DEN,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.2,0,61,68,89.7,0,1,0,0,1,1083,444,25,26,96.2,32,35,91.4,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,16,56,21,2,2,79,2,1,0,2,0,0,0,,0,0,0,0,0,2,9,0,1,0,0,2,0,DF,Match Report
17,Harry Winks,0,57,2,0,0,68,0,2024-08-24,28-204,eng ENG,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,57,62,91.9,1,4,0,0,4,929,313,31,32,96.9,22,25,88.0,4,4,100.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,68,1,31,34,3,0,68,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,0,0,0,1,MF,Match Report
18,Stephy Mavididi,0,6,0,0,0,8,1,2024-08-24,26-085,eng ENG,Leicester City,@,Fulham,eng Premier League,L 1-2,N,20,0,0,0,0,0,0,0,0,,,0,,,0,6,6,100.0,0,1,0,0,0,94,39,3,3,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,4,2,0,8,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
19,Jamie Vardy,0,6,1,1,0,12,0,2024-08-24,37-226,eng ENG,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,6,11,54.5,0,1,0,0,2,95,17,4,5,80.0,2,3,66.7,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,12,0,1,8,4,0,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
20,Facundo Buonanotte,0,12,3,1,0,28,3,2024-08-24,19-245,ar ARG,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,70,0,1,1,0,0,0,0,0,,,0,,,0,12,17,70.6,3,3,0,0,1,201,88,6,10,60.0,4,4,100.0,2,3,66.7,3,1,2,0,0,0,0,1,0,1,0,0,0,0,28,0,7,17,6,1,28,3,2,1,2,0,2,3,66.7,1,2,0,2,1,4,0,0,0,0,0,3,2,"FW,MF",Match Report
21,Victor Bernth Kristiansen,0,29,0,0,1,59,3,2024-08-24,21-252,dk DEN,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,29,49,59.2,0,2,0,0,1,464,92,13,17,76.5,16,24,66.7,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,6,29,28,2,0,59,3,3,2,1,0,1,2,50.0,1,1,1,0,1,4,3,0,1,0,0,2,2,DF,Match Report
22,Oliver Skipp,0,15,0,0,0,16,0,2024-08-24,23-343,eng ENG,Leicester City,@,Fulham,eng Premier League,L 1-2,N,20,0,0,0,0,0,0,0,0,,,0,,,0,15,16,93.8,0,1,0,0,1,269,41,7,8,87.5,7,7,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,4,11,1,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
23,Wilfred Ndidi,1,41,3,0,0,56,3,2024-08-24,27-252,ng NGA,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.5,0,41,46,89.1,1,2,0,0,6,732,220,22,23,95.7,14,17,82.4,5,6,83.3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,56,3,30,21,7,1,56,3,2,1,2,0,2,3,66.7,1,2,1,1,0,3,2,0,0,0,0,3,1,MF,Match Report
24,Wout Faes,3,58,0,0,0,85,0,2024-08-24,26-143,be BEL,Leicester City,@,Fulham,eng Premier League,L 1-2,Y,90,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,9.0,0,58,65,89.2,0,1,0,0,1,1058,302,23,25,92.0,29,30,96.7,6,10,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,23,61,22,3,3,85,0,0,0,0,0,0,0,,0,7,3,4,2,2,8,1,0,0,0,1,0,DF,Match Report
25,Kasey McAteer,0,4,1,0,0,9,0,2024-08-24,22-276,ie IRL,Leicester City,@,Fulham,eng Premier League,L 1-2,N,6,0,0,0,0,0,0,0,0,,,0,,,0,4,7,57.1,0,0,0,0,0,70,0,2,4,50.0,2,3,66.7,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,4,3,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
