Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Anthony Gordon,0,11,2,0,0,24,0,2024-08-17,23-175,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,69,0,0,0,0,0,0,0,0,,,0,,,0,11,18,61.1,1,0,1,0,2,108,32,8,8,100.0,2,5,40.0,0,3,0.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,24,0,4,7,13,1,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,"FW,MF",Match Report
2,Harvey Barnes,0,1,0,0,0,5,0,2024-08-17,26-252,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,N,21,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,14,7,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
3,Nick Pope,0,10,0,0,0,27,0,2024-08-17,32-120,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,10,26,38.5,0,1,0,0,0,490,402,0,0,,2,2,100.0,8,24,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,27,0,0,0,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
4,Emil Krafth,0,2,0,0,0,12,0,2024-08-17,30-015,se SWE,Newcastle Utd,,Southampton,eng Premier League,W 1-0,N,61,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,22,0,2,2,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,1,2,2,12,0,0,0,0,0,0,0,,0,2,2,0,0,0,6,0,0,0,0,0,0,DF,Match Report
5,Bruno Guimarães,0,18,0,0,0,42,6,2024-08-17,26-275,br BRA,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,28,64.3,0,2,1,0,1,295,172,11,13,84.6,5,6,83.3,2,9,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,16,20,7,0,42,6,4,4,1,1,1,1,100.0,0,4,1,3,1,7,3,0,0,0,0,2,6,MF,Match Report
6,Alexander Isak,0,8,2,2,0,19,1,2024-08-17,24-331,se SWE,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,8,10,80.0,1,0,0,0,1,99,36,5,6,83.3,2,2,100.0,0,0,,2,1,0,0,0,0,1,2,1,0,0,0,0,1,19,3,5,8,8,2,19,1,1,0,1,0,0,0,,0,1,0,1,1,2,3,0,0,0,0,0,1,FW,Match Report
7,Sean Longstaff,0,11,0,0,0,22,3,2024-08-17,26-292,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,15,73.3,0,0,0,0,2,145,42,6,8,75.0,5,6,83.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,7,9,6,2,22,3,3,1,2,0,1,2,50.0,1,2,0,2,0,3,1,0,0,0,0,0,0,MF,Match Report
8,Valentino Livramento,0,11,0,0,0,34,2,2024-08-17,21-279,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,20,55.0,0,0,0,0,0,178,77,7,12,58.3,3,5,60.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,17,10,8,0,34,2,2,2,0,0,2,3,66.7,1,5,2,3,0,2,3,0,0,0,0,0,1,DF,Match Report
9,Dan Burn,0,13,0,0,1,30,0,2024-08-17,32-100,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,18,72.2,0,0,0,0,0,250,99,5,7,71.4,6,7,85.7,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,23,7,1,0,30,0,0,0,0,0,0,0,,0,1,1,0,0,0,10,0,1,0,0,3,0,DF,Match Report
10,Joelinton,2,10,0,0,0,34,1,2024-08-17,28-003,br BRA,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,12.1,0,10,17,58.8,0,1,1,0,2,112,33,8,10,80.0,2,4,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,14,12,8,3,34,1,1,0,1,0,0,1,0.0,1,4,2,2,1,2,6,0,0,0,0,4,3,"MF,FW",Match Report
