Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jean-Ricner Bellegarde,1,14,1,0,0,25,1,2024-08-17,26-051,ht HAI,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,56,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.1,1,14,17,82.4,0,1,0,0,1,223,25,9,10,90.0,4,4,100.0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,4,14,9,0,25,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,2,3,"MF,FW",Match Report
2,Hwang Hee-chan,0,18,1,0,0,31,0,2024-08-17,28-204,kr KOR,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,23,78.3,1,1,1,1,2,235,56,15,19,78.9,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,12,16,2,31,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,5,"MF,FW",Match Report
3,Yerson Mosquera,0,40,1,0,0,53,3,2024-08-17,23-107,co COL,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,47,85.1,1,8,1,1,2,691,219,17,19,89.5,20,21,95.2,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,7,25,27,2,0,53,3,2,3,0,0,3,3,100.0,0,2,2,0,0,3,0,0,0,0,0,2,2,DF,Match Report
4,Mario Lemina,0,32,0,0,0,51,2,2024-08-17,30-351,ga GAB,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,40,80.0,0,3,0,0,1,658,256,9,11,81.8,18,20,90.0,5,8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,22,27,2,0,51,2,0,2,0,0,1,2,50.0,1,3,3,0,5,7,2,0,0,0,0,1,1,"MF,DF",Match Report
5,Craig Dawson,0,3,0,0,0,5,0,2024-08-17,34-103,eng ENG,Wolves,@,Arsenal,eng Premier League,L 0-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,1,0,0,0,75,52,2,2,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,1,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
6,Daniel Podence,1,2,0,0,0,6,0,2024-08-17,28-301,pt POR,Wolves,@,Arsenal,eng Premier League,L 0-2,N,16,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.4,0,2,4,50.0,0,1,0,0,0,19,13,2,2,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
7,João Gomes,0,33,2,0,1,42,2,2024-08-17,23-187,br BRA,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,33,40,82.5,0,5,0,0,5,581,162,20,24,83.3,11,13,84.6,2,3,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,42,2,7,27,9,0,42,2,2,2,0,0,0,3,0.0,3,1,1,0,0,2,0,0,1,0,0,3,0,MF,Match Report
8,Rodrigo Gomes,1,11,0,0,0,24,0,2024-08-17,21-041,pt POR,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,74,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.4,0,11,20,55.0,0,0,0,0,1,136,18,8,11,72.7,3,6,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,2,4,18,4,24,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,0,0,0,0,1,"DF,FW",Match Report
9,José Sá,0,23,1,0,0,42,0,2024-08-17,31-213,pt POR,Wolves,@,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,40,57.5,0,2,0,0,0,753,619,4,4,100.0,10,11,90.9,9,25,36.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,31,41,1,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
10,Pablo Sarabia,1,5,0,0,0,10,1,2024-08-17,32-098,es ESP,Wolves,@,Arsenal,eng Premier League,L 0-2,N,7,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,16.5,0,5,7,71.4,0,1,1,0,2,119,58,1,2,50.0,3,3,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,5,4,1,10,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
