Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Jordan Pickford,0,16,0,0,1,42,0,2024-12-14,30-282,eng ENG,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,16,36,44.4,0,1,0,0,0,453,365,3,3,100.0,6,6,100.0,6,24,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,40,2,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1,0,0,0,0,GK,Match Report
202,Dominic Calvert-Lewin,0,7,1,0,0,15,0,2024-12-14,27-273,eng ENG,Everton,@,Arsenal,eng Premier League,D 0-0,Y,65,0,0,0,0,0,0,0,0,,,0,,,0,7,11,63.6,0,0,0,0,0,81,5,6,9,66.7,1,1,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,9,5,1,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
203,Iliman Ndiaye,0,17,0,0,0,34,5,2024-12-14,24-283,sn SEN,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,22,77.3,0,3,0,0,2,307,121,9,12,75.0,6,6,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,19,13,7,0,34,5,3,3,2,0,0,2,0.0,2,0,0,0,1,6,2,0,0,0,0,0,0,FW,Match Report
204,Idrissa Gana Gueye,0,30,1,0,0,38,3,2024-12-14,35-079,sn SEN,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,32,93.8,0,0,0,0,2,488,139,16,17,94.1,12,13,92.3,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,7,13,21,4,0,38,3,2,1,1,1,2,2,100.0,0,0,0,0,0,3,0,0,0,0,0,1,2,MF,Match Report
205,Armando Broja,0,2,0,0,1,10,1,2024-12-14,23-095,al ALB,Everton,@,Arsenal,eng Premier League,D 0-0,N,25,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,1,0,0,0,19,5,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,6,4,0,10,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,1,0,FW,Match Report
206,Orel Mangala,0,13,1,0,0,22,0,2024-12-14,26-271,be BEL,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,1,3,0,0,2,218,67,8,8,100.0,4,5,80.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,3,6,10,6,2,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,MF,Match Report
207,Jack Harrison,0,5,0,0,0,20,2,2024-12-14,28-024,eng ENG,Everton,@,Arsenal,eng Premier League,D 0-0,Y,65,0,0,0,0,0,0,0,0,,,0,,,0,5,11,45.5,0,0,0,0,0,87,37,3,4,75.0,1,2,50.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,6,8,0,20,2,2,0,1,1,1,2,50.0,1,0,0,0,1,3,1,0,0,0,0,0,0,FW,Match Report
208,Ashley Young,0,13,0,0,1,38,7,2024-12-14,39-158,eng ENG,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,25,52.0,0,2,0,0,2,257,173,4,5,80.0,8,12,66.7,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,18,13,9,0,38,7,4,3,2,2,4,4,100.0,0,0,0,0,1,8,5,0,1,0,0,2,0,DF,Match Report
209,Jarrad Branthwaite,0,20,0,0,0,34,1,2024-12-14,22-170,eng ENG,Everton,@,Arsenal,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,23,87.0,0,1,0,0,1,357,113,9,9,100.0,9,10,90.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,27,7,0,0,34,1,0,1,0,0,1,2,50.0,1,2,1,1,1,2,6,0,0,0,0,0,1,DF,Match Report
210,Abdoulaye Doucouré,0,16,1,0,0,32,4,2024-12-22,31-356,ml MLI,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,16,21,76.2,1,3,1,0,3,196,46,10,13,76.9,5,7,71.4,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,2,8,14,10,1,32,4,2,1,2,1,1,3,33.3,2,2,0,2,0,4,1,0,0,0,0,4,0,MF,Match Report
211,Séamus Coleman,0,4,0,0,0,7,0,2024-12-22,36-072,ie IRL,Everton,,Chelsea,eng Premier League,D 0-0,N,18,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,0,0,0,0,84,38,1,1,100.0,3,3,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,1,2,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
212,James Tarkowski,0,12,0,0,0,24,2,2024-12-22,32-033,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,12,17,70.6,0,1,0,0,0,264,60,4,5,80.0,6,6,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,11,12,1,1,24,2,1,2,0,0,1,2,50.0,1,1,1,0,2,4,1,0,0,0,0,2,1,DF,Match Report
213,Vitaliy Mykolenko,0,20,0,0,0,40,5,2024-12-22,25-207,ua UKR,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,24,83.3,0,5,0,0,2,326,201,7,7,100.0,9,10,90.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,18,17,6,0,40,5,1,2,3,0,3,6,50.0,3,2,1,1,3,8,6,0,0,0,0,1,1,DF,Match Report
214,Jesper Lindstrøm,0,4,0,0,0,12,2,2024-12-22,24-297,dk DEN,Everton,,Chelsea,eng Premier League,D 0-0,N,18,0,0,0,0,0,0,0,0,,,0,,,0,4,8,50.0,0,0,0,0,0,60,4,3,4,75.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,1,8,1,12,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,2,0,0,0,0,0,0,FW,Match Report
215,Jordan Pickford,0,21,0,0,1,43,0,2024-12-22,30-290,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,41,51.2,0,2,0,0,0,744,584,5,5,100.0,8,8,100.0,8,28,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,34,40,3,0,0,43,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,GK,Match Report
216,Dominic Calvert-Lewin,0,7,0,0,0,20,0,2024-12-22,27-281,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,0,0,0,0,1,64,3,4,5,80.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,10,7,1,20,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,0,0,0,3,0,FW,Match Report
217,Iliman Ndiaye,1,12,3,0,1,33,2,2024-12-22,24-291,sn SEN,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,5.2,0,12,17,70.6,1,0,1,1,0,217,65,4,6,66.7,4,6,66.7,3,4,75.0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,33,5,8,14,12,2,33,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,3,0,1,0,0,2,4,FW,Match Report
218,Idrissa Gana Gueye,0,20,0,0,0,30,2,2024-12-22,35-087,sn SEN,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,26,76.9,0,2,0,0,2,363,102,7,9,77.8,10,10,100.0,2,5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,9,17,4,0,30,2,1,0,2,0,2,5,40.0,3,0,0,0,1,3,0,0,0,0,0,2,1,MF,Match Report
219,Orel Mangala,2,5,0,0,0,20,1,2024-12-22,26-279,be BEL,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,27.7,0,5,9,55.6,0,0,0,0,1,57,9,4,5,80.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,7,6,0,20,1,0,0,0,1,0,0,,0,1,0,1,1,2,1,0,0,0,0,1,1,MF,Match Report
220,Jack Harrison,1,12,0,0,0,25,3,2024-12-22,28-032,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,72,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,7.4,0,12,15,80.0,0,2,0,0,0,207,96,7,7,100.0,3,4,75.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,13,7,5,1,25,3,3,3,0,0,3,4,75.0,1,0,0,0,0,3,3,0,0,0,0,1,0,FW,Match Report
221,Ashley Young,1,11,0,0,1,23,4,2024-12-22,39-166,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,72,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,30.9,1,11,13,84.6,0,2,0,0,1,236,116,3,3,100.0,6,7,85.7,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,12,3,0,23,4,2,2,2,0,1,5,20.0,4,0,0,0,2,6,3,0,1,0,0,3,2,DF,Match Report
222,Jarrad Branthwaite,0,18,1,0,0,29,4,2024-12-22,22-178,eng ENG,Everton,,Chelsea,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,23,78.3,0,1,0,0,0,331,126,9,10,90.0,8,8,100.0,1,5,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,3,20,8,1,0,29,4,0,4,0,0,2,2,100.0,0,1,1,0,0,4,2,0,0,0,0,0,1,DF,Match Report
223,Beto,0,1,0,0,1,6,1,2024-12-22,26-326,gw GNB,Everton,,Chelsea,eng Premier League,D 0-0,N,18,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,31,0,0,0,,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,3,0,6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,1,0,0,1,0,FW,Match Report
224,Abdoulaye Doucouré,1,24,2,0,0,34,2,2024-12-26,31-360,ml MLI,Everton,@,Manchester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.7,0,24,26,92.3,0,2,0,0,3,386,81,12,12,100.0,12,14,85.7,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34,1,8,19,9,1,34,2,2,1,1,0,0,2,0.0,2,0,0,0,0,2,0,0,0,0,0,2,0,MF,Match Report
225,Séamus Coleman,0,21,1,1,1,41,1,2024-12-26,36-076,ie IRL,Everton,@,Manchester City,eng Premier League,D 1-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,21,30,70.0,0,3,0,0,2,427,219,9,9,100.0,8,10,80.0,4,9,44.4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,41,7,23,12,7,0,41,1,1,1,0,0,1,1,100.0,0,3,2,1,1,2,5,0,1,0,0,0,1,DF,Match Report
226,James Tarkowski,0,28,1,1,0,48,3,2024-12-26,32-037,eng ENG,Everton,@,Manchester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,31,90.3,0,0,0,0,0,490,112,12,12,100.0,15,15,100.0,1,4,25.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,48,21,35,10,3,0,48,3,3,2,1,0,1,1,100.0,0,3,3,0,2,5,10,0,0,0,0,1,1,DF,Match Report
227,Nathan Patterson,0,1,0,0,0,4,0,2024-12-26,23-071,sct SCO,Everton,@,Manchester City,eng Premier League,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,15,0,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,DF,Match Report
228,Vitaliy Mykolenko,0,26,0,0,1,42,2,2024-12-26,25-211,ua UKR,Everton,@,Manchester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,31,83.9,0,4,0,0,6,424,171,14,14,100.0,11,13,84.6,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,19,20,3,0,42,2,2,1,1,0,2,5,40.0,3,2,2,0,1,3,5,0,1,0,0,2,0,DF,Match Report
229,Jesper Lindstrøm,0,4,1,0,0,8,0,2024-12-26,24-301,dk DEN,Everton,@,Manchester City,eng Premier League,D 1-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,1,1,0,64,35,3,3,100.0,0,0,,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,4,2,8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,FW,Match Report
230,Jordan Pickford,0,41,0,0,0,63,0,2024-12-26,30-294,eng ENG,Everton,@,Manchester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,41,59,69.5,0,2,0,0,0,1149,882,11,11,100.0,15,15,100.0,15,33,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,44,61,2,0,0,63,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
