Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Abdoulaye Doucouré,1,12,1,0,0,21,1,2024-08-17,31-229,ml MLI,Everton,,Brighton,eng Premier League,L 0-3,Y,62,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.4,0,12,19,63.2,0,0,0,0,0,160,7,5,7,71.4,5,10,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,12,7,1,21,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
2,James Tarkowski,1,45,1,0,1,68,2,2024-08-17,31-272,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.6,0,45,54,83.3,1,4,1,0,3,1029,326,12,14,85.7,25,25,100.0,8,14,57.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,8,34,32,3,1,68,2,1,0,1,1,2,5,40.0,3,3,1,2,4,6,2,0,1,0,0,2,0,DF,Match Report
3,Vitaliy Mykolenko,0,33,1,0,0,52,0,2024-08-17,25-080,ua UKR,Everton,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,42,78.6,0,2,0,0,2,476,108,14,15,93.3,15,19,78.9,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,2,17,25,11,1,52,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,0,0,0,0,2,DF,Match Report
4,Jordan Pickford,0,33,0,0,0,51,0,2024-08-17,30-163,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,47,70.2,0,6,2,0,0,1366,1178,3,3,100.0,10,10,100.0,20,34,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,48,3,0,0,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
5,Dominic Calvert-Lewin,0,12,1,0,0,19,0,2024-08-17,27-154,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,12,14,85.7,0,2,1,0,4,206,37,8,9,88.9,2,3,66.7,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,10,3,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
6,Iliman Ndiaye,0,3,0,0,0,9,3,2024-08-17,24-164,sn SEN,Everton,,Brighton,eng Premier League,L 0-3,N,28,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,50,0,1,1,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,4,2,1,9,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,0,0,0,0,0,1,0,FW,Match Report
7,Idrissa Gana Gueye,1,29,1,0,0,45,2,2024-08-17,34-326,sn SEN,Everton,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.0,0,29,35,82.9,0,3,0,0,4,529,105,10,12,83.3,17,17,100.0,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,1,6,31,8,1,45,2,1,0,2,0,0,0,,0,3,0,3,0,2,0,0,0,0,0,1,1,MF,Match Report
8,Tim Iroegbunam,2,17,3,0,0,47,9,2024-08-17,21-048,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,18.7,0,17,29,58.6,0,3,0,0,3,316,107,6,9,66.7,5,10,50.0,3,5,60.0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,47,3,9,24,15,3,47,9,5,4,1,4,2,2,100.0,0,1,0,1,4,13,1,1,0,0,0,2,1,MF,Match Report
9,Jack Harrison,3,17,2,0,0,36,0,2024-08-17,27-271,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,84,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,15.9,0,17,26,65.4,1,2,0,0,2,215,57,14,16,87.5,3,5,60.0,0,2,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,36,1,4,10,22,6,36,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,FW,Match Report
10,Ashley Young,0,26,2,0,0,46,4,2024-08-17,39-039,eng ENG,Everton,,Brighton,eng Premier League,L 0-3,Y,65,0,0,0,0,0,0,0,0,,,0,,,0,26,38,68.4,1,4,2,1,7,538,200,12,15,80.0,10,12,83.3,4,7,57.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,46,1,9,25,12,0,46,4,1,2,2,0,3,4,75.0,1,1,0,1,2,6,0,0,0,1,0,1,2,DF,Match Report
