Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Callum Hudson-Odoi,2,33,5,0,0,45,0,2024-08-17,23-284,eng ENG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,71,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,20.1,0,33,39,84.6,3,0,0,0,1,442,82,21,24,87.5,9,12,75.0,2,2,100.0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,45,0,2,10,33,3,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,"FW,MF",Match Report
2,Murillo,0,36,0,0,0,50,1,2024-08-17,22-044,br BRA,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,39,92.3,0,1,0,0,1,627,143,14,15,93.3,18,20,90.0,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,32,16,2,0,50,1,1,1,0,0,0,1,0.0,1,2,2,0,0,1,6,0,0,0,0,2,0,DF,Match Report
3,Nicolás Domínguez,0,24,2,0,0,32,2,2024-08-17,26-050,ar ARG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,N,37,0,0,0,0,0,0,0,0,,,0,,,0,24,29,82.8,0,5,1,0,3,327,78,16,21,76.2,8,8,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,15,15,2,32,2,1,0,1,1,1,3,33.3,2,0,0,0,0,2,0,0,0,0,0,0,0,"MF,FW",Match Report
4,Ola Aina,1,22,1,0,0,42,2,2024-08-17,27-314,ng NGA,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,53,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.8,0,22,33,66.7,0,1,0,0,4,262,96,15,18,83.3,6,13,46.2,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,2,11,22,10,0,42,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,2,0,0,0,0,2,0,DF,Match Report
5,Anthony Elanga,1,26,5,0,0,38,0,2024-08-17,22-112,se SWE,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,53,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,29.7,0,26,31,83.9,2,0,2,0,3,301,92,17,17,100.0,5,8,62.5,0,1,0.0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,38,0,7,19,13,1,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,"FW,MF",Match Report
6,Morgan Gibbs-White,2,46,6,0,0,75,1,2024-08-17,24-203,eng ENG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.5,0,46,63,73.0,3,6,2,0,6,617,155,28,33,84.8,14,18,77.8,2,5,40.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,75,0,5,37,34,4,75,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,3,1,MF,Match Report
7,Chris Wood,1,16,0,0,0,32,0,2024-08-17,32-254,nz NZL,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,71,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,7.8,0,16,26,61.5,0,0,0,0,1,210,68,9,13,69.2,4,5,80.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,19,11,3,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
8,Matz Sels,0,36,0,0,0,50,1,2024-08-17,32-173,be BEL,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,48,75.0,0,3,0,0,0,1176,938,9,9,100.0,12,12,100.0,15,26,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,38,50,0,0,0,50,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK,Match Report
9,Harry Toffolo,1,22,0,0,0,36,2,2024-08-17,28-364,eng ENG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,N,37,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.5,0,22,30,73.3,0,1,0,0,1,299,163,16,18,88.9,6,8,75.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,6,10,20,2,36,2,0,1,0,1,0,0,,0,0,0,0,0,2,3,0,0,0,0,0,0,DF,Match Report
10,Willy Boly,1,42,0,0,0,70,4,2024-08-17,33-196,ci CIV,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.2,0,42,53,79.2,0,2,0,0,2,830,368,13,14,92.9,25,27,92.6,4,12,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16,44,24,2,1,70,4,0,3,1,0,3,3,100.0,0,3,1,2,1,5,8,0,0,0,0,1,0,DF,Match Report
11,Danilo,0,3,0,0,0,6,0,2024-08-17,23-110,br BRA,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,14,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,85,6,0,0,,2,2,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"MF,FW",Match Report
12,Ibrahim Sangaré,0,38,0,0,0,64,5,2024-08-17,26-259,ci CIV,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,54,70.4,0,1,0,0,5,502,189,25,30,83.3,12,17,70.6,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,14,44,7,2,64,5,3,1,4,0,2,2,100.0,0,2,0,2,1,6,0,0,0,0,0,0,0,MF,Match Report
13,Ryan Yates,3,35,4,1,0,53,1,2024-08-17,26-270,eng ENG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,N,76,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,19.5,0,35,37,94.6,1,4,2,0,7,493,121,20,20,100.0,12,13,92.3,1,2,50.0,4,2,0,0,2,0,0,1,0,0,0,1,0,0,53,1,4,27,25,2,53,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,3,4,MF,Match Report
14,Neco Williams,1,31,2,0,1,55,5,2024-08-17,23-126,wls WAL,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.1,0,31,40,77.5,2,0,4,2,2,485,190,16,17,94.1,12,15,80.0,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,55,3,19,23,16,2,55,5,3,3,2,0,2,4,50.0,2,2,0,2,2,7,3,0,1,0,0,2,0,DF,Match Report
15,Elliot Anderson,0,6,0,0,0,21,0,2024-08-17,21-285,eng ENG,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,N,19,0,0,0,0,0,0,0,0,,,0,,,0,6,13,46.2,0,0,0,0,0,55,17,4,7,57.1,1,4,25.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,6,12,4,21,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,0,0,0,0,0,MF,Match Report
16,Taiwo Awoniyi,1,4,1,0,0,8,0,2024-08-17,27-005,ng NGA,Nott'ham Forest,,Bournemouth,eng Premier League,D 1-1,N,19,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.0,0,4,5,80.0,0,0,0,0,1,49,0,3,3,100.0,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,6,2,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
17,Callum Hudson-Odoi,1,32,6,0,0,42,2,2024-08-24,23-291,eng ENG,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,89,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,19.0,0,32,38,84.2,4,1,4,1,7,580,125,16,19,84.2,12,12,100.0,4,5,80.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,14,27,3,42,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,"FW,MF",Match Report
18,Murillo,0,28,2,0,0,41,2,2024-08-24,22-051,br BRA,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,33,84.8,1,1,0,0,1,476,205,12,12,100.0,13,14,92.9,2,5,40.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,41,4,17,21,3,2,41,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,2,0,0,0,0,2,0,DF,Match Report
19,Nicolás Domínguez,1,5,1,0,1,14,3,2024-08-24,26-057,ar ARG,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,N,16,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.4,0,5,6,83.3,1,0,0,0,0,76,57,3,3,100.0,1,1,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,8,1,0,14,3,1,1,2,0,1,3,33.3,2,0,0,0,0,3,1,0,1,0,0,2,0,"MF,FW",Match Report
20,Ola Aina,0,52,5,0,0,68,0,2024-08-24,27-321,ng NGA,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,52,59,88.1,1,5,0,0,5,820,342,26,28,92.9,21,24,87.5,2,3,66.7,5,4,0,1,0,0,0,0,0,0,0,0,0,0,68,4,21,34,15,1,68,0,0,0,0,0,0,0,,0,2,1,1,3,3,3,0,0,0,0,0,3,DF,Match Report
21,Anthony Elanga,2,19,4,0,0,44,2,2024-08-24,22-119,se SWE,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.4,0,19,28,67.9,3,1,1,0,2,298,128,11,12,91.7,3,7,42.9,3,7,42.9,4,2,2,0,0,0,0,0,0,0,0,0,0,0,44,1,4,13,30,6,44,2,1,0,1,1,1,2,50.0,1,0,0,0,1,3,1,0,0,0,0,0,1,"FW,MF",Match Report
22,Morgan Gibbs-White,4,26,5,1,0,48,3,2024-08-24,24-210,eng ENG,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,89,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,15.5,0,26,34,76.5,3,6,0,0,6,488,115,14,18,77.8,9,10,90.0,3,4,75.0,5,3,0,1,1,0,0,1,0,0,0,1,0,0,48,0,2,26,20,6,48,3,0,0,3,0,0,0,,0,0,0,0,1,4,0,0,0,0,0,3,2,MF,Match Report
23,Jota Silva,0,1,0,0,0,2,0,2024-08-24,25-023,pt POR,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,44,25,0,0,,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
24,Chris Wood,3,7,2,0,1,18,0,2024-08-24,32-261,nz NZL,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,75,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,12.9,0,7,12,58.3,1,0,1,1,0,111,20,4,6,66.7,2,4,50.0,1,1,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,7,10,4,18,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,1,1,FW,Match Report
25,Matz Sels,0,6,0,0,0,18,0,2024-08-24,32-180,be BEL,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,6,18,33.3,0,1,0,0,0,242,209,1,1,100.0,1,1,100.0,4,16,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,17,1,0,0,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
26,Willy Boly,0,1,0,0,0,1,0,2024-08-24,33-203,ci CIV,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,3,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
27,Ibrahim Sangaré,1,27,2,0,1,44,3,2024-08-24,26-266,ci CIV,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,65,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,32.0,0,27,35,77.1,0,4,1,0,1,455,134,14,17,82.4,9,11,81.8,4,6,66.7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,44,2,10,26,8,2,44,3,2,2,1,0,1,2,50.0,1,1,0,1,0,3,1,0,1,0,0,2,1,MF,Match Report
28,Nikola Milenković,3,28,2,0,0,41,0,2024-08-24,26-317,rs SRB,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,5.0,0,28,29,96.6,1,1,0,0,2,507,153,9,9,100.0,18,19,94.7,1,1,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,41,6,17,20,5,3,41,0,0,0,0,0,0,0,,0,1,0,1,2,2,6,0,0,0,0,0,0,DF,Match Report
29,Ryan Yates,1,15,2,0,0,21,2,2024-08-24,26-277,eng ENG,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,N,25,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.6,0,15,17,88.2,1,0,0,0,0,175,42,8,8,100.0,3,3,100.0,2,3,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,8,10,3,0,21,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,1,2,MF,Match Report
30,Neco Williams,5,23,4,0,0,44,2,2024-08-24,23-133,wls WAL,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,5,0.0,0.0,1,20.0,20.7,0,23,30,76.7,0,3,0,0,1,418,123,13,15,86.7,6,7,85.7,4,6,66.7,4,3,0,0,1,0,0,0,0,0,0,0,0,0,44,7,14,16,14,2,44,2,2,2,0,0,1,2,50.0,1,2,1,1,2,4,4,0,0,0,0,0,1,DF,Match Report
31,Elliot Anderson,2,33,2,0,0,50,4,2024-08-24,21-292,eng ENG,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,Y,74,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.6,0,33,39,84.6,1,1,0,0,4,486,190,24,24,100.0,7,10,70.0,2,4,50.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,50,2,11,24,17,3,50,4,3,3,0,1,3,4,75.0,1,2,1,1,1,5,1,0,0,0,0,3,2,MF,Match Report
32,Taiwo Awoniyi,0,3,0,0,0,7,1,2024-08-24,27-012,ng NGA,Nott'ham Forest,@,Southampton,eng Premier League,W 1-0,N,15,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,50,10,2,2,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,4,3,1,7,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,1,FW,Match Report
33,Callum Hudson-Odoi,3,16,5,1,0,28,1,2024-08-31,23-298,eng ENG,Nott'ham Forest,,Wolves,eng Premier League,D 1-1,Y,79,0,0,0,0,0,0,0,3,0.0,,0,0.0,16.9,0,16,21,76.2,0,0,1,0,3,262,45,7,8,87.5,8,10,80.0,1,2,50.0,5,3,0,0,0,2,0,1,0,0,0,0,1,0,28,0,2,7,19,3,28,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0,0,0,0,0,3,"FW,MF",Match Report
