Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Emile Smith Rowe,0,20,0,0,0,35,1,2024-08-16,24-019,eng ENG,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,20,27,74.1,0,3,0,0,1,268,37,12,17,70.6,8,9,88.9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,11,18,7,0,35,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,0,0,0,0,1,MF,Match Report
2,Bernd Leno,0,30,0,0,0,45,0,2024-08-16,32-165,de GER,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,42,71.4,0,0,0,0,0,662,348,4,4,100.0,20,21,95.2,5,16,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,45,0,0,0,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
3,Antonee Robinson,0,32,0,0,0,59,8,2024-08-16,27-008,us USA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,42,76.2,0,2,0,0,2,550,212,15,18,83.3,14,17,82.4,2,5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,28,24,11,1,59,8,6,4,4,0,4,5,80.0,1,0,0,0,2,10,6,0,0,0,0,0,0,DF,Match Report
4,Andreas Pereira,0,37,9,0,1,59,0,2024-08-16,28-228,br BRA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,37,55,67.3,6,3,0,0,5,593,275,17,21,81.0,12,17,70.6,5,13,38.5,9,4,5,0,0,0,0,0,0,0,0,0,0,0,59,0,8,24,29,1,59,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,1,0,0,2,3,MF,Match Report
5,Alex Iwobi,1,19,0,0,0,42,4,2024-08-16,28-105,ng NGA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.1,0,19,29,65.5,0,1,3,1,2,249,64,13,13,100.0,5,12,41.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,5,22,15,4,42,4,3,1,2,1,1,1,100.0,0,0,0,0,0,4,1,0,0,0,0,1,0,"FW,MF",Match Report
6,Kenny Tete,2,24,2,0,0,44,1,2024-08-16,28-312,nl NED,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,18.6,0,24,32,75.0,0,0,0,0,2,396,155,13,14,92.9,8,12,66.7,3,5,60.0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,44,4,19,16,9,1,44,1,0,1,0,0,1,3,33.3,2,2,0,2,3,4,1,0,0,0,0,0,1,DF,Match Report
7,Harrison Reed,0,1,0,0,0,3,1,2024-08-16,29-202,eng ENG,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,32,28,0,0,,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
8,Adama Traoré,3,14,4,0,0,36,1,2024-08-16,28-204,es ESP,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,77,0,0,0,0,0,0,0,3,0.0,,0,0.0,22.3,0,14,21,66.7,0,1,0,0,0,155,26,5,9,55.6,3,5,60.0,1,1,100.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,6,13,20,4,36,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,3,2,"FW,MF",Match Report
9,Calvin Bassey,2,57,1,0,1,72,1,2024-08-16,24-229,ng NGA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,14.8,0,57,62,91.9,0,4,0,0,5,1038,421,19,19,100.0,31,32,96.9,3,6,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,72,11,48,22,3,2,72,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,3,1,1,0,0,2,0,DF,Match Report
10,Issa Diop,0,28,0,0,0,45,4,2024-08-16,27-220,fr FRA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,35,80.0,0,2,0,0,2,661,323,4,5,80.0,19,22,86.4,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,28,17,0,0,45,4,3,2,2,0,3,3,100.0,0,1,1,0,0,4,5,0,0,0,0,0,0,DF,Match Report
11,Rodrigo Muniz,2,5,2,0,0,17,0,2024-08-16,23-104,br BRA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,77,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,14.2,0,5,6,83.3,2,0,0,0,1,79,13,2,3,66.7,2,2,100.0,1,1,100.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1,2,9,6,4,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,1,FW,Match Report
12,Tom Cairney,0,15,1,0,1,18,0,2024-08-16,33-209,sct SCO,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,27,0,0,0,0,0,0,0,0,,,0,,,0,15,17,88.2,1,1,1,0,4,247,69,4,5,80.0,10,10,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,8,7,2,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,1,MF,Match Report
13,Jay Stansfield,0,0,0,0,0,0,0,2024-08-16,21-266,eng ENG,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
14,Raúl Jiménez,0,2,0,0,0,5,0,2024-08-16,33-103,mx MEX,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,60,1,0,1,0.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
