Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Cameron Burgess,3,40,0,0,0,66,1,2024-11-30,29-040,au AUS,Ipswich Town,@,Nott'ham Forest,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,8.9,0,40,56,71.4,0,2,0,0,2,710,336,17,20,85.0,20,26,76.9,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12,42,18,6,4,66,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,0,0,0,0,0,0,DF,Match Report
202,Liam Delap,1,5,3,0,0,16,0,2024-11-30,21-296,eng ENG,Ipswich Town,@,Nott'ham Forest,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.7,0,5,8,62.5,1,0,0,0,1,65,6,1,4,25.0,2,2,100.0,0,0,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,16,1,2,5,9,2,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
203,Jack Clarke,1,8,2,0,0,15,0,2024-11-30,24-007,eng ENG,Ipswich Town,@,Nott'ham Forest,eng Premier League,L 0-1,N,27,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,13.6,0,8,11,72.7,1,1,0,0,2,124,42,4,5,80.0,4,4,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,7,7,1,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,1,1,"FW,MF",Match Report
204,Dara O'Shea,1,74,0,0,1,102,2,2024-12-03,25-274,ie IRL,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,35.8,0,74,86,86.0,0,3,0,0,1,1415,512,23,26,88.5,37,39,94.9,11,15,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,16,56,40,6,1,102,2,1,0,2,0,0,0,,0,2,2,0,2,4,5,0,1,0,0,1,1,DF,Match Report
205,Jacob Greaves,1,65,0,0,1,93,3,2024-12-03,24-082,eng ENG,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.8,0,65,80,81.3,0,4,0,0,3,1215,473,25,30,83.3,33,38,86.8,6,8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,14,52,36,5,3,93,3,1,1,1,1,0,1,0.0,1,1,1,0,1,4,7,0,1,0,0,1,1,DF,Match Report
206,Nathan Broadhead,0,7,0,0,0,13,1,2024-12-03,26-242,wls WAL,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,N,25,0,0,0,0,0,0,0,0,,,0,,,0,7,8,87.5,0,0,0,0,0,94,12,5,5,100.0,2,2,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,8,3,1,13,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
207,Jack Taylor,0,17,2,0,0,21,0,2024-12-03,26-163,ie IRL,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,N,25,0,0,0,0,0,0,0,0,,,0,,,0,17,19,89.5,0,1,0,0,1,284,45,7,8,87.5,7,8,87.5,2,2,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,1,5,13,3,0,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,MF,Match Report
208,Conor Chaplin,0,8,1,0,0,9,0,2024-12-03,27-291,eng ENG,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,N,25,0,0,0,0,0,0,0,0,,,0,,,0,8,9,88.9,1,1,1,0,2,131,19,3,3,100.0,5,5,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,6,2,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
209,Ali Al Hamadi,0,2,1,0,0,2,0,2024-12-03,22-277,iq IRQ,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,1,32,1,1,1,100.0,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
210,Leif Davis,0,39,5,0,0,60,0,2024-12-03,24-326,eng ENG,Ipswich Town,,Crystal Palace,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,39,53,73.6,3,2,2,2,2,668,275,20,23,87.0,14,21,66.7,4,7,57.1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,60,3,21,17,23,0,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,1,DF,Match Report
