Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jacob Greaves,2,25,0,0,0,45,0,2024-08-17,23-340,eng ENG,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.9,0,25,30,83.3,0,1,0,0,2,481,204,8,10,80.0,15,17,88.2,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,23,15,7,2,45,0,0,0,0,0,0,0,,0,2,1,1,2,2,8,0,0,0,0,0,3,DF,Match Report
2,Axel Tuanzebe,1,23,0,0,0,39,3,2024-08-17,26-277,cd COD,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,73,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.3,0,23,27,85.2,0,2,0,0,1,346,158,15,15,100.0,7,11,63.6,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,24,14,1,1,39,3,2,3,0,0,1,3,33.3,2,1,0,1,1,4,1,0,0,0,0,0,1,DF,Match Report
3,Sammie Szmodics,0,4,1,0,0,8,0,2024-08-17,28-328,ie IRL,Ipswich Town,,Liverpool,eng Premier League,L 0-2,N,17,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,1,1,1,0,2,78,37,2,2,100.0,0,0,,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,3,3,0,8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,1,"FW,MF",Match Report
4,Jack Taylor,1,15,0,0,0,23,0,2024-08-17,26-055,ie IRL,Ipswich Town,,Liverpool,eng Premier League,L 0-2,N,26,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.8,0,15,19,78.9,0,2,0,0,3,293,82,4,4,100.0,10,12,83.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,11,7,5,0,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,0,MF,Match Report
5,Conor Chaplin,0,16,1,0,0,28,2,2024-08-17,27-183,eng ENG,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,64,0,0,0,0,0,0,0,0,,,0,,,0,16,23,69.6,0,1,1,0,2,263,108,7,9,77.8,5,5,100.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,10,12,6,1,28,2,2,2,0,0,1,1,100.0,0,2,0,2,0,2,0,0,0,0,0,0,2,"MF,FW",Match Report
6,Ali Al Hamadi,0,1,0,0,0,3,0,2024-08-17,22-169,iq IRQ,Ipswich Town,,Liverpool,eng Premier League,L 0-2,N,17,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,13,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
7,Leif Davis,0,29,3,0,0,50,4,2024-08-17,24-218,eng ENG,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,41,70.7,0,3,0,0,2,454,178,18,20,90.0,10,13,76.9,1,5,20.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,50,7,15,19,17,0,50,4,2,4,0,0,2,3,66.7,1,0,0,0,0,4,4,0,0,0,0,2,1,DF,Match Report
8,Marcus Harness,0,9,2,0,0,16,0,2024-08-17,28-175,eng ENG,Ipswich Town,,Liverpool,eng Premier League,L 0-2,N,26,0,0,0,0,0,0,0,0,,,0,,,0,9,14,64.3,0,0,2,0,2,81,23,8,9,88.9,0,1,0.0,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,2,9,2,16,0,0,0,0,0,0,3,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,MF,Match Report
9,Ben Johnson,0,9,0,0,0,19,4,2024-08-17,24-206,eng ENG,Ipswich Town,,Liverpool,eng Premier League,L 0-2,N,34,0,0,0,0,0,0,0,0,,,0,,,0,9,12,75.0,0,0,0,0,0,124,73,5,7,71.4,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,14,3,3,0,19,4,2,4,0,0,2,3,66.7,1,0,0,0,1,5,1,0,0,0,0,0,0,"DF,FW",Match Report
10,Massimo Luongo,0,16,0,0,0,26,2,2024-08-17,31-327,au AUS,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,64,0,0,0,0,0,0,0,0,,,0,,,0,16,19,84.2,0,1,0,0,3,260,75,6,7,85.7,6,7,85.7,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,11,9,6,0,26,2,1,2,0,0,2,2,100.0,0,2,1,1,0,2,1,0,0,0,0,1,1,MF,Match Report
11,Sam Morsy,0,37,1,0,0,55,5,2024-08-17,32-342,eg EGY,Ipswich Town,,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,47,78.7,1,4,0,0,1,602,198,18,20,90.0,15,17,88.2,3,5,60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,3,20,26,9,1,55,5,1,2,2,1,3,4,75.0,1,0,0,0,0,5,1,0,0,0,0,0,2,MF,Match Report
