Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Victor Bernth Kristiansen,0,32,3,2,0,51,5,2024-12-03,21-353,dk DEN,Leicester City,,West Ham,eng Premier League,W 3-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,32,39,82.1,2,2,0,0,2,578,238,16,16,100.0,10,14,71.4,6,8,75.0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,51,8,30,17,6,0,51,5,2,4,1,0,4,8,50.0,4,3,3,0,1,6,4,0,0,0,0,2,0,DF,Match Report
202,Wilfred Ndidi,1,30,0,0,0,58,8,2024-12-03,27-353,ng NGA,Leicester City,,West Ham,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,5.6,0,30,35,85.7,0,1,0,0,1,462,119,12,16,75.0,14,15,93.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,29,25,5,1,58,8,6,3,5,0,4,6,66.7,2,2,0,2,3,11,11,0,0,0,0,1,0,MF,Match Report
203,Wout Faes,0,10,0,0,0,16,0,2024-12-03,26-244,be BEL,Leicester City,,West Ham,eng Premier League,W 3-1,N,31,0,0,0,0,0,0,0,0,,,0,,,0,10,12,83.3,0,0,0,0,0,119,50,7,7,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,12,3,1,0,16,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,0,0,0,0,0,DF,Match Report
204,Boubakary Soumaré,0,32,0,0,1,47,4,2024-12-03,25-280,fr FRA,Leicester City,,West Ham,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,36,88.9,0,3,0,0,3,500,124,16,18,88.9,15,16,93.8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,14,31,2,0,47,4,2,2,2,0,2,3,66.7,1,2,1,1,0,4,2,0,1,0,0,1,0,MF,Match Report
205,Kasey McAteer,2,14,2,1,0,32,5,2024-12-03,23-011,ie IRL,Leicester City,,West Ham,eng Premier League,W 3-1,Y,73,0,1,1,0,0,0,0,2,0.0,0.0,1,50.0,14.6,0,14,21,66.7,1,2,0,0,2,238,65,9,11,81.8,3,4,75.0,2,4,50.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,32,4,10,14,11,4,32,5,4,2,2,1,3,6,50.0,3,2,1,1,0,5,2,0,0,0,0,0,2,FW,Match Report
206,Mads Hermansen,0,21,0,0,0,53,0,2024-12-03,24-145,dk DEN,Leicester City,,West Ham,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,45,46.7,0,0,0,0,0,631,484,0,1,0.0,12,12,100.0,9,32,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,51,2,0,0,53,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,1,GK,Match Report
207,Patson Daka,1,1,1,1,0,10,2,2024-12-03,26-055,zm ZAM,Leicester City,,West Ham,eng Premier League,W 3-1,N,31,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,13.3,0,1,4,25.0,0,0,0,0,0,27,0,0,1,0.0,1,1,100.0,0,0,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,10,0,0,6,5,4,10,2,1,0,2,0,2,3,66.7,1,0,0,0,0,2,0,0,0,0,0,0,2,"FW,MF",Match Report
208,Jordan Ayew,0,3,0,0,0,8,0,2024-12-03,33-083,gh GHA,Leicester City,,West Ham,eng Premier League,W 3-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,34,6,3,4,75.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
209,Bilal El Khannouss,1,23,4,1,0,42,2,2024-12-03,20-207,ma MAR,Leicester City,,West Ham,eng Premier League,W 3-1,Y,73,1,1,2,1,0,0,0,1,1.0,1.0,1,100.0,16.0,0,23,31,74.2,3,6,1,1,4,473,199,7,8,87.5,9,11,81.8,6,8,75.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,42,0,7,26,10,1,42,2,1,2,0,0,1,3,33.3,2,2,0,2,3,5,1,0,0,0,0,2,0,"MF,FW",Match Report
210,James Justin,0,29,1,0,0,57,1,2024-12-03,26-284,eng ENG,Leicester City,,West Ham,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,41,70.7,0,4,0,0,3,428,224,17,17,100.0,9,14,64.3,2,6,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,9,28,19,10,1,57,1,0,0,1,0,0,0,,0,3,2,1,1,2,6,0,0,0,0,1,0,DF,Match Report
