Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Diogo Jota,3,9,1,0,0,27,1,2024-08-17,27-257,pt POR,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,78,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,9.8,0,9,15,60.0,0,2,1,0,2,185,48,5,9,55.6,2,2,100.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,9,18,10,27,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,0,0,0,0,1,FW,Match Report
2,Cody Gakpo,0,7,0,0,1,11,0,2024-08-17,25-102,nl NED,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,N,12,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,0,0,0,0,0,67,5,6,7,85.7,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,6,4,3,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,0,FW,Match Report
3,Andrew Robertson,0,61,2,0,0,86,1,2024-08-17,30-159,sct SCO,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,61,79,77.2,1,2,1,0,3,970,265,27,29,93.1,33,36,91.7,1,12,8.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,86,6,42,18,26,2,86,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0,0,0,0,1,0,DF,Match Report
4,Jarell Quansah,0,25,0,0,0,35,2,2024-08-17,21-201,eng ENG,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,25,28,89.3,0,0,0,0,0,457,168,8,9,88.9,15,16,93.8,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,27,7,1,0,35,2,2,1,1,0,0,0,,0,1,1,0,1,3,3,0,0,0,0,2,0,DF,Match Report
5,Luis Díaz,3,31,7,0,0,44,1,2024-08-17,27-217,co COL,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,12.3,0,31,36,86.1,3,2,2,0,2,441,99,18,19,94.7,6,9,66.7,4,4,100.0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,44,1,4,12,29,9,44,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,0,0,0,3,0,FW,Match Report
6,Ibrahima Konaté,0,28,0,0,0,35,0,2024-08-17,25-084,fr FRA,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,N,45,0,0,0,0,0,0,0,0,,,0,,,0,28,30,93.3,0,1,0,0,0,461,150,11,11,100.0,17,17,100.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,21,14,0,0,35,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,0,0,0,0,0,DF,Match Report
7,Alisson,0,44,1,0,0,51,0,2024-08-17,31-320,br BRA,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,51,86.3,0,1,0,0,0,883,452,16,16,100.0,21,21,100.0,7,14,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,34,49,2,0,0,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
8,Alexis Mac Allister,2,42,3,0,0,66,0,2024-08-17,25-237,ar ARG,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,23.0,0,42,50,84.0,0,5,1,0,7,741,254,18,20,90.0,18,20,90.0,4,4,100.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,66,1,12,31,24,2,66,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,0,0,0,1,2,MF,Match Report
9,Dominik Szoboszlai,3,44,4,0,0,59,1,2024-08-17,23-297,hu HUN,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,20.8,0,44,50,88.0,3,3,2,0,6,698,120,26,28,92.9,15,17,88.2,3,4,75.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,59,1,9,28,23,4,59,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,0,0,0,2,1,MF,Match Report
10,Ryan Gravenberch,0,51,1,1,0,68,3,2024-08-17,22-093,nl NED,Liverpool,@,Ipswich Town,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,51,59,86.4,0,6,1,0,5,792,263,26,30,86.7,20,21,95.2,3,5,60.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,68,3,23,31,16,0,68,3,1,0,0,3,2,2,100.0,0,3,0,3,0,3,0,0,0,0,0,5,1,MF,Match Report
