Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Joshua Zirkzee,1,8,1,0,0,12,0,2024-08-16,23-086,nl NED,Manchester Utd,,Fulham,eng Premier League,W 1-0,N,30,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,10.7,0,8,9,88.9,0,1,0,0,1,75,26,5,6,83.3,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,7,4,1,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
2,Casemiro,3,44,5,1,0,77,4,2024-08-16,32-175,br BRA,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,18.7,0,44,57,77.2,3,2,3,1,4,702,227,17,21,81.0,21,24,87.5,3,3,100.0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,77,7,20,38,20,3,77,4,2,4,0,0,2,4,50.0,2,5,1,4,1,5,5,0,0,0,0,1,1,MF,Match Report
3,Bruno Fernandes,6,43,2,0,0,70,2,2024-08-16,29-343,pt POR,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,6,0.0,0.0,3,50.0,17.7,0,43,60,71.7,0,4,0,0,6,693,229,21,22,95.5,14,19,73.7,4,9,44.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,70,0,6,28,36,3,70,2,1,0,2,0,1,3,33.3,2,0,0,0,0,2,0,0,0,0,0,0,0,MF,Match Report
4,Alejandro Garnacho,2,10,3,1,0,19,1,2024-08-16,20-046,ar ARG,Manchester Utd,,Fulham,eng Premier League,W 1-0,N,30,0,1,1,0,0,0,0,2,0.0,,0,0.0,19.6,0,10,11,90.9,2,0,1,1,0,132,19,7,7,100.0,3,4,75.0,0,0,,3,3,0,0,0,0,0,1,1,0,0,0,0,0,19,0,2,7,10,3,19,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,0,1,"MF,FW",Match Report
5,Mason Mount,1,11,3,0,1,23,3,2024-08-16,25-219,eng ENG,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,60,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.1,0,11,15,73.3,2,1,0,0,1,106,12,8,10,80.0,1,2,50.0,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,9,13,5,23,3,1,0,3,0,2,2,100.0,0,0,0,0,0,3,0,0,1,0,0,1,1,MF,Match Report
6,Amad Diallo,0,28,1,0,0,36,1,2024-08-16,22-036,ci CIV,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,60,0,0,0,0,0,0,0,0,,,0,,,0,28,33,84.8,1,1,0,0,1,312,66,17,17,100.0,6,7,85.7,1,3,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,1,4,11,22,3,36,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,0,0,0,0,0,"MF,FW",Match Report
7,Marcus Rashford,0,22,1,0,0,43,0,2024-08-16,26-290,eng ENG,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,30,73.3,1,2,1,0,2,240,92,15,17,88.2,2,8,25.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6,11,26,4,43,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,0,0,0,1,1,"FW,MF",Match Report
8,Noussair Mazraoui,0,41,0,0,0,54,2,2024-08-16,26-276,ma MAR,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,41,45,91.1,0,5,0,0,3,505,215,27,31,87.1,14,14,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,14,33,8,0,54,2,2,1,0,1,1,1,100.0,0,1,0,1,3,5,2,0,0,0,0,0,1,DF,Match Report
9,Lisandro Martínez,0,55,3,0,0,70,3,2024-08-16,26-211,ar ARG,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,55,62,88.7,1,5,1,0,9,979,371,19,22,86.4,30,32,93.8,5,7,71.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,70,8,26,42,3,0,70,3,2,2,0,1,1,3,33.3,2,0,0,0,3,6,2,0,0,0,0,1,0,DF,Match Report
10,Kobbie Mainoo,1,37,1,0,0,55,3,2024-08-16,19-119,eng ENG,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,83,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.6,0,37,41,90.2,0,3,0,0,5,512,94,21,23,91.3,7,8,87.5,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1,8,29,18,0,55,3,3,1,1,1,3,4,75.0,1,0,0,0,5,8,0,0,0,0,0,3,4,MF,Match Report
11,Matthijs de Ligt,0,2,0,0,0,2,0,2024-08-16,25-004,nl NED,Manchester Utd,,Fulham,eng Premier League,W 1-0,N,10,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,41,20,0,0,,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
12,Harry Maguire,0,50,2,0,1,68,0,2024-08-16,31-164,eng ENG,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,50,60,83.3,0,5,1,0,8,889,299,18,19,94.7,26,32,81.3,4,7,57.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,68,11,28,40,1,0,68,0,0,0,0,0,0,0,,0,1,1,0,3,3,6,0,1,0,0,2,0,DF,Match Report
13,Scott McTominay,0,4,0,0,0,4,0,2024-08-16,27-252,sct SCO,Manchester Utd,,Fulham,eng Premier League,W 1-0,N,7,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,1,0,0,0,73,54,3,3,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
14,Diogo Dalot,0,49,1,0,0,67,2,2024-08-16,25-151,pt POR,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,60,81.7,0,1,0,0,3,760,117,23,27,85.2,15,18,83.3,6,9,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,6,15,30,22,0,67,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,0,0,0,2,1,DF,Match Report
15,André Onana,0,22,1,0,0,32,0,2024-08-16,28-136,cm CMR,Manchester Utd,,Fulham,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,29,75.9,0,0,0,0,0,503,310,5,5,100.0,13,13,100.0,4,11,36.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,27,32,0,0,0,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
16,Jonny Evans,0,4,0,0,0,8,0,2024-08-16,36-226,nir NIR,Manchester Utd,,Fulham,eng Premier League,W 1-0,N,10,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,0,0,0,0,78,30,1,1,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,3,0,0,8,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,0,DF,Match Report
17,Joshua Zirkzee,0,7,1,0,0,17,1,2024-08-24,23-094,nl NED,Manchester Utd,@,Brighton,eng Premier League,L 1-2,N,45,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,1,0,0,0,0,83,22,5,6,83.3,2,3,66.7,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3,6,5,6,2,17,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
18,Casemiro,3,44,2,0,0,67,5,2024-08-24,32-183,br BRA,Manchester Utd,@,Brighton,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,23.0,0,44,54,81.5,0,3,0,0,2,808,260,21,26,80.8,19,21,90.5,4,6,66.7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,67,2,24,32,11,3,67,5,3,1,2,2,3,3,100.0,0,1,0,1,0,5,0,0,0,0,0,0,1,MF,Match Report
19,Bruno Fernandes,1,32,4,0,0,48,1,2024-08-24,29-351,pt POR,Manchester Utd,@,Brighton,eng Premier League,L 1-2,Y,78,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.0,0,32,45,71.1,3,4,2,1,6,569,227,12,13,92.3,17,19,89.5,2,8,25.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,48,2,6,24,18,4,48,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,0,0,0,1,1,MF,Match Report
20,Alejandro Garnacho,1,11,1,0,0,19,0,2024-08-24,20-054,ar ARG,Manchester Utd,@,Brighton,eng Premier League,L 1-2,N,26,0,0,0,0,0,0,0,1,0.0,,0,0.0,2.7,0,11,16,68.8,1,2,0,0,2,174,48,7,9,77.8,3,3,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,9,8,4,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
21,Mason Mount,1,15,0,0,0,21,0,2024-08-24,25-227,eng ENG,Manchester Utd,@,Brighton,eng Premier League,L 1-2,Y,45,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,18.0,0,15,18,83.3,0,1,0,0,2,205,60,9,10,90.0,6,8,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,15,6,1,21,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,MF,Match Report
22,Antony,0,1,1,0,0,3,1,2024-08-24,24-182,br BRA,Manchester Utd,@,Brighton,eng Premier League,L 1-2,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,1,0,0,0,0,13,0,1,2,50.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,3,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,1,0,"DF,MF",Match Report
23,Amad Diallo,2,33,3,0,1,51,2,2024-08-24,22-044,ci CIV,Manchester Utd,@,Brighton,eng Premier League,L 1-2,Y,89,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,12.9,0,33,45,73.3,1,2,2,0,4,536,126,15,19,78.9,14,16,87.5,4,5,80.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,51,0,5,22,25,3,51,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,1,0,0,3,0,"MF,FW",Match Report
