Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Harvey Barnes,0,6,0,0,0,8,0,2025-02-26,27-079,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,N,22,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,0,0,0,0,1,87,18,3,3,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,3,3,0,8,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,FW,Match Report
402,Nick Pope,0,12,0,0,0,22,0,2025-02-26,32-313,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,12,20,60.0,0,0,0,0,0,276,166,4,5,80.0,5,6,83.3,3,9,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,22,0,0,0,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,GK,Match Report
403,William Osula,0,0,0,0,0,4,0,2025-02-26,21-206,dk DEN,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,N,22,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
404,Bruno Guimarães,0,39,0,0,0,49,2,2025-02-26,27-102,br BRA,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,87,0,0,0,0,0,0,0,0,,,0,,,0,39,46,84.8,0,7,1,0,4,710,135,17,19,89.5,17,18,94.4,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,12,24,13,1,49,2,0,2,0,0,1,2,50.0,1,1,1,0,0,2,0,0,0,0,0,2,3,MF,Match Report
405,Sean Longstaff,0,2,0,0,0,5,0,2025-02-26,27-119,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,N,3,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,20,0,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,MF,Match Report
406,Joe Willock,0,12,2,0,0,26,1,2025-02-26,25-190,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,68,0,0,0,0,0,0,0,0,,,0,,,0,12,14,85.7,0,2,0,0,2,188,61,7,9,77.8,4,4,100.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26,1,4,7,15,3,26,1,0,1,0,0,1,1,100.0,0,4,0,4,0,1,0,0,0,0,0,1,0,"MF,FW",Match Report
407,Valentino Livramento,0,27,0,0,0,38,3,2025-02-26,22-106,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,68,0,0,0,0,0,0,0,0,,,0,,,0,27,31,87.1,0,4,0,0,1,365,140,21,23,91.3,5,5,100.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,12,17,10,0,38,3,2,2,0,1,1,3,33.3,2,1,0,1,1,4,1,0,0,0,0,0,1,DF,Match Report
408,Dan Burn,0,31,1,0,0,41,0,2025-02-26,32-293,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,33,93.9,1,0,0,0,0,508,200,17,18,94.4,13,13,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,8,17,21,3,0,41,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,4,0,0,0,0,2,0,DF,Match Report
409,Callum Wilson,2,8,0,0,0,17,0,2025-02-26,32-365,eng ENG,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,68,0,0,0,0,0,0,0,2,0.0,,0,0.0,13.1,0,8,10,80.0,0,0,0,0,1,127,34,3,4,75.0,5,6,83.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,10,7,5,17,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,1,0,FW,Match Report
410,Fabian Schär,0,42,0,0,0,54,2,2025-02-26,33-068,ch SUI,Newcastle Utd,@,Liverpool,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,49,85.7,0,4,0,0,3,845,287,15,16,93.8,23,24,95.8,4,9,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,24,26,4,1,54,2,1,1,1,0,0,0,,0,0,0,0,0,2,2,0,0,0,0,1,0,DF,Match Report
