Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Samuel Edozie,0,20,4,0,1,30,2,2024-08-17,21-202,eng ENG,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,20,23,87.0,1,0,3,0,4,272,61,14,14,100.0,6,6,100.0,0,1,0.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,1,29,7,30,2,0,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0,1,0,0,2,1,"DF,FW",Match Report
2,Cameron Archer,2,2,0,0,0,7,0,2024-08-17,23-027,eng ENG,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,N,21,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,15.3,0,2,4,50.0,0,0,0,0,0,19,0,2,2,100.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,3,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
3,Joe Aribo,1,33,2,0,0,46,2,2024-08-17,28-027,ng NGA,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,69,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.9,0,33,40,82.5,2,2,1,0,4,492,64,19,21,90.5,12,14,85.7,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,46,4,10,14,23,3,46,2,1,0,0,2,1,1,100.0,0,0,0,0,1,3,2,0,0,0,0,0,2,"MF,DF",Match Report
4,Alex McCarthy,0,18,0,0,0,22,0,2024-08-17,34-258,eng ENG,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,22,81.8,0,0,0,0,0,395,257,4,6,66.7,9,9,100.0,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,22,0,0,0,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,GK,Match Report
5,Jan Bednarek,0,77,2,0,0,86,0,2024-08-17,28-127,pl POL,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,77,82,93.9,1,8,0,0,6,1496,619,30,32,93.8,36,39,92.3,11,11,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,86,11,31,50,5,1,86,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,0,1,DF,Match Report
6,Taylor Harwood-Bellis,0,82,1,0,1,100,1,2024-08-17,22-200,eng ENG,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,82,93,88.2,1,10,0,0,3,1306,357,40,44,90.9,35,39,89.7,5,8,62.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,6,33,55,12,3,100,1,1,1,0,0,0,0,,0,1,1,0,0,1,2,0,1,0,0,2,0,DF,Match Report
7,Carlos Alcaraz,1,13,1,0,0,17,0,2024-08-17,21-261,ar ARG,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,N,10,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,9.7,0,13,13,100.0,1,4,1,1,6,221,66,7,7,100.0,4,4,100.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,8,9,2,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,1,0,MF,Match Report
8,Ben Brereton,2,20,1,0,1,32,1,2024-08-17,25-121,cl CHI,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,69,0,0,0,0,0,0,0,2,0.0,,0,0.0,6.9,0,20,26,76.9,1,1,0,0,0,229,29,12,13,92.3,7,11,63.6,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,1,2,13,18,4,32,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,1,0,0,0,1,FW,Match Report
9,Yukinari Sugawara,0,22,1,0,0,40,0,2024-08-17,24-050,jp JPN,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,22,35,62.9,1,0,1,1,1,362,92,12,17,70.6,8,10,80.0,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,2,13,13,14,1,40,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,"DF,MF",Match Report
10,William Smallbone,4,45,6,0,0,75,2,2024-08-17,24-178,ie IRL,Southampton,@,Newcastle Utd,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,4,0.0,,0,0.0,19.3,1,45,63,71.4,0,2,0,0,5,605,85,26,29,89.7,17,22,77.3,0,7,0.0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,75,2,8,24,44,9,75,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,0,0,0,3,0,MF,Match Report
