Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Mathys Tel,1,6,0,0,0,10,0,2025-04-03,19-341,fr FRA,Tottenham,@,Chelsea,eng Premier League,L 0-1,N,3,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.4,0,6,9,66.7,0,1,0,0,1,92,12,2,2,100.0,4,7,57.1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,4,2,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
602,Micky van de Ven,1,52,0,0,0,66,2,2025-04-03,23-349,nl NED,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,87,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.1,0,52,57,91.2,0,4,0,0,3,930,282,20,20,100.0,24,25,96.0,6,10,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,15,39,26,1,1,66,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,4,0,0,0,0,2,1,DF,Match Report
603,Son Heung-min,2,30,3,0,0,45,0,2025-04-03,32-269,kr KOR,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,8.9,0,30,41,73.2,0,3,3,0,4,372,122,20,22,90.9,8,11,72.7,0,3,0.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,45,1,5,14,26,5,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
604,Djed Spence,1,38,1,0,1,58,1,2025-04-03,24-237,eng ENG,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.8,0,38,44,86.4,0,3,0,0,5,591,197,23,24,95.8,11,14,78.6,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58,6,29,20,9,1,58,1,0,1,0,0,0,0,,0,2,1,1,1,2,5,0,1,0,0,2,0,DF,Match Report
605,Lucas Bergvall,1,16,0,0,0,28,1,2025-04-03,19-060,se SWE,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,63,0,0,0,0,0,0,0,1,0.0,,0,0.0,16.3,0,16,19,84.2,0,1,0,0,2,208,44,12,13,92.3,3,3,100.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,10,9,9,1,28,1,1,0,1,0,0,0,,0,0,0,0,3,4,2,0,0,0,0,0,0,MF,Match Report
606,Cristian Romero,0,52,0,0,1,70,2,2025-04-03,26-341,ar ARG,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,52,60,86.7,0,4,0,0,1,1005,451,14,14,100.0,33,35,94.3,4,9,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,11,44,25,1,0,70,2,1,1,1,0,2,2,100.0,0,1,0,1,2,4,5,0,1,0,0,1,1,DF,Match Report
607,Dominic Solanke,0,6,1,0,0,18,1,2025-04-03,27-201,eng ENG,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,6,11,54.5,0,1,0,0,2,97,37,2,3,66.7,2,4,50.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,7,7,1,18,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,2,1,FW,Match Report
608,James Maddison,1,34,2,0,0,39,0,2025-04-03,28-131,eng ENG,Tottenham,@,Chelsea,eng Premier League,L 0-1,Y,87,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.0,1,34,37,91.9,0,1,0,0,5,515,170,20,20,100.0,11,14,78.6,2,2,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39,2,6,24,9,1,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,4,0,MF,Match Report
609,Pape Matar Sarr,1,13,1,0,1,18,1,2025-04-03,22-201,sn SEN,Tottenham,@,Chelsea,eng Premier League,L 0-1,N,27,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.2,0,13,17,76.5,0,0,0,0,1,210,13,6,8,75.0,7,8,87.5,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,3,10,5,2,18,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,1,0,0,1,1,MF,Match Report
610,Brennan Johnson,3,17,1,1,0,33,0,2025-04-06,23-318,wls WAL,Tottenham,,Southampton,eng Premier League,W 3-1,Y,90,2,0,2,2,0,0,0,3,0.67,1.0,2,66.7,10.2,0,17,27,63.0,1,1,1,0,3,206,67,10,11,90.9,7,11,63.6,0,3,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,33,1,8,8,18,4,33,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,2,1,FW,Match Report
611,Pedro Porro,1,49,4,0,1,80,3,2025-04-06,25-205,es ESP,Tottenham,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,29.4,0,49,67,73.1,3,8,2,1,7,960,537,19,21,90.5,23,27,85.2,7,16,43.8,4,2,1,0,0,0,1,0,0,0,0,0,0,0,80,5,34,29,17,0,80,3,2,2,0,1,2,4,50.0,2,3,2,1,1,4,4,0,1,0,0,3,4,DF,Match Report
612,Wilson Odobert,0,12,2,1,0,17,1,2025-04-06,20-129,fr FRA,Tottenham,,Southampton,eng Premier League,W 3-1,N,34,0,0,0,0,0,0,0,0,,,0,,,0,12,12,100.0,0,0,1,0,1,159,21,8,8,100.0,4,4,100.0,0,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,17,0,3,8,6,0,17,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
613,Rodrigo Bentancur,0,25,1,0,0,36,2,2025-04-06,27-285,uy URU,Tottenham,,Southampton,eng Premier League,W 3-1,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,25,28,89.3,0,5,0,0,2,396,112,12,14,85.7,9,10,90.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,5,12,20,4,0,36,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,0,0,0,0,0,MF,Match Report
614,Ben Davies,0,68,0,0,0,77,1,2025-04-06,31-347,wls WAL,Tottenham,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,68,73,93.2,0,1,0,0,4,1287,375,16,18,88.9,45,46,97.8,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,11,42,32,3,1,77,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,0,0,0,1,0,DF,Match Report
615,Yves Bissouma,0,9,1,0,0,12,1,2025-04-06,28-219,ml MLI,Tottenham,,Southampton,eng Premier League,W 3-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,9,11,81.8,1,1,0,0,1,160,43,3,4,75.0,5,5,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,8,0,0,12,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
616,Guglielmo Vicario,0,38,0,0,0,42,0,2025-04-06,28-181,it ITA,Tottenham,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,41,92.7,0,0,0,0,0,761,397,12,12,100.0,20,20,100.0,6,9,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,27,41,1,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
617,Mathys Tel,0,1,0,0,0,3,0,2025-04-06,19-344,fr FRA,Tottenham,,Southampton,eng Premier League,W 3-1,N,4,1,0,1,0,1,1,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,18,0,0,0,,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
