Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Brennan Johnson,2,21,1,0,0,43,6,2024-08-19,23-088,wls WAL,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,77,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.7,0,21,29,72.4,1,1,0,0,1,236,27,14,18,77.8,7,10,70.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,12,27,7,43,6,3,1,4,1,1,2,50.0,1,0,0,0,0,6,0,0,0,0,0,1,1,FW,Match Report
2,Pedro Porro,1,49,5,0,0,65,0,2024-08-19,24-341,es ESP,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,89,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,9.3,0,49,57,86.0,4,2,6,2,6,805,301,25,28,89.3,20,23,87.0,2,4,50.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,65,0,8,16,41,3,65,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,2,1,DF,Match Report
3,Rodrigo Bentancur,3,46,3,0,1,60,3,2024-08-19,27-055,uy URU,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,77,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,15.6,0,46,47,97.9,0,4,0,0,4,768,188,19,19,100.0,25,25,100.0,2,2,100.0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,60,2,11,37,12,3,60,3,3,1,2,0,2,2,100.0,0,0,0,0,2,5,0,0,1,0,0,2,0,MF,Match Report
4,Timo Werner,0,14,0,0,0,22,0,2024-08-19,28-166,de GER,Tottenham,@,Leicester City,eng Premier League,D 1-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,14,19,73.7,0,1,1,1,1,178,53,8,10,80.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,8,14,2,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
5,Guglielmo Vicario,0,42,0,0,0,47,0,2024-08-19,27-317,it ITA,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,45,93.3,0,0,0,0,0,703,377,15,15,100.0,27,28,96.4,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,21,43,4,0,0,47,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
6,Destiny Udogie,0,61,0,0,0,82,4,2024-08-19,21-265,it ITA,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,71,85.9,0,8,1,0,7,795,206,37,41,90.2,16,19,84.2,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,14,42,26,4,82,4,2,2,1,1,2,3,66.7,1,3,1,2,0,4,1,0,0,0,0,4,1,DF,Match Report
7,Micky van de Ven,0,90,2,0,0,104,0,2024-08-19,23-122,nl NED,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,90,96,93.8,0,9,0,0,5,1767,562,28,30,93.3,52,53,98.1,9,12,75.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,104,6,39,64,3,0,104,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,0,0,0,0,1,DF,Match Report
8,Son Heung-min,1,43,5,1,0,58,0,2024-08-19,32-042,kr KOR,Tottenham,@,Leicester City,eng Premier League,D 1-1,Y,89,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.5,0,43,52,82.7,1,2,4,1,5,608,115,22,24,91.7,18,19,94.7,0,1,0.0,5,4,0,1,0,0,0,1,1,0,0,0,0,0,58,0,3,13,43,10,58,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0,0,0,0,0,1,FW,Match Report
9,Djed Spence,0,9,0,0,0,10,0,2024-08-19,24-010,eng ENG,Tottenham,@,Leicester City,eng Premier League,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,9,9,100.0,0,1,0,0,2,117,35,6,6,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,5,4,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
10,Lucas Bergvall,1,27,1,0,0,35,3,2024-08-19,18-199,se SWE,Tottenham,@,Leicester City,eng Premier League,D 1-1,N,13,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.3,0,27,29,93.1,1,1,0,0,2,374,88,17,17,100.0,7,8,87.5,2,3,66.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,3,14,19,1,35,3,1,0,1,2,3,4,75.0,1,0,0,0,0,3,0,0,0,0,0,0,0,MF,Match Report
