Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Christian Eriksen,0,3,1,0,0,4,0,2025-02-26,33-012,dk DEN,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,N,1,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,17,0,1,2,50.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
402,Noussair Mazraoui,0,5,0,0,1,16,0,2025-02-26,27-104,ma MAR,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,N,46,0,0,0,0,0,0,0,0,,,0,,,0,5,8,62.5,0,0,0,0,1,100,60,1,2,50.0,3,5,60.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,10,4,3,1,16,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,1,0,0,0,1,DF,Match Report
403,Manuel Ugarte,0,14,1,0,0,27,3,2025-02-26,23-321,uy URU,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,14,16,87.5,1,1,1,1,2,208,83,8,9,88.9,6,6,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,15,3,0,27,3,1,2,1,0,1,2,50.0,1,2,0,2,1,4,0,0,0,0,0,2,4,MF,Match Report
404,Matthijs de Ligt,1,38,0,0,0,49,2,2025-02-26,25-198,nl NED,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,2.6,0,38,40,95.0,0,2,0,0,1,572,207,23,23,100.0,13,14,92.9,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,24,24,2,1,49,2,2,2,0,0,2,2,100.0,0,3,1,2,1,3,3,0,0,0,0,0,0,DF,Match Report
405,Harry Maguire,3,46,3,0,0,68,2,2025-02-26,31-358,eng ENG,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,90,1,0,1,1,0,0,0,3,0.33,0.33,3,100.0,8.8,0,46,53,86.8,0,1,0,0,3,937,241,15,16,93.8,27,29,93.1,4,8,50.0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,68,8,30,34,5,4,68,2,2,2,0,0,1,1,100.0,0,3,3,0,1,3,7,0,0,0,0,1,1,DF,Match Report
406,Diogo Dalot,2,26,1,1,0,48,2,2025-02-26,25-345,pt POR,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.6,0,26,36,72.2,0,0,0,0,1,386,88,16,22,72.7,8,10,80.0,1,2,50.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,48,4,21,12,15,5,48,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,2,0,0,0,0,1,1,DF,Match Report
407,Patrick Dorgu,1,18,0,0,0,31,3,2025-02-26,20-123,dk DEN,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,42,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,15.2,0,18,24,75.0,0,0,0,0,1,214,12,11,13,84.6,5,9,55.6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,9,9,13,1,31,3,1,2,1,0,2,2,100.0,0,0,0,0,0,3,1,1,0,1,0,1,2,DF,Match Report
408,André Onana,0,9,0,0,0,28,0,2025-02-26,28-330,cm CMR,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,9,27,33.3,0,0,0,0,0,362,281,1,1,100.0,3,4,75.0,5,22,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,28,0,0,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
409,Victor Lindelöf,0,0,0,0,0,0,0,2025-02-26,30-224,se SWE,Manchester Utd,,Ipswich Town,eng Premier League,W 3-2,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
410,Joshua Zirkzee,1,8,2,0,0,20,0,2025-03-09,23-291,nl NED,Manchester Utd,,Arsenal,eng Premier League,D 1-1,Y,75,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,3.9,0,8,10,80.0,0,0,0,0,1,79,20,4,6,66.7,2,2,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,9,5,1,20,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,0,1,1,"FW,MF",Match Report
