Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Edson Álvarez,0,23,0,0,0,37,2,2025-02-22,27-121,mx MEX,West Ham,@,Arsenal,eng Premier League,W 1-0,Y,87,0,0,0,0,0,0,0,0,,,0,,,0,23,27,85.2,0,3,0,0,3,394,48,9,11,81.8,14,15,93.3,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,13,17,7,0,37,2,0,2,0,0,0,0,,0,1,0,1,2,4,3,0,0,0,0,3,1,MF,Match Report
402,Aaron Wan-Bissaka,1,25,2,1,0,44,1,2025-02-22,27-088,cd COD,West Ham,@,Arsenal,eng Premier League,W 1-0,Y,90,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,16.4,0,25,31,80.6,2,0,1,1,0,405,182,15,17,88.2,8,9,88.9,2,4,50.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,44,6,17,17,10,2,44,1,0,0,1,0,0,0,,0,1,1,0,0,1,6,0,0,0,0,3,2,DF,Match Report
403,Mohammed Kudus,0,25,3,0,0,39,0,2025-02-22,24-204,gh GHA,West Ham,@,Arsenal,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,27,92.6,2,1,1,0,4,449,61,8,9,88.9,15,15,100.0,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,39,1,6,18,17,1,39,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0,0,0,4,6,"FW,MF",Match Report
404,Max Kilman,0,27,0,0,0,46,0,2025-02-22,27-275,eng ENG,West Ham,@,Arsenal,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,32,84.4,0,0,0,0,1,537,148,7,8,87.5,17,18,94.4,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,27,18,1,1,46,0,0,0,0,0,0,0,,0,3,2,1,0,0,9,0,0,0,0,0,1,DF,Match Report
405,Carlos Soler,0,0,0,0,0,0,0,2025-02-22,28-051,es ESP,West Ham,@,Arsenal,eng Premier League,W 1-0,N,3,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"MF,FW",Match Report
406,Konstantinos Mavropanos,1,14,0,0,0,23,0,2025-02-27,27-078,gr GRE,West Ham,,Leicester City,eng Premier League,W 2-0,N,25,0,0,0,0,0,0,0,1,0.0,,0,0.0,2.3,0,14,17,82.4,0,1,0,0,0,278,98,5,6,83.3,7,7,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,9,12,2,1,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,1,1,DF,Match Report
407,Oliver Scarles,1,48,0,0,0,62,1,2025-02-27,19-077,eng ENG,West Ham,,Leicester City,eng Premier League,W 2-0,Y,65,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.3,0,48,57,84.2,0,1,1,0,4,623,99,35,39,89.7,11,13,84.6,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,4,32,27,0,62,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,1,"DF,FW",Match Report
408,Alphonse Areola,0,21,0,0,0,30,0,2025-02-27,32-000,fr FRA,West Ham,,Leicester City,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,30,70.0,0,0,0,0,0,456,205,3,3,100.0,15,15,100.0,3,12,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,30,0,0,0,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
409,James Ward-Prowse,0,66,1,0,0,80,2,2025-02-27,30-118,eng ENG,West Ham,,Leicester City,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,66,73,90.4,1,16,0,0,8,1154,260,32,34,94.1,28,30,93.3,6,9,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,80,1,13,53,14,1,80,2,2,1,0,1,1,2,50.0,1,1,0,1,2,4,1,0,0,0,0,1,0,MF,Match Report
410,Evan Ferguson,1,6,0,0,0,12,0,2025-02-27,20-131,ie IRL,West Ham,,Leicester City,eng Premier League,W 2-0,N,18,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.1,0,6,6,100.0,0,0,0,0,0,57,4,6,6,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,8,2,1,12,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,FW,Match Report
