Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Konstantinos Mavropanos,1,42,0,0,0,63,3,2024-08-17,26-250,gr GRE,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,33.1,0,42,51,82.4,0,2,0,0,1,862,175,11,12,91.7,26,29,89.7,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,9,32,29,2,0,63,3,3,3,0,0,2,2,100.0,0,2,2,0,0,3,5,0,0,0,0,1,1,DF,Match Report
2,Danny Ings,1,2,1,0,0,5,0,2024-08-17,32-025,eng ENG,West Ham,,Aston Villa,eng Premier League,L 1-2,N,6,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.0,0,2,4,50.0,0,0,0,0,0,15,3,2,2,100.0,0,1,0.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,3,1,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
3,Alphonse Areola,0,30,0,0,0,35,1,2024-08-17,31-172,fr FRA,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,34,88.2,0,0,0,0,0,779,531,5,5,100.0,14,14,100.0,10,14,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,35,0,0,0,35,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,GK,Match Report
4,Guido Rodríguez,1,40,1,0,0,53,3,2024-08-17,30-127,ar ARG,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,84,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.8,0,40,46,87.0,0,1,1,0,3,682,181,20,20,100.0,15,17,88.2,4,6,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,1,14,33,6,0,53,3,3,2,1,0,1,2,50.0,1,0,0,0,1,4,0,0,0,0,0,2,1,MF,Match Report
5,James Ward-Prowse,0,11,0,0,0,16,1,2024-08-17,29-290,eng ENG,West Ham,,Aston Villa,eng Premier League,L 1-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,11,15,73.3,0,2,0,0,4,150,61,6,6,100.0,4,5,80.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,11,2,0,16,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,0,0,MF,Match Report
6,Niclas Füllkrug,0,4,0,0,0,6,0,2024-08-17,31-190,de GER,West Ham,,Aston Villa,eng Premier League,L 1-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,1,0,0,0,45,11,3,3,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,3,2,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
7,Tomáš Souček,5,10,5,1,0,24,2,2024-08-17,29-172,cz CZE,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,5,0.0,,0,0.0,7.2,0,10,16,62.5,2,0,0,0,0,146,28,7,9,77.8,3,6,50.0,0,1,0.0,5,2,0,0,2,1,0,1,0,0,0,0,1,0,24,2,5,10,10,7,24,2,1,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0,0,0,0,0,1,MF,Match Report
8,Jarrod Bowen,0,10,2,0,0,24,0,2024-08-17,27-241,eng ENG,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,10,15,66.7,1,1,1,0,1,140,49,8,8,100.0,1,3,33.3,1,4,25.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,24,1,5,7,12,0,24,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,0,0,0,1,1,"FW,MF",Match Report
9,Jean-Clair Todibo,0,7,0,0,0,11,1,2024-08-17,24-231,fr FRA,West Ham,,Aston Villa,eng Premier League,L 1-2,N,6,0,0,0,0,0,0,0,0,,,0,,,0,7,7,100.0,0,0,0,0,0,147,70,1,1,100.0,5,5,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,2,1,0,11,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,DF,Match Report
10,Lucas Paquetá,0,47,4,1,1,66,0,2024-08-17,26-356,br BRA,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,72,1,0,1,0,1,1,0,0,,,0,,,0,47,58,81.0,1,6,2,0,8,712,191,26,28,92.9,13,16,81.3,5,10,50.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,66,2,12,45,9,1,65,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0,1,0,0,3,0,"MF,FW",Match Report
11,Michail Antonio,2,6,0,0,0,20,0,2024-08-17,34-142,jm JAM,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,72,0,0,0,0,0,0,0,2,0.0,,0,0.0,12.8,0,6,11,54.5,0,1,0,0,1,157,46,2,3,66.7,1,3,33.3,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,8,10,2,20,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,FW,Match Report
12,Mohammed Kudus,2,24,4,0,0,46,1,2024-08-17,24-015,gh GHA,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,11.4,0,24,36,66.7,2,1,0,0,2,406,53,12,15,80.0,10,12,83.3,2,4,50.0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,46,0,7,20,19,7,46,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0,0,0,0,2,5,"FW,MF",Match Report
13,Max Kilman,0,62,1,0,0,86,2,2024-08-17,27-086,eng ENG,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,62,73,84.9,1,3,1,0,5,1353,470,16,20,80.0,36,38,94.7,10,14,71.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86,14,55,28,6,1,86,2,1,1,1,0,1,1,100.0,0,2,1,1,2,4,7,0,0,0,0,0,0,DF,Match Report
14,Crysencio Summerville,0,11,3,0,0,15,0,2024-08-17,22-292,nl NED,West Ham,,Aston Villa,eng Premier League,L 1-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,11,12,91.7,2,0,2,2,0,192,31,4,4,100.0,5,5,100.0,1,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,7,7,2,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
15,Emerson Palmieri,1,46,3,0,0,59,0,2024-08-17,30-014,it ITA,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.7,0,46,51,90.2,0,1,1,0,4,567,208,28,28,100.0,15,18,83.3,0,1,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,59,1,22,29,9,1,59,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,2,0,DF,Match Report
16,Vladimír Coufal,0,25,2,0,0,42,0,2024-08-17,31-361,cz CZE,West Ham,,Aston Villa,eng Premier League,L 1-2,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,25,31,80.6,1,1,1,1,1,434,165,13,13,100.0,8,12,66.7,3,5,60.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,42,6,14,20,8,0,42,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,4,0,0,0,0,4,1,DF,Match Report
17,Konstantinos Mavropanos,0,42,0,0,0,69,1,2024-08-24,26-257,gr GRE,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,55,76.4,0,0,0,0,3,792,215,14,17,82.4,24,29,82.8,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,13,33,36,1,1,69,1,1,1,0,0,1,2,50.0,1,3,3,0,4,5,6,0,0,0,0,0,1,DF,Match Report
18,Alphonse Areola,0,29,0,0,0,46,0,2024-08-24,31-179,fr FRA,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,46,63.0,0,0,0,0,0,843,652,12,12,100.0,6,7,85.7,11,26,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,45,1,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
19,Guido Rodríguez,2,31,1,0,0,53,2,2024-08-24,30-134,ar ARG,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,34.3,0,31,40,77.5,0,3,0,0,3,493,116,16,21,76.2,11,13,84.6,3,4,75.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,53,1,17,34,2,0,53,2,1,2,0,0,0,1,0.0,1,1,0,1,4,6,1,0,0,0,0,1,2,MF,Match Report
20,Niclas Füllkrug,2,4,0,0,0,12,0,2024-08-24,31-197,de GER,West Ham,@,Crystal Palace,eng Premier League,W 2-0,N,28,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,12.7,0,4,5,80.0,0,0,0,0,0,44,8,3,3,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,6,5,3,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,2,0,FW,Match Report
21,Aaron Cresswell,0,0,0,0,0,2,0,2024-08-24,34-253,eng ENG,West Ham,@,Crystal Palace,eng Premier League,W 2-0,N,2,0,0,0,0,0,0,0,0,,,0,,,0,0,2,0.0,0,0,0,0,0,0,0,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
22,Tomáš Souček,3,13,4,0,1,32,3,2024-08-24,29-179,cz CZE,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,77,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,13.0,0,13,21,61.9,1,2,1,0,3,174,65,10,13,76.9,2,6,33.3,1,2,50.0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,32,1,5,15,12,6,32,3,3,2,1,0,2,2,100.0,0,1,0,1,0,3,1,0,1,0,0,5,0,MF,Match Report
23,Jarrod Bowen,1,14,6,0,0,34,1,2024-08-24,27-248,eng ENG,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,16.7,0,14,21,66.7,5,2,1,0,3,351,132,4,8,50.0,5,8,62.5,5,5,100.0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,34,2,9,10,16,3,34,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,0,0,0,1,1,"FW,MF",Match Report
24,Jean-Clair Todibo,0,0,0,0,0,2,0,2024-08-24,24-238,fr FRA,West Ham,@,Crystal Palace,eng Premier League,W 2-0,N,2,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,0,DF,Match Report
25,Edson Álvarez,1,6,0,0,0,12,1,2024-08-24,26-305,mx MEX,West Ham,@,Crystal Palace,eng Premier League,W 2-0,N,13,0,0,0,0,0,0,0,1,0.0,,0,0.0,29.1,0,6,7,85.7,0,1,1,0,1,77,38,4,4,100.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,4,1,0,12,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,0,0,0,2,0,MF,Match Report
26,Lucas Paquetá,3,35,5,1,0,59,5,2024-08-24,26-363,br BRA,West Ham,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,20.2,0,35,46,76.1,0,4,0,0,3,550,214,18,21,85.7,14,18,77.8,3,5,60.0,5,2,0,1,2,0,0,1,0,0,0,1,0,0,59,2,17,36,7,2,59,5,3,3,2,0,2,2,100.0,0,1,0,1,1,6,2,0,0,0,0,0,1,"MF,FW",Match Report
