Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Fikayo Tomori,0,36,0,0,0,42,0,2024-11-05,26-322,eng ENG,Milan,@,Real Madrid,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,37,97.3,0,0,0,0,1,545,185,22,22,100.0,13,13,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15,31,11,0,0,42,0,0,0,0,0,0,0,,0,2,0,2,0,0,3,0,0,0,0,1,0,DF,Match Report
202,Youssouf Fofana,0,50,1,0,1,59,0,2024-11-05,25-300,fr FRA,Milan,@,Real Madrid,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,50,54,92.6,0,6,0,0,4,829,263,22,23,95.7,21,22,95.5,5,6,83.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,59,3,18,36,5,0,59,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,0,0,1,0,0,2,1,MF,Match Report
203,Tijjani Reijnders,2,52,3,1,0,60,1,2024-11-05,26-099,nl NED,Milan,@,Real Madrid,Champions League,W 3-1,Y,90,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,17.0,0,52,54,96.3,2,6,1,0,5,874,206,24,25,96.0,21,22,95.5,6,6,100.0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,60,1,13,34,14,1,60,1,0,1,0,0,0,3,0.0,3,0,0,0,0,1,1,0,0,0,0,0,1,MF,Match Report
204,Yunus Musah,0,21,2,0,0,32,2,2024-11-05,21-342,us USA,Milan,@,Real Madrid,Champions League,W 3-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,21,24,87.5,2,3,0,0,1,326,44,8,10,80.0,10,10,100.0,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,4,11,18,4,1,32,2,2,2,0,0,1,3,33.3,2,0,0,0,0,2,3,0,0,0,0,2,1,"FW,MF",Match Report
205,Noah Okafor,0,2,1,0,0,4,0,2024-11-05,24-165,ch SUI,Milan,@,Real Madrid,Champions League,W 3-1,N,14,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,1,0,0,2,69,48,0,1,0.0,1,1,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
206,Theo Hernández,3,38,4,0,0,49,1,2024-11-05,27-030,fr FRA,Milan,@,Real Madrid,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,14.2,0,38,41,92.7,1,1,1,1,2,534,183,21,21,100.0,15,15,100.0,1,3,33.3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,49,4,18,19,12,2,49,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0,0,0,0,0,0,DF,Match Report
207,Emerson,0,36,1,0,0,49,3,2024-11-05,25-296,br BRA,Milan,@,Real Madrid,Champions League,W 3-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,36,40,90.0,1,1,2,1,1,549,180,21,22,95.5,13,15,86.7,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,18,7,0,49,3,2,2,0,1,2,4,50.0,2,0,0,0,0,3,5,0,0,0,0,1,0,DF,Match Report
208,Ruben Loftus-Cheek,1,0,0,0,0,3,0,2024-11-05,28-287,eng ENG,Milan,@,Real Madrid,Champions League,W 3-1,N,21,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.9,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
209,Tammy Abraham,0,1,0,0,0,6,0,2024-11-05,27-034,eng ENG,Milan,@,Real Madrid,Champions League,W 3-1,N,21,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,7,5,1,2,50.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,1,1,6,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,1,0,FW,Match Report
210,Mike Maignan,0,28,0,0,0,49,0,2024-11-05,29-125,fr FRA,Milan,@,Real Madrid,Champions League,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,42,66.7,0,1,0,0,0,708,489,9,9,100.0,11,12,91.7,8,20,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,42,48,1,0,0,49,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,GK,Match Report
