Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Sam Beukema,0,49,2,1,0,63,1,2024-11-30,26-013,nl NED,Bologna,,Venezia,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,57,86.0,1,3,1,0,3,1013,316,12,13,92.3,32,34,94.1,5,9,55.6,2,2,0,0,0,0,0,1,1,0,0,0,0,0,63,3,25,37,1,0,63,1,0,0,1,0,0,0,,0,0,0,0,0,1,3,0,0,0,0,1,1,DF,Match Report
202,Riccardo Orsolini,1,14,4,1,0,23,1,2024-11-30,27-311,it ITA,Bologna,,Venezia,it Serie A,W 3-0,N,27,1,1,2,0,1,1,0,1,0.0,0.0,1,100.0,36.1,0,14,17,82.4,3,3,1,0,4,285,75,5,5,100.0,7,9,77.8,2,2,100.0,4,3,0,1,0,0,0,1,1,0,0,0,0,0,23,0,1,11,11,4,22,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
203,Lorenzo De Silvestri,0,25,2,0,0,30,0,2024-11-30,36-191,it ITA,Bologna,,Venezia,it Serie A,W 3-0,Y,49,0,0,0,0,0,0,0,0,,,0,,,0,25,30,83.3,0,4,0,0,2,388,116,12,14,85.7,13,14,92.9,0,2,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,21,7,0,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,DF,Match Report
204,Juan Miranda,1,62,2,0,0,86,1,2024-11-30,24-316,es ESP,Bologna,,Venezia,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,33.4,0,62,77,80.5,1,7,2,1,8,1058,380,31,32,96.9,25,31,80.6,6,11,54.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,86,0,22,38,26,1,86,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0,0,0,0,1,0,DF,Match Report
205,Santiago Castro,0,13,3,0,0,18,0,2024-11-30,20-062,ar ARG,Bologna,,Venezia,it Serie A,W 3-0,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,13,15,86.7,3,0,0,0,2,242,24,5,6,83.3,6,6,100.0,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,8,11,1,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,FW,Match Report
206,Nikola Moro,0,44,2,1,0,64,5,2024-11-30,26-263,hr CRO,Bologna,,Venezia,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,54,81.5,0,5,1,0,5,736,211,20,21,95.2,17,20,85.0,5,10,50.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,64,1,5,46,13,0,64,5,3,0,3,2,4,4,100.0,0,3,1,2,2,7,1,0,0,0,0,1,3,MF,Match Report
207,Tommaso Pobega,1,18,1,0,0,33,5,2024-12-07,25-145,it ITA,Bologna,@,Juventus,it Serie A,D 2-2,Y,79,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,15.9,0,18,23,78.3,1,2,0,0,1,253,39,11,12,91.7,7,8,87.5,0,3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,2,4,23,6,1,33,5,3,0,4,1,3,4,75.0,1,1,0,1,1,6,1,0,0,0,0,0,2,MF,Match Report
208,Jens Odgaard,0,10,0,0,1,18,0,2024-12-07,25-251,dk DEN,Bologna,@,Juventus,it Serie A,D 2-2,Y,59,0,0,0,0,0,0,0,0,,,0,,,0,10,16,62.5,0,0,0,0,1,116,38,7,7,100.0,2,5,40.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,7,1,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,"MF,FW",Match Report
209,Stefan Posch,0,4,0,0,0,11,0,2024-12-07,27-207,at AUT,Bologna,@,Juventus,it Serie A,D 2-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,4,10,40.0,0,0,0,0,0,64,56,2,2,100.0,2,6,33.3,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,7,1,0,11,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,1,0,DF,Match Report
210,Jhon Lucumí,1,41,1,0,1,55,1,2024-12-07,26-164,co COL,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.6,0,41,44,93.2,0,1,0,0,2,862,252,13,14,92.9,21,21,100.0,7,9,77.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,55,13,27,26,2,2,55,1,1,1,0,0,1,1,100.0,0,2,2,0,2,3,4,0,1,0,0,2,0,DF,Match Report
211,Dan Ndoye,3,27,2,0,0,50,2,2024-12-07,24-043,ch SUI,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,18.8,0,27,31,87.1,0,4,0,0,4,451,91,14,15,93.3,10,10,100.0,2,3,66.7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,50,0,3,25,24,2,50,2,2,0,1,1,2,3,66.7,1,3,0,3,1,3,0,0,0,0,0,0,6,FW,Match Report
212,Remo Freuler,0,37,0,0,0,54,1,2024-12-07,32-236,ch SUI,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,45,82.2,0,7,0,0,2,588,159,16,18,88.9,19,20,95.0,1,5,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,5,43,6,0,54,1,0,0,1,0,1,2,50.0,1,1,0,1,5,6,2,0,0,0,0,1,0,MF,Match Report
213,Benjamín Domínguez,2,13,3,0,0,29,1,2024-12-07,21-079,ar ARG,Bologna,@,Juventus,it Serie A,D 2-2,Y,83,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,30.2,0,13,17,76.5,1,0,3,0,3,144,28,10,13,76.9,2,2,100.0,0,0,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,29,0,1,9,19,2,29,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,1,FW,Match Report
214,Łukasz Skorupski,0,19,0,0,0,34,0,2024-12-07,33-216,pl POL,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,33,57.6,0,1,0,0,0,600,461,2,2,100.0,9,10,90.0,8,21,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,34,0,0,0,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
215,Thijs Dallinga,0,2,0,0,0,6,1,2024-12-07,24-126,nl NED,Bologna,@,Juventus,it Serie A,D 2-2,N,11,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,29,0,1,1,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,0,6,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,2,0,FW,Match Report
216,Samuel Iling-Junior,0,2,0,0,0,5,1,2024-12-07,21-064,eng ENG,Bologna,@,Juventus,it Serie A,D 2-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,22,0,2,4,50.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,0,5,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
217,Emil Holm,0,41,2,1,1,57,3,2024-12-07,24-208,se SWE,Bologna,@,Juventus,it Serie A,D 2-2,Y,83,0,1,1,0,0,0,0,0,,,0,,,0,41,47,87.2,2,3,1,0,4,669,242,23,25,92.0,14,15,93.3,4,5,80.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,57,2,12,30,16,1,57,3,2,2,1,0,0,1,0.0,1,1,0,1,1,4,3,0,1,0,0,2,0,DF,Match Report
218,Sam Beukema,0,49,2,2,0,68,0,2024-12-07,26-020,nl NED,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,60,81.7,0,6,1,0,6,1006,366,20,21,95.2,23,26,88.5,6,11,54.5,2,2,0,0,0,0,0,2,2,0,0,0,0,0,68,6,26,38,5,1,68,0,0,0,0,0,0,0,,0,1,1,0,3,3,3,0,0,0,0,0,1,DF,Match Report
219,Juan Miranda,2,30,3,0,0,57,1,2024-12-07,24-323,es ESP,Bologna,@,Juventus,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,25.8,1,30,48,62.5,1,2,1,1,3,687,222,4,10,40.0,19,21,90.5,6,13,46.2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,57,1,11,29,17,1,57,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0,0,0,0,2,2,DF,Match Report
220,Santiago Castro,1,14,2,1,1,24,1,2024-12-07,20-069,ar ARG,Bologna,@,Juventus,it Serie A,D 2-2,Y,79,0,1,1,0,0,0,0,1,0.0,,0,0.0,18.4,0,14,17,82.4,2,0,1,0,1,268,25,5,7,71.4,7,8,87.5,2,2,100.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,24,0,1,13,10,4,24,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,1,0,0,3,2,FW,Match Report
221,Giovanni Fabbian,0,1,0,0,0,11,1,2024-12-07,21-328,it ITA,Bologna,@,Juventus,it Serie A,D 2-2,N,31,0,0,0,0,0,0,0,0,,,0,,,0,1,6,16.7,0,0,0,0,0,14,0,1,3,33.3,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,6,2,11,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,0,0,0,0,3,MF,Match Report
222,Nikola Moro,0,3,0,0,0,8,1,2024-12-07,26-270,hr CRO,Bologna,@,Juventus,it Serie A,D 2-2,N,11,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,1,0,0,0,39,3,3,4,75.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,4,0,0,8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,2,0,0,0,0,0,0,MF,Match Report
223,Tommaso Pobega,4,38,5,0,1,56,5,2024-12-15,25-153,it ITA,Bologna,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,26.7,0,38,44,86.4,2,4,1,1,4,550,210,24,25,96.0,12,13,92.3,2,6,33.3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,56,3,9,37,11,0,56,5,3,4,1,0,4,5,80.0,1,2,0,2,2,7,1,0,1,0,0,2,0,MF,Match Report
224,Charalampos Lykogiannis,0,4,0,0,1,8,0,2024-12-15,31-054,gr GRE,Bologna,,Fiorentina,it Serie A,W 1-0,N,14,0,0,0,0,0,0,0,0,,,0,,,0,4,7,57.1,0,2,0,0,0,39,35,4,4,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,5,3,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,0,DF,Match Report
