Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Zito Luvumbo,0,13,1,0,0,31,0,2024-11-24,22-260,ao ANG,Cagliari,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,23,56.5,1,1,0,0,6,206,48,8,12,66.7,5,10,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,13,16,4,31,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,4,"FW,MF",Match Report
202,Gabriele Zappa,0,54,2,0,0,79,1,2024-11-24,24-338,it ITA,Cagliari,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,68,79.4,1,5,2,1,6,787,314,30,30,100.0,23,30,76.7,1,5,20.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,79,5,24,42,13,1,79,1,0,1,0,0,0,0,,0,4,2,2,0,1,4,0,0,0,0,1,0,DF,Match Report
203,Leonardo Pavoletti,1,1,0,0,0,4,0,2024-11-24,35-364,it ITA,Cagliari,@,Genoa,it Serie A,D 2-2,N,27,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.0,0,1,2,50.0,0,0,0,0,0,7,3,1,1,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
204,Alen Sherri,0,22,0,0,0,35,0,2024-11-24,26-345,al ALB,Cagliari,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,31,71.0,0,0,0,0,0,599,411,2,2,100.0,12,12,100.0,8,17,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
205,Antoine Makoumbou,0,19,0,0,0,22,1,2024-11-24,26-129,cg CGO,Cagliari,@,Genoa,it Serie A,D 2-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,19,20,95.0,0,2,1,1,3,313,115,8,8,100.0,10,10,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,13,5,0,22,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,0,0,0,0,1,MF,Match Report
206,Roberto Piccoli,4,10,1,0,0,26,1,2024-11-29,23-307,it ITA,Cagliari,,Hellas Verona,it Serie A,W 1-0,Y,76,1,0,1,1,0,0,0,4,0.25,1.0,1,25.0,16.4,0,10,13,76.9,0,2,0,0,1,183,71,4,6,66.7,4,5,80.0,1,1,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,3,11,12,6,26,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,2,1,FW,Match Report
207,Gianluca Lapadula,2,8,1,0,0,17,0,2024-11-29,34-296,pe PER,Cagliari,,Hellas Verona,it Serie A,W 1-0,Y,59,0,0,0,0,0,0,0,2,0.0,,0,0.0,11.1,0,8,13,61.5,0,0,0,0,0,76,9,6,9,66.7,1,1,100.0,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,7,10,3,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"FW,MF",Match Report
208,Mattia Felici,1,19,3,1,0,28,0,2024-11-29,23-226,it ITA,Cagliari,,Hellas Verona,it Serie A,W 1-0,N,31,0,1,1,0,0,0,0,1,0.0,,0,0.0,9.8,0,19,20,95.0,1,3,0,0,2,181,86,15,16,93.8,3,3,100.0,0,0,,3,1,0,2,0,0,0,1,1,0,0,0,0,0,28,1,1,9,18,8,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,"MF,FW",Match Report
209,Tommaso Augello,0,60,6,0,0,92,3,2024-11-29,30-091,it ITA,Cagliari,,Hellas Verona,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,60,80,75.0,4,7,3,3,8,1075,501,27,30,90.0,24,36,66.7,9,12,75.0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,92,1,27,38,27,0,92,3,2,1,2,0,0,0,,0,0,0,0,1,4,2,0,0,0,0,0,0,DF,Match Report
210,Nicolas Viola,1,19,2,0,0,28,0,2024-11-29,35-048,it ITA,Cagliari,,Hellas Verona,it Serie A,W 1-0,N,31,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,15.0,0,19,22,86.4,1,2,0,0,4,269,76,11,11,100.0,3,5,60.0,3,3,100.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,28,0,1,17,11,2,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
