Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Isak Hien,0,40,0,0,0,57,1,2024-08-19,25-219,se SWE,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,48,83.3,0,1,0,0,0,914,356,9,11,81.8,21,27,77.8,10,10,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,33,24,0,0,57,1,1,1,0,0,0,0,,0,2,2,0,4,5,3,0,0,0,0,2,0,DF,Match Report
2,Marco Palestra,0,0,0,0,0,0,0,2024-08-19,19-169,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,DF,Match Report
3,Ibrahim Sulemana,0,0,0,0,0,0,0,2024-08-19,21-089,gh GHA,Atalanta,@,Lecce,it Serie A,W 4-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
4,Marten de Roon,0,54,0,0,1,66,3,2024-08-19,33-143,nl NED,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,60,90.0,0,7,0,0,4,1008,260,24,24,100.0,21,23,91.3,9,12,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,11,49,6,0,66,3,3,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0,1,0,0,4,1,"MF,DF",Match Report
5,Charles De Ketelaere,2,19,2,1,0,35,0,2024-08-19,23-162,be BEL,Atalanta,@,Lecce,it Serie A,W 4-0,Y,68,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.2,0,19,22,86.4,0,1,1,0,3,267,47,13,15,86.7,5,5,100.0,1,2,50.0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,35,0,2,18,16,3,35,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,0,"MF,FW",Match Report
6,Federico Cassa,0,0,0,0,0,3,0,2024-08-19,18-200,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,N,8,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,"MF,FW",Match Report
7,Berat Djimsiti,0,50,1,1,0,73,2,2024-08-19,31-182,al ALB,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,50,58,86.2,0,2,0,0,3,790,203,27,30,90.0,21,23,91.3,2,4,50.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,73,8,29,41,3,0,73,2,1,1,1,0,0,0,,0,0,0,0,2,4,7,0,0,0,0,1,2,DF,Match Report
8,Davide Zappacosta,2,26,1,0,0,35,1,2024-08-19,32-069,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,Y,67,0,0,0,0,0,0,0,2,0.0,,0,0.0,16.9,0,26,30,86.7,1,3,1,1,2,400,99,16,18,88.9,8,9,88.9,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,18,15,2,35,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,1,DF,Match Report
9,Ben Godfrey,0,8,0,0,0,12,0,2024-08-19,26-217,eng ENG,Atalanta,@,Lecce,it Serie A,W 4-0,N,23,0,0,0,0,0,0,0,0,,,0,,,0,8,10,80.0,0,2,0,0,1,122,16,5,5,100.0,2,3,66.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,9,1,1,12,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,DF,Match Report
10,Juan Musso,0,17,0,0,0,35,0,2024-08-19,30-105,ar ARG,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,33,51.5,0,0,0,0,0,486,331,2,2,100.0,9,9,100.0,6,22,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
11,Mitchel Bakker,0,7,0,0,0,10,1,2024-08-19,24-060,nl NED,Atalanta,@,Lecce,it Serie A,W 4-0,N,22,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,1,0,0,1,109,22,2,3,66.7,5,5,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,5,3,0,10,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,1,0,MF,Match Report
12,Éderson,0,44,2,1,1,55,0,2024-08-19,25-043,br BRA,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,51,86.3,1,6,0,0,8,1016,190,9,13,69.2,25,27,92.6,10,11,90.9,2,2,0,0,0,0,0,1,1,0,0,0,0,0,55,0,9,40,6,1,55,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,4,3,MF,Match Report
13,Matteo Ruggeri,0,59,3,1,0,84,1,2024-08-19,22-039,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,59,74,79.7,3,3,2,2,3,1055,249,29,34,85.3,25,27,92.6,5,11,45.5,3,2,1,0,0,0,0,1,1,0,0,0,0,0,84,2,26,45,15,2,84,1,0,0,1,0,0,0,,0,1,0,1,4,5,2,0,0,0,0,1,0,DF,Match Report
14,Marco Brescianini,2,17,3,0,0,37,1,2024-08-19,24-212,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,Y,89,2,0,2,2,0,0,0,2,1.0,1.0,2,100.0,13.3,0,17,24,70.8,1,1,2,0,3,217,47,10,12,83.3,6,7,85.7,0,1,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,2,16,19,4,37,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,3,1,MF,Match Report
15,Mario Pašalić,2,62,4,1,0,73,0,2024-08-19,29-192,hr CRO,Atalanta,@,Lecce,it Serie A,W 4-0,Y,89,0,1,1,0,0,0,0,2,0.0,,0,0.0,10.8,0,62,65,95.4,1,14,1,0,9,1203,370,18,18,100.0,35,38,92.1,8,8,100.0,4,3,0,0,1,0,0,1,1,0,0,0,0,0,73,1,10,58,7,3,73,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,MF,Match Report
16,Mateo Retegui,2,8,2,2,0,20,0,2024-08-19,25-112,it ITA,Atalanta,@,Lecce,it Serie A,W 4-0,Y,82,2,0,2,1,1,1,0,2,0.5,0.5,2,100.0,15.8,0,8,13,61.5,0,1,0,0,0,104,3,6,8,75.0,2,3,66.7,0,0,,2,0,0,0,1,1,0,2,0,0,0,1,1,0,20,1,1,10,9,3,19,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,0,0,0,1,1,FW,Match Report
17,Alberto Manzoni,1,11,1,0,0,14,0,2024-08-25,19-061,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,N,6,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.7,0,11,12,91.7,0,4,0,0,0,196,29,5,6,83.3,6,6,100.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,3,10,1,0,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,MF,Match Report
18,Isak Hien,0,22,0,0,1,37,0,2024-08-25,25-225,se SWE,Atalanta,@,Torino,it Serie A,L 1-2,Y,69,0,0,0,0,0,0,0,0,,,0,,,0,22,30,73.3,0,1,0,0,0,476,132,5,6,83.3,13,17,76.5,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,17,20,0,0,37,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,1,0,1,0,0,1,0,DF,Match Report
19,Marco Palestra,0,8,3,0,0,14,1,2024-08-25,19-175,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,N,21,0,0,0,0,0,0,0,0,,,0,,,0,8,12,66.7,2,0,0,0,0,117,33,3,4,75.0,5,5,100.0,0,1,0.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,14,0,4,4,6,4,14,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2,DF,Match Report
20,Lazar Samardzic,3,18,6,0,0,29,1,2024-08-25,22-183,rs SRB,Atalanta,@,Torino,it Serie A,L 1-2,N,38,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,23.0,1,18,24,75.0,3,1,1,1,1,378,92,8,10,80.0,6,9,66.7,4,5,80.0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,10,19,2,29,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
21,Marten de Roon,0,49,3,0,0,66,4,2024-08-25,33-149,nl NED,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,56,87.5,1,5,1,0,7,826,314,23,24,95.8,24,28,85.7,2,4,50.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,66,3,28,26,12,0,66,4,2,3,1,0,2,2,100.0,0,1,0,1,1,5,0,0,0,0,0,3,1,"MF,DF",Match Report
22,Charles De Ketelaere,4,36,7,1,0,51,0,2024-08-25,23-168,be BEL,Atalanta,@,Torino,it Serie A,L 1-2,Y,84,0,0,0,0,0,0,0,4,0.0,0.0,2,50.0,15.4,0,36,43,83.7,3,3,5,1,9,579,227,18,19,94.7,15,19,78.9,3,4,75.0,7,5,0,1,1,0,0,1,1,0,0,0,0,0,51,0,2,18,32,4,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,"MF,FW",Match Report
23,Federico Cassa,0,5,1,0,0,6,0,2024-08-25,18-206,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,N,6,0,0,0,0,0,0,0,0,,,0,,,0,5,5,100.0,0,0,0,0,1,54,9,5,5,100.0,0,0,,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,5,0,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
24,Berat Djimsiti,2,47,1,0,1,57,0,2024-08-25,31-188,al ALB,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,11.4,0,47,49,95.9,1,4,1,0,5,724,279,22,23,95.7,22,22,100.0,1,2,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,57,5,23,26,8,3,57,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,1,0,0,2,1,DF,Match Report
25,Davide Zappacosta,3,40,5,1,0,55,0,2024-08-25,32-075,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,1,1,0,0,0,0,3,0.0,,0,0.0,24.1,0,40,50,80.0,3,2,3,2,8,606,234,21,22,95.5,17,22,77.3,1,5,20.0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,55,0,8,14,33,0,55,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,DF,Match Report
26,Marco Carnesecchi,0,29,0,0,0,36,0,2024-08-25,24-055,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,32,90.6,0,0,0,0,0,711,386,4,4,100.0,16,16,100.0,9,12,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,36,0,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
27,Nicolò Zaniolo,2,1,1,0,1,6,0,2024-08-25,25-054,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,N,21,0,0,0,0,0,0,0,2,0.0,,0,0.0,10.9,0,1,2,50.0,1,1,1,0,1,36,35,0,0,,0,1,0.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,4,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,2,"FW,MF",Match Report
28,Éderson,2,42,2,0,0,52,0,2024-08-25,25-049,br BRA,Atalanta,@,Torino,it Serie A,L 1-2,Y,84,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,11.1,0,42,48,87.5,0,7,2,1,6,837,230,16,17,94.1,20,22,90.9,6,8,75.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,52,1,12,25,16,4,52,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,2,0,MF,Match Report
29,Matteo Ruggeri,0,51,2,0,0,66,1,2024-08-25,22-045,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,51,61,83.6,0,4,1,1,6,991,283,22,26,84.6,21,22,95.5,7,11,63.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,66,4,19,20,28,1,66,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,1,0,0,0,0,0,0,DF,Match Report
30,Marco Brescianini,0,12,1,0,0,17,0,2024-08-25,24-218,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,Y,52,0,0,0,0,0,0,0,0,,,0,,,0,12,15,80.0,1,1,1,0,2,161,37,9,10,90.0,3,5,60.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,8,8,1,17,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
31,Mario Pašalić,3,42,4,0,1,64,0,2024-08-25,29-198,hr CRO,Atalanta,@,Torino,it Serie A,L 1-2,Y,90,0,0,0,0,0,1,1,3,0.0,0.0,1,33.3,14.9,0,42,53,79.2,2,6,1,0,5,759,202,13,17,76.5,25,31,80.6,4,5,80.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,64,2,9,33,22,8,63,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,1,0,MF,Match Report
32,Mateo Retegui,4,14,6,0,0,26,1,2024-08-25,25-118,it ITA,Atalanta,@,Torino,it Serie A,L 1-2,Y,69,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,11.5,0,14,17,82.4,1,0,1,0,1,186,29,9,10,90.0,5,6,83.3,0,0,,6,4,0,1,1,0,0,0,0,0,0,0,0,0,26,2,2,8,16,9,26,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0,0,0,0,1,1,FW,Match Report
33,Marco Palestra,0,7,0,0,0,11,0,2024-08-30,19-180,it ITA,Atalanta,@,Inter,it Serie A,L 0-4,N,11,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,0,1,0,0,1,97,54,5,5,100.0,2,5,40.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,5,5,0,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,DF,Match Report
34,Lazar Samardzic,2,28,3,0,0,47,1,2024-08-30,22-188,rs SRB,Atalanta,@,Inter,it Serie A,L 0-4,Y,79,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.6,0,28,37,75.7,2,2,2,1,5,400,102,17,20,85.0,8,9,88.9,2,6,33.3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,47,0,2,15,31,2,47,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,2,1,MF,Match Report
35,Marten de Roon,0,46,1,0,1,58,3,2024-08-30,33-154,nl NED,Atalanta,@,Inter,it Serie A,L 0-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,51,90.2,0,7,0,0,7,767,302,19,20,95.0,22,24,91.7,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58,4,20,30,9,1,58,3,2,1,2,0,2,3,66.7,1,1,1,0,1,4,2,0,1,0,0,2,0,"MF,DF",Match Report
36,Charles De Ketelaere,0,6,1,0,0,8,0,2024-08-30,23-173,be BEL,Atalanta,@,Inter,it Serie A,L 0-4,N,11,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,1,1,1,0,1,102,27,3,4,75.0,2,2,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
37,Berat Djimsiti,0,40,2,0,0,56,4,2024-08-30,31-193,al ALB,Atalanta,@,Inter,it Serie A,L 0-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,43,93.0,2,1,1,0,4,784,293,11,11,100.0,24,25,96.0,5,6,83.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,56,11,30,25,1,0,56,4,3,2,2,0,2,2,100.0,0,2,2,0,2,6,2,1,0,0,0,2,1,DF,Match Report
