Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Lorenzo Colombo,1,7,1,0,0,18,1,2024-08-17,22-162,it ITA,Empoli,,Monza,it Serie A,D 0-0,Y,84,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.8,0,7,10,70.0,0,0,0,0,0,82,9,6,8,75.0,1,1,100.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,8,10,1,18,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,1,"FW,MF",Match Report
2,Jacopo Fazzini,0,9,3,0,0,34,3,2024-08-17,21-154,it ITA,Empoli,,Monza,it Serie A,D 0-0,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,9,17,52.9,1,0,0,0,2,122,29,5,8,62.5,4,5,80.0,0,1,0.0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,34,3,4,16,15,2,34,3,0,0,3,0,1,1,100.0,0,1,0,1,0,3,2,0,0,0,0,1,3,MF,Match Report
3,Giuseppe Pezzella,0,16,2,0,0,37,1,2024-08-17,26-262,it ITA,Empoli,,Monza,it Serie A,D 0-0,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,16,32,50.0,2,0,0,0,1,220,104,10,13,76.9,4,10,40.0,1,6,16.7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,37,1,7,14,17,1,37,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,1,2,"DF,FW",Match Report
4,Sebastian Walukiewicz,0,27,4,0,0,49,0,2024-08-17,24-134,pl POL,Empoli,,Monza,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,39,69.2,1,6,1,0,6,447,266,14,19,73.7,9,12,75.0,2,4,50.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,49,5,12,28,9,0,49,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,6,0,0,0,0,4,0,DF,Match Report
5,Youssef Maleh,1,24,1,0,0,37,0,2024-08-17,25-361,ma MAR,Empoli,,Monza,it Serie A,D 0-0,Y,84,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.1,0,24,31,77.4,0,9,0,0,5,434,141,11,12,91.7,8,11,72.7,3,5,60.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,2,29,6,0,37,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,0,0,0,0,0,1,1,MF,Match Report
6,Francesco Caputo,0,2,0,0,0,2,0,2024-08-17,37-011,it ITA,Empoli,,Monza,it Serie A,D 0-0,N,6,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,26,0,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
7,Ardian Ismajli,1,22,1,0,0,44,0,2024-08-17,27-322,al ALB,Empoli,,Monza,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.4,0,22,34,64.7,0,0,0,0,6,354,145,11,14,78.6,10,15,66.7,1,4,25.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,44,7,18,26,1,1,44,0,0,0,0,0,0,0,,0,2,2,0,0,0,5,0,0,0,0,2,1,DF,Match Report
8,Mattia Viti,1,23,0,0,0,40,4,2024-08-17,22-206,it ITA,Empoli,,Monza,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.1,0,23,31,74.2,0,4,0,0,2,440,172,10,10,100.0,9,12,75.0,4,8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,16,19,6,1,40,4,4,1,2,1,1,1,100.0,0,1,0,1,0,4,3,0,0,0,0,0,1,DF,Match Report
9,Ola Solbakken,1,1,1,0,0,7,1,2024-08-17,25-345,no NOR,Empoli,,Monza,it Serie A,D 0-0,N,22,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,9.7,0,1,3,33.3,0,1,0,0,1,21,21,0,2,0.0,1,1,100.0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,2,4,2,1,7,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,1,0,"MF,FW",Match Report
10,Sebastiano Esposito,4,9,1,0,0,30,5,2024-08-17,22-046,it ITA,Empoli,,Monza,it Serie A,D 0-0,Y,68,0,0,0,0,0,0,0,4,0.0,,0,0.0,19.8,1,9,16,56.3,0,0,0,0,2,83,54,4,9,44.4,2,2,100.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,10,21,5,30,5,3,0,3,2,1,2,50.0,1,1,0,1,1,6,0,0,0,0,0,1,5,"FW,MF",Match Report
