Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Fabiano Parisi,0,11,0,0,0,17,2,2024-08-17,23-282,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,N,31,0,0,0,0,0,0,0,0,,,0,,,0,11,12,91.7,0,0,0,0,0,201,30,6,7,85.7,4,4,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,8,6,1,17,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,2,"DF,MF",Match Report
2,Marin Pongračić,0,37,2,0,2,51,1,2024-08-17,26-341,hr CRO,Fiorentina,@,Parma,it Serie A,D 1-1,Y,82,0,0,0,0,0,0,0,0,,,0,,,0,37,43,86.0,1,2,0,0,2,752,209,10,10,100.0,22,24,91.7,4,5,80.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,51,9,26,23,2,0,51,1,1,1,0,0,1,3,33.3,2,0,0,0,2,3,4,0,2,1,1,2,0,DF,Match Report
3,Moise Kean,2,9,1,0,0,16,0,2024-08-17,24-171,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,19.6,0,9,10,90.0,0,0,0,0,1,95,20,8,8,100.0,1,1,100.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,1,6,10,3,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,FW,Match Report
4,Lucas Martínez Quarta,1,32,0,0,0,59,2,2024-08-17,28-099,ar ARG,Fiorentina,@,Parma,it Serie A,D 1-1,Y,59,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.3,0,32,40,80.0,0,3,0,0,4,590,212,16,16,100.0,13,16,81.3,3,7,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11,34,20,5,1,59,2,1,2,0,0,1,2,50.0,1,1,0,1,1,3,9,0,0,0,0,0,0,DF,Match Report
5,Jonathan Ikone,1,5,2,0,0,6,0,2024-08-17,26-107,fr FRA,Fiorentina,@,Parma,it Serie A,D 1-1,N,31,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.8,0,5,5,100.0,0,2,1,0,1,88,24,1,1,100.0,4,4,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
6,Christian Kouamé,0,19,5,0,0,34,1,2024-08-17,26-255,ci CIV,Fiorentina,@,Parma,it Serie A,D 1-1,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,19,26,73.1,2,1,0,0,4,254,48,9,11,81.8,6,6,100.0,1,5,20.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,34,2,4,14,16,1,34,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,0,0,0,2,2,"FW,MF",Match Report
7,Sofyan Amrabat,0,52,2,0,0,66,0,2024-08-17,27-362,ma MAR,Fiorentina,@,Parma,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,52,65,80.0,2,4,0,0,8,1086,223,18,20,90.0,27,34,79.4,7,10,70.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,66,2,6,51,10,0,66,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,2,0,MF,Match Report
8,Pietro Comuzzo,0,36,0,0,0,43,0,2024-08-17,19-179,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,72,0,0,0,0,0,0,0,0,,,0,,,0,36,38,94.7,0,1,0,0,3,685,148,15,16,93.8,16,16,100.0,5,6,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,20,22,1,0,43,0,0,0,0,0,0,0,,0,2,2,0,1,1,1,0,0,0,0,0,0,DF,Match Report
9,Andrea Colpani,3,15,1,0,0,30,0,2024-08-17,25-098,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,59,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,16.7,0,15,20,75.0,0,0,0,0,3,213,11,10,11,90.9,4,7,57.1,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,2,3,14,13,3,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,1,1,"FW,MF",Match Report
10,Riccardo Sottil,0,3,0,0,0,4,0,2024-08-17,25-075,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,49,0,1,1,100.0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
11,Cristiano Biraghi,2,40,2,0,0,59,0,2024-08-17,31-351,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,90,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,20.9,1,40,57,70.2,1,3,1,1,5,713,217,17,21,81.0,19,22,86.4,3,11,27.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,59,2,6,28,25,1,59,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,DF,Match Report
12,Dodô,2,41,7,1,0,65,0,2024-08-17,25-274,br BRA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.8,0,41,53,77.4,2,6,1,0,5,660,249,17,20,85.0,20,26,76.9,3,5,60.0,7,6,0,0,1,0,0,1,1,0,0,0,0,0,65,0,14,29,23,3,65,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,DF,Match Report
13,Rolando Mandragora,3,38,1,0,0,48,0,2024-08-17,27-049,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,72,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,28.0,0,38,43,88.4,0,6,0,0,3,666,156,21,21,100.0,15,16,93.8,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,1,9,27,12,1,48,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,1,2,MF,Match Report
14,Alessandro Bianco,0,9,0,0,0,14,0,2024-08-17,21-321,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,9,12,75.0,0,1,0,0,0,191,17,3,5,60.0,5,5,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,11,1,0,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
15,Michael Kayode,1,5,2,0,0,15,1,2024-08-17,20-038,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,N,18,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.4,0,5,6,83.3,0,0,0,0,0,104,0,0,0,,5,5,100.0,0,1,0.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,15,3,7,6,2,1,15,1,1,1,0,0,0,0,,0,2,1,1,0,1,3,0,0,0,0,0,0,"DF,FW",Match Report
16,Pietro Terracciano,0,21,0,0,0,33,0,2024-08-17,34-162,it ITA,Fiorentina,@,Parma,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,28,75.0,0,0,0,0,0,400,267,7,7,100.0,12,12,100.0,2,9,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,0,0,0,33,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
17,Antonín Barák,2,17,3,0,0,25,2,2024-08-25,29-266,cz CZE,Fiorentina,,Venezia,it Serie A,D 0-0,Y,54,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,25.7,0,17,20,85.0,3,1,1,0,2,228,77,8,10,80.0,8,9,88.9,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,25,1,2,11,12,3,25,2,0,0,2,0,0,2,0.0,2,1,1,0,0,2,0,0,0,0,0,0,0,MF,Match Report
18,Fabiano Parisi,2,31,1,0,0,45,2,2024-08-25,23-290,it ITA,Fiorentina,,Venezia,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,15.5,0,31,37,83.8,0,4,0,0,5,438,146,18,20,90.0,13,14,92.9,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,45,2,11,23,11,2,45,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,2,0,0,0,0,3,2,"DF,MF",Match Report
19,Amir Richardson,1,41,2,0,0,49,0,2024-08-25,22-214,ma MAR,Fiorentina,,Venezia,it Serie A,D 0-0,Y,77,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,11.5,0,41,44,93.2,0,1,0,0,2,586,183,27,27,100.0,11,13,84.6,2,2,100.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,49,0,12,31,6,3,49,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
20,Moise Kean,3,8,2,0,0,23,1,2024-08-25,24-179,it ITA,Fiorentina,,Venezia,it Serie A,D 0-0,Y,78,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,16.4,0,8,10,80.0,2,0,1,0,1,105,22,3,4,75.0,4,5,80.0,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,13,11,4,23,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,1,3,FW,Match Report
21,Lucas Martínez Quarta,0,6,1,0,0,11,1,2024-08-25,28-107,ar ARG,Fiorentina,,Venezia,it Serie A,D 0-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,1,1,0,0,1,137,66,0,0,,6,7,85.7,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,7,3,1,0,11,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,DF,Match Report
22,Lucas Beltrán,0,2,1,0,0,2,0,2024-08-25,23-149,ar ARG,Fiorentina,,Venezia,it Serie A,D 0-0,N,12,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,1,1,0,0,2,32,12,0,0,,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
23,Christian Kouamé,1,13,4,0,0,27,4,2024-08-25,26-263,ci CIV,Fiorentina,,Venezia,it Serie A,D 0-0,Y,67,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.7,0,13,18,72.2,3,1,0,0,1,207,63,7,8,87.5,5,6,83.3,1,2,50.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,27,0,5,15,7,3,27,4,2,2,1,1,0,2,0.0,2,0,0,0,1,5,0,0,0,0,0,0,4,"FW,MF",Match Report
24,Sofyan Amrabat,0,60,2,0,0,74,3,2024-08-25,28-004,ma MAR,Fiorentina,,Venezia,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,60,68,88.2,0,6,0,0,6,1054,305,28,30,93.3,23,25,92.0,6,10,60.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,74,4,18,52,4,0,74,3,2,1,2,0,2,2,100.0,0,0,0,0,0,3,1,0,0,0,0,2,1,MF,Match Report
